Full Journal Title,JCR Abbreviated Title,ISSN,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Average Journal Impact Factor Percentile,Normalized Eigenfactor
Lancet Rheumatology,LANCET RHEUMATOL,2665-9913,"1,395",8.136,7.591,8.136,20.81,58,0.6,4,0.00099,4.4,77.59,89.706,0.20882
Land,LAND-BASEL,****-****,"2,388",3.395,2.776,3.233,0.897,526,2.3,7.2,0.00322,0.594,95.25,54.8,0.67659
LAND DEGRADATION & DEVELOPMENT,LAND DEGRAD DEV,1085-3278,"8,985",4.977,4.3,5.291,0.913,393,4.1,7.7,0.0102,0.937,96.69,77,2.13716
LAND ECONOMICS,LAND ECON,0023-7639,"3,812",2.087,2.014,2.481,0.531,32,16.3,9.6,0.00189,1.007,100,37.055,0.39758
LAND USE POLICY,LAND USE POLICY,0264-8377,"22,020",5.398,4.391,5.404,1.606,695,4.3,7.6,0.02454,0.963,98.56,82,5.14242
Landbauforschung-Journal of Sustainable and Organic Agricultural Systems,LANDBAUFORSCHUNG-GER,0458-6859,128,0.64,0.6,0.662,0.294,17,6.6,5.8,0.00007,0.096,94.12,23.276,0.01533
Landscape and Ecological Engineering,LANDSC ECOL ENG,1860-1871,562,1.813,1.734,1.611,0.419,31,7,11,0.00044,0.298,93.55,35.628,0.09271
LANDSCAPE AND URBAN PLANNING,LANDSCAPE URBAN PLAN,0169-2046,"22,743",6.142,5.774,7.96,1.749,179,7.9,7.2,0.01602,1.55,96.09,92.062,3.35798
LANDSCAPE ECOLOGY,LANDSCAPE ECOL,0921-2973,"11,520",3.848,3.39,4.845,0.929,225,8.1,8.6,0.00912,1.137,95.11,73.206,1.91104
Landscape Research,LANDSCAPE RES,0142-6397,"1,879",2.055,1.862,2.26,0.583,103,7.3,10.5,0.0017,0.494,96.12,25.765,0.35675
Landslides,LANDSLIDES,1612-510X,"8,855",6.578,5.055,6.913,1.628,288,4.7,8.5,0.0089,1.236,97.57,92.842,1.86622
Langages,LANGAGES,0458-726X,310,0.08,0.08,0.145,0.938,32,18.9,15.9,0.00018,0.14,100,1.295,0.03965
LANGENBECKS ARCHIVES OF SURGERY,LANGENBECK ARCH SURG,1435-2443,"5,093",3.445,2.785,3.296,0.554,193,7.7,6.1,0.00469,0.781,80.31,70.991,0.98408
LANGMUIR,LANGMUIR,0743-7463,"125,608",3.882,3.523,3.908,0.771,"1,608",10,8.3,0.06471,0.761,100,58.664,13.55809
LANGUAGE,LANGUAGE,0097-8507,"4,522",1.583,1.417,2.098,0.556,45,28.4,14.6,0.0033,1.494,100,63.472,0.69288
LANGUAGE & COMMUNICATION,LANG COMMUN,0271-5309,"1,533",1.765,1.657,1.672,0.339,56,13.8,12.1,0.002,0.807,100,47.072,0.41936
Language & History,LANG HIST,1759-7536,34,0.087,0.043,0.261,0.083,12,Not Available,38,0.00018,0.393,91.67,1.813,0.039
Language Acquisition,LANG ACQUIS,1048-9223,814,1.349,1.186,1.478,0.72,25,17.9,14.3,0.00056,0.599,100,56.218,0.11888
Language and Cognition,LANG COGN,1866-9808,413,1.83,1.66,1.754,0.481,27,5.7,10,0.00109,0.9,100,48.936,0.22904
Language and Education,LANG EDUC-UK,0950-0782,"1,361",2.032,1.887,2.742,0.6,55,8.9,9.4,0.00157,0.984,94.55,58.004,0.32894
Language and Intercultural Communication,LANG INTERCULT COMM,1470-8477,657,1.903,1.542,1.774,0.392,51,6.3,9.5,0.0011,0.655,100,73.834,0.23187
Language and Linguistics,LANG LINGUIST-TAIWAN,1606-822X,282,0.106,0.085,0.424,0.182,22,10.9,17.3,0.00075,0.559,100,2.332,0.15907
Language and Literature,LANG LIT,0963-9470,406,0.677,0.387,1.079,0.111,27,10.2,11.1,0.0006,0.658,100,29.275,0.1263
LANGUAGE AND SPEECH,LANG SPEECH,0023-8309,"1,577",1.5,1.406,1.678,0.453,75,17.6,13.5,0.00123,0.821,97.33,32.084,0.25863
Language Assessment Quarterly,LANG ASSESS Q,1543-4303,787,1.667,1.412,1.82,0.41,38,9.1,10.4,0.00074,0.653,100,44.916,0.15636
Language Awareness,LANG AWARE,0965-8416,689,1.654,1.538,1.907,0.31,29,10.3,11.1,0.0007,0.801,100,65.026,0.14859
Language Cognition and Neuroscience,LANG COGN NEUROSCI,2327-3798,"1,510",2.331,2.09,2.78,1.143,119,4.1,11.7,0.00479,1.113,95.8,54.518,1.00397
Language Culture and Curriculum,LANG CULT CURRIC,0790-8318,785,1.439,1.171,2.604,0.925,53,8.8,9.2,0.00081,0.822,100,39.208,0.17027
LANGUAGE IN SOCIETY,LANG SOC,0047-4045,"2,338",2.38,2.28,3.258,0.833,24,17.8,12,0.00223,1.752,100,72.285,0.4686
LANGUAGE LEARNING,LANG LEARN,0023-8333,"5,175",4.667,3.787,4.73,1.338,65,12.2,9.6,0.00422,2.05,78.46,93.815,0.88454
LANGUAGE LEARNING & TECHNOLOGY,LANG LEARN TECHNOL,1094-3501,"1,669",4.313,3.979,4.094,0.556,27,8.3,8.9,0.00198,1.384,100,91.852,0.41507
Language Learning and Development,LANG LEARN DEV,1547-5441,674,1,0.872,1.83,0.133,30,8.7,13.6,0.00093,0.812,100,19.039,0.19613
Language Matters,LANG MATTERS,1022-8195,144,0.605,0.5,0.485,0,18,7.5,11.9,0.00018,0.184,100,26.166,0.03924
Language Policy,LANG POLICY-NETH,1568-4555,740,2.491,2.075,2.412,0.361,36,7.4,10.7,0.00101,0.862,94.44,70.742,0.21188
Language Problems & Language Planning,LANG PROBL LANG PLAN,0272-2690,184,0.517,0.414,0.521,0.111,9,10.2,10.6,0.00018,0.249,100,22.021,0.03813
Language Resources and Evaluation,LANG RESOUR EVAL,1574-020X,765,1.358,1.284,1.393,0.684,57,7.8,8.7,0.00089,0.52,98.25,12.946,0.1883
LANGUAGE SCIENCES,LANG SCI,0388-0001,977,0.682,0.636,1,0.649,37,8.5,15,0.00183,0.625,100,29.793,0.38547
LANGUAGE SPEECH AND HEARING SERVICES IN SCHOOLS,LANG SPEECH HEAR SER,0161-1461,"2,595",2.983,2.588,3,0.927,82,10.9,11.2,0.00154,0.761,93.9,87.248,0.32353
Language Teaching,LANG TEACHING,0261-4448,"1,999",5.327,5.224,4.496,1.741,27,9,9.2,0.00217,1.744,70.37,97.623,0.45521
Language Teaching Research,LANG TEACH RES,1362-1688,"2,233",3.899,3.449,4.815,1.036,137,7.4,10.4,0.00294,1.652,100,89.559,0.61647
Language Testing,LANG TEST,0265-5322,"2,068",3.551,2.837,3.656,0.6,45,11.5,11.6,0.00173,1.347,93.33,94.56,0.36331
Language Variation and Change,LANG VAR CHANGE,0954-3945,828,1.267,1.167,1.581,0,10,13.1,13.2,0.00071,0.941,100,52.591,0.15018
Large Animal Review,LARGE ANIM REV,1124-4593,129,0.417,0.361,0.371,0.04,50,5.6,11.1,0.0001,0.056,90,10.317,0.02166
LARYNGO-RHINO-OTOLOGIE,LARYNGO RHINO OTOL,0935-8943,990,1.057,0.844,0.95,1.388,80,8.5,7.6,0.00056,0.181,97.5,10.227,0.11778
LARYNGOSCOPE,LARYNGOSCOPE,0023-852X,"32,798",3.325,2.857,3.447,1.186,"1,206",9.6,8.1,0.02494,0.913,92.37,61.234,5.22606
Laryngoscope Investigative Otolaryngology,LARYNGOSCOPE INVEST,2378-8038,882,2.458,2.419,2.985,0.527,165,2.6,7.2,0.0023,0.843,77.58,62.5,0.48393
Laser & Photonics Reviews,LASER PHOTONICS REV,1863-8880,"9,217",13.138,12.751,11.504,1.969,159,5.4,5.5,0.01297,3.08,83.65,92.803,2.71789
LASER AND PARTICLE BEAMS,LASER PART BEAMS,0263-0346,"1,211",1.16,0.958,1.034,0.375,32,9.3,11.2,0.00102,0.26,100,14.063,0.21398
LASER FOCUS WORLD,LASER FOCUS WORLD,1043-8092,154,0.108,0.108,0.125,0.5,4,8.7,Not Available,0.00009,0.024,100,0.505,0.02017
LASER PHYSICS,LASER PHYS,1054-660X,"3,452",1.366,1.198,1.157,0.36,239,6.5,8,0.00299,0.224,99.16,20.39,0.62724
LASER PHYSICS LETTERS,LASER PHYS LETT,1612-2011,"4,488",2.016,1.822,1.748,0.548,228,5.1,8,0.00475,0.344,99.12,39.168,0.99663
LASERS IN ENGINEERING,LASER ENG,0898-1507,291,0.665,0.49,0.479,0.184,76,3.7,7.5,0.00027,0.068,98.68,7.858,0.05741
LASERS IN MEDICAL SCIENCE,LASER MED SCI,0268-8921,"7,562",3.161,2.706,3.192,0.754,374,5.6,8.2,0.00689,0.55,89.04,58.331,1.44441
LASERS IN SURGERY AND MEDICINE,LASER SURG MED,0196-8092,"7,332",4.025,3.189,3.881,1.241,212,10.8,7.5,0.00404,0.769,96.7,77.608,0.84806
LATERALITY,LATERALITY,1357-650X,"1,262",1.816,1.474,1.857,0.736,53,8.6,12.1,0.00098,0.473,86.79,31.369,0.20732
LATIN AMERICAN ANTIQUITY,LAT AM ANTIQ,1045-6635,915,0.96,0.87,1.106,0.391,46,12.3,14.9,0.00099,0.516,100,32.386,0.20931
LATIN AMERICAN APPLIED RESEARCH,LAT AM APPL RES,0327-0793,351,0.184,0.143,0.164,0.122,49,11.2,8.7,0.00002,0.013,100,1.748,0.00529
Latin American Economic Review,LAT AM ECON REV,2198-3526,136,2.161,2.161,1.952,0,8,3.1,8.8,0.00052,0.815,62.5,58.488,0.10899
Latin American Journal of Aquatic Research,LAT AM J AQUAT RES,0718-560X,"1,123",0.958,0.893,1.133,0.103,87,5.5,12.6,0.00122,0.216,95.4,17.5,0.25567
Latin American Journal of Pharmacy,LAT AM J PHARM,0326-2383,919,0.249,0.194,0.25,0.063,347,5.9,7.7,0.00052,0.029,100,1.273,0.11098
Latin American Journal of Solids and Structures,LAT AM J SOLIDS STRU,1679-7825,"1,473",1.245,1.07,1.481,0.286,91,4.8,10.7,0.0017,0.26,97.8,17.079,0.3574
LATIN AMERICAN PERSPECTIVES,LAT AM PERSPECT,0094-582X,"1,269",1.065,0.95,1.199,0.207,82,9.7,8.6,0.00185,0.569,98.78,35.388,0.38784
LATIN AMERICAN POLITICS AND SOCIETY,LAT AM POLIT SOC,1531-426X,800,1.255,1.196,1.729,0.56,25,9.3,9.3,0.00151,1.14,96,37.262,0.31727
LATIN AMERICAN RESEARCH REVIEW,LAT AM RES REV,0023-8791,"1,172",0.779,0.654,0.976,0.3,40,12.3,11.5,0.0014,0.535,100,31.875,0.29435
Law & Policy,LAW POLICY,0265-8240,909,1.432,1.216,2.118,0.176,17,10.7,10.2,0.00069,0.797,94.12,53.974,0.14612
LAW & SOCIETY REVIEW,LAW SOC REV,0023-9216,"3,458",1.817,1.676,2.562,0.606,33,18,9.7,0.00186,1.185,100,55.925,0.3912
Law and History Review,LAW HIST REV,0738-2480,466,0.75,0.717,0.887,0.485,33,10.3,28.9,0.00162,1.114,100,45.749,0.34141
LAW AND HUMAN BEHAVIOR,LAW HUMAN BEHAV,0147-7307,"4,904",3.795,3.542,4.89,0.722,36,11.9,10.4,0.00392,1.558,97.22,85.487,0.82335
LAW AND PHILOSOPHY,LAW PHILOS,0167-5249,604,0.694,0.633,1.026,0.281,32,12.8,13.4,0.00077,0.64,100,18.812,0.16145
LAW AND SOCIAL INQUIRY-JOURNAL OF THE AMERICAN BAR FOUNDATION,LAW SOCIAL INQUIRY,0897-6546,"1,298",1.274,1.205,1.54,0.5,42,11.2,10.9,0.00211,0.867,80.95,46.689,0.44323
LAW LIBRARY JOURNAL,LAW LIBR J,0023-9283,196,0.258,0.065,0.448,0,11,10.8,11.2,0.00011,0.109,100,6.263,0.02476
LAW PROBABILITY & RISK,LAW PROBAB RISK,1470-8396,284,1.059,0.882,1.192,0.333,12,8.2,10.1,0.00043,0.544,100,35.745,0.0916
Leadership,LEADERSHIP-LONDON,1742-7150,"1,303",2.403,1.514,2.782,1.035,57,7.2,10,0.00103,0.643,100,25,0.21651
LEADERSHIP & ORGANIZATION DEVELOPMENT JOURNAL,LEADERSHIP ORG DEV J,0143-7739,"3,100",3.242,2.875,3.575,0.488,86,9.7,10.7,0.00197,0.623,100,36.062,0.41395
LEADERSHIP QUARTERLY,LEADERSHIP QUART,1048-9843,"14,059",10.517,9.36,11.319,2.294,51,11,11.1,0.00895,3.306,74.51,95.569,1.87594
LEARNED PUBLISHING,LEARN PUBL,0953-1513,851,2.506,1.911,2.659,1.22,59,4.7,4.6,0.00135,0.735,89.83,54.07,0.28373
LEARNING & BEHAVIOR,LEARN BEHAV,1543-4494,"1,074",1.986,1.855,1.994,0.617,47,9,12.8,0.00106,0.611,93.62,38.532,0.22291
LEARNING & MEMORY,LEARN MEMORY,1072-0502,"6,487",2.46,2.325,3.377,0.345,58,11.6,9.5,0.00458,1.206,96.55,25.824,0.96046
LEARNING AND INDIVIDUAL DIFFERENCES,LEARN INDIVID DIFFER,1041-6080,"6,954",3.139,2.987,3.533,0.57,86,7.2,10.7,0.0087,1.097,100,71.311,1.82455
LEARNING AND INSTRUCTION,LEARN INSTR,0959-4752,"7,701",5.146,4.968,6.892,2.429,56,8.5,9.9,0.00834,2.309,98.21,92.935,1.7488
LEARNING AND MOTIVATION,LEARN MOTIV,0023-9690,"1,164",1.82,1.557,1.511,0.298,57,17.3,11.7,0.00058,0.412,94.74,24.444,0.12355
Learning Culture and Social Interaction,LEARN CULT SOC INTER,2210-6561,777,2.059,1.89,2.463,0.91,67,4,11.7,0.00144,0.648,94.03,40.72,0.30201
Learning Disabilities Research & Practice,LEARN DISABIL RES PR,0938-8982,"1,307",2.861,2.556,3.446,0.316,19,10.8,9.7,0.00105,1.114,84.21,83.246,0.22105
LEARNING DISABILITY QUARTERLY,LEARN DISABILITY Q,0731-9487,"1,238",1.865,1.703,2.968,0.608,51,11.1,11.3,0.00091,0.934,94.12,38.222,0.19133
Learning Media and Technology,LEARN MEDIA TECHNOL,1743-9884,"1,405",4.682,3.955,4.621,2.949,39,5.3,5.9,0.00217,1.379,100,90.341,0.45529
Lecture Notes in Mathematics,LECT NOTES MATH,0075-8434,"13,078",0.417,0.415,0.567,0.087,195,33.6,15,0.0057,0.513,100,6.212,1.1962
LEGAL AND CRIMINOLOGICAL PSYCHOLOGY,LEGAL CRIMINOL PSYCH,1355-3259,"1,230",2.743,2.514,2.795,0.667,24,10.3,10.4,0.0009,0.787,100,69.386,0.1902
Legal Medicine,LEGAL MED-TOKYO,1344-6223,"1,734",1.376,1.26,1.54,0.434,99,7,8.7,0.00164,0.346,96.97,38.235,0.34563
Legal Studies,LEGAL STUD,0261-3875,477,1.028,1,0.957,0.265,34,9,9.9,0.00075,0.449,97.06,38.079,0.15805
LEGISLATIVE STUDIES QUARTERLY,LEGIS STUD QUART,0362-9805,"1,720",2.159,1.773,2.557,0.339,59,13.7,11,0.00198,1.579,100,55.769,0.41571
Legume Research,LEGUME RES,0250-5371,809,0.589,0.377,0.648,0.156,141,4.7,11.6,0.0006,0.075,97.87,12.637,0.12772
Leiden Journal of International Law,LEIDEN J INT LAW,0922-1565,748,1.397,1.167,1.155,0.533,45,8.1,9.4,0.00141,0.646,100,52.649,0.29706
LEISURE SCIENCES,LEISURE SCI,0149-0400,"3,402",2.75,2.138,3.42,1.221,95,13,10.3,0.00108,0.625,98.95,49.147,0.22785
Leisure Studies,LEISURE STUD,0261-4367,"2,682",2.949,2.368,3.737,1.045,88,8.4,9.5,0.00207,0.736,98.86,37.069,0.4351
LEPROSY REVIEW,LEPROSY REV,0305-7518,989,0.537,0.463,0.851,0.119,42,12.9,11.6,0.00061,0.247,95.24,4.269,0.12879
LETHAIA,LETHAIA,0024-1164,"2,773",2.247,2.071,2.347,0.493,71,14.9,17.2,0.0015,0.675,97.18,78.704,0.31475
LETTERS IN APPLIED MICROBIOLOGY,LETT APPL MICROBIOL,0266-8254,"10,193",2.858,2.796,2.776,0.658,193,12.1,8,0.00373,0.498,94.3,38.927,0.78192
Letters in Drug Design & Discovery,LETT DRUG DES DISCOV,1570-1808,"1,249",1.15,1.095,0.994,0.328,137,4.9,9.3,0.00082,0.123,91.97,10.317,0.17325
LETTERS IN MATHEMATICAL PHYSICS,LETT MATH PHYS,0377-9017,"2,816",1.55,1.455,1.505,0.437,126,13.9,16.7,0.00478,1,100,55.455,1.00344
LETTERS IN ORGANIC CHEMISTRY,LETT ORG CHEM,1570-1786,"1,185",0.867,0.818,0.865,0.317,123,6.3,10.5,0.00064,0.102,94.31,13.158,0.13556
LEUKEMIA,LEUKEMIA,0887-6924,"34,181",11.528,10.961,11.37,4.805,365,6.6,5.9,0.04594,3.69,90.14,92.391,9.62533
LEUKEMIA & LYMPHOMA,LEUKEMIA LYMPHOMA,1042-8194,"10,904",3.28,3.107,3.075,0.943,423,6.7,6.2,0.01232,0.805,87,40.064,2.58154
LEUKEMIA RESEARCH,LEUKEMIA RES,0145-2126,"7,027",3.156,3.122,2.683,1.527,74,8.6,6.8,0.00578,0.686,87.84,34.915,1.21142
Leukos,LEUKOS,1550-2724,624,3.389,2.722,2.907,1.692,39,5,10.2,0.00051,0.583,94.87,69.571,0.10824
Lex Localis-Journal of Local Self-Government,LEX LOCALIS,1581-5374,258,0.592,0.437,0.702,0.038,52,4.9,8.1,0.00034,0.134,100,8.531,0.07179
Lexikos,LEXIKOS,1684-4904,146,0.371,0.086,0.569,0.04,25,8.9,13.6,0.00024,0.237,100,13.212,0.05204
LGBT Health,LGBT HEALTH,2325-8292,"1,684",4.151,3.925,5.124,0.683,60,4.1,6,0.00529,1.871,95,81.056,1.11001
LIBRARY & INFORMATION SCIENCE RESEARCH,LIBR INFORM SCI RES,0740-8188,"1,634",2.73,2.397,2.778,0.514,35,9.2,9.2,0.0013,0.719,91.43,57.558,0.27284
LIBRARY AND INFORMATION SCIENCE,LIBR INFORM SC,0373-4447,66,1.333,1.333,0.606,1,2,Not Available,Not Available,0.00006,0.178,100,33.14,0.01263
LIBRARY COLLECTIONS ACQUISITIONS & TECHNICAL SERVICES,LIBR COLLECT ACQUIS,1464-9055,100,Not Available,0,Not Available,0,2,11.2,Not Available,0.00004,0.276,100,Not Available,0.00892
LIBRARY HI TECH,LIBR HI TECH,0737-8831,"1,040",2.357,1.835,2.065,0.843,89,5.2,7.2,0.00105,0.418,93.26,51.744,0.22163
LIBRARY JOURNAL,LIBR J,0363-0277,361,0.386,0.371,0.307,0.186,43,12.7,0.5,0.00042,0.116,100,12.209,0.0884
LIBRARY QUARTERLY,LIBR QUART,0024-2519,883,1.895,1.342,2.277,0.519,27,11.7,13.7,0.00067,0.587,96.3,43.605,0.14186
LIBRARY RESOURCES & TECHNICAL SERVICES,LIBR RESOUR TECH SER,0024-2527,148,0.424,0.394,0.541,0.333,3,10.1,Not Available,0.00022,0.256,100,13.372,0.047
LIBRARY TRENDS,LIBR TRENDS,0024-2594,"1,014",1.311,1.257,1.354,0,38,14.2,6.6,0.00092,0.498,100,31.977,0.19454
LIBRI-International Journal of Libraries and Information Studies,LIBRI,0024-2667,358,0.521,0.5,0.706,0.16,25,10.3,9.5,0.00021,0.177,100,15.698,0.04538
Libyan Journal of Medicine,LIBYAN J MED,1993-2820,503,1.657,1.657,1.988,0.263,19,6.9,10.2,0.00033,0.396,100,36.982,0.07083
LICHENOLOGIST,LICHENOLOGIST,0024-2829,"1,355",1.514,1.297,1.244,0.406,32,13.3,12.6,0.00067,0.311,100,24.439,0.14037
Life Science Alliance,LIFE SCI ALLIANCE,****-****,"1,208",4.591,4.564,4.591,1.474,133,1.7,8.1,0.00426,1.884,100,81.183,0.89397
LIFE SCIENCES,LIFE SCI,0024-3205,"33,802",5.037,4.873,4.689,1.999,"1,270",7.3,6.3,0.02358,0.83,83.23,72.205,4.94045
Life Sciences in Space Research,LIFE SCI SPACE RES,2214-5524,635,2.082,1.706,2.725,0.625,56,4,8.9,0.00109,0.598,92.86,46.011,0.22947
Life-Basel,LIFE-BASEL,****-****,"1,851",3.817,3.324,Not Available,0.507,363,4.1,7.7,0.00387,Not Available,75.21,71.505,0.81275
Lifestyle Genomics,LIFESTYLE GENOM,2504-3161,62,2.083,1.958,2.083,0.545,22,Not Available,7.8,0.00011,0.458,81.82,23.936,0.02369
LIFETIME DATA ANALYSIS,LIFETIME DATA ANAL,1380-7870,"1,182",1.588,1.5,1.686,0.318,44,12.9,15.8,0.00205,1.276,100,43.035,0.42957
Light & Engineering,LIGHT ENG,0236-2945,210,0.421,0.147,0.356,0.174,86,3.2,9.3,0.00013,0.031,100,2.131,0.02795
Lighting Research & Technology,LIGHTING RES TECHNOL,1477-1535,"2,415",2.767,2.088,2.727,0.95,80,7.3,9.5,0.0018,0.479,95,58.965,0.37815
Light-Science & Applications,LIGHT-SCI APPL,2047-7538,"11,228",17.782,17.389,16.996,3.819,182,3.3,5.8,0.02578,4.978,92.31,97.475,5.40242
LIMNETICA,LIMNETICA,0213-8409,878,1.431,1.403,1.259,0.778,45,10.6,12.3,0.00045,0.266,97.78,28.669,0.09526
LIMNOLOGICA,LIMNOLOGICA,0075-9511,"1,999",2.093,2.037,2.386,0.556,54,7.9,11.4,0.00143,0.488,100,64.286,0.30003
LIMNOLOGY,LIMNOLOGY,1439-8621,"1,022",1.576,1.5,1.645,0.698,63,11.2,12,0.00051,0.354,98.41,30.952,0.10771
LIMNOLOGY AND OCEANOGRAPHY,LIMNOL OCEANOGR,0024-3590,"33,931",4.745,4.348,5.203,1.402,338,16.7,10.5,0.01434,1.436,99.7,91.355,3.00469
Limnology and Oceanography Letters,LIMNOL OCEANOGR LETT,****-****,809,7.875,7.797,7.554,2.286,49,2.4,6.7,0.00208,2.199,100,96.886,0.43648
LIMNOLOGY AND OCEANOGRAPHY-METHODS,LIMNOL OCEANOGR-METH,1541-5856,"3,790",2.634,2.482,2.963,0.418,67,9.1,11.4,0.00275,0.83,98.51,69.67,0.57686
LINEAR & MULTILINEAR ALGEBRA,LINEAR MULTILINEAR A,0308-1087,"2,943",1.736,1.402,1.519,0.592,422,5.2,12.3,0.00689,0.739,100,83.788,1.44488
LINEAR ALGEBRA AND ITS APPLICATIONS,LINEAR ALGEBRA APPL,0024-3795,"13,419",1.401,1.11,1.392,0.431,383,11.5,12.4,0.01658,0.726,100,62.837,3.47493
LINGUA,LINGUA,0024-3841,"2,638",0.719,0.617,1.063,0.19,100,10.6,14.5,0.00311,0.68,100,30.829,0.65298
Linguistic Approaches to Bilingualism,LINGUIST APPROACH BI,1879-9264,609,1.813,1.792,3,0.621,29,4.8,12.7,0.00137,1.206,100,71.244,0.28877
LINGUISTIC INQUIRY,LINGUIST INQ,0024-3892,"3,195",1.745,1.636,2.057,0.667,30,21.5,15.7,0.00172,1.359,100,68.135,0.36073
LINGUISTIC REVIEW,LINGUIST REV,0167-6318,553,0.628,0.605,1.151,0.167,18,13.7,18.3,0.00081,0.746,100,28.238,0.17068
Linguistic Typology,LINGUIST TYPOL,1430-0532,402,1.684,1.579,1.225,0.308,13,12.3,14.8,0.00078,0.953,92.31,66.58,0.16453
Linguistica Antverpiensia New Series-Themes in Translation Studies,LING ANTVERP NEW SER,2295-5739,146,0.607,0.571,0.894,0.167,12,7,10.3,0.00043,0.641,91.67,26.684,0.09128
LINGUISTICS,LINGUISTICS,0024-3949,"1,503",0.803,0.789,0.926,0.231,52,19.2,15.7,0.00146,0.755,100,33.938,0.30631
Linguistics and Education,LINGUIST EDUC,0898-5898,"1,353",1.592,1.408,2.086,0.48,50,7.9,12,0.0017,0.786,100,44.59,0.35618
LINGUISTICS AND PHILOSOPHY,LINGUIST PHILOS,0165-0157,"1,951",1.514,1.459,2.153,0.341,41,18.4,15.8,0.00142,1.629,100,61.399,0.29869
Linguistics Vanguard,LINGUIST VANGUARD,2199-174X,157,0.971,0.942,Not Available,0.206,34,3.1,10.6,0.00088,Not Available,100,41.71,0.18535
LIPIDS,LIPIDS,0024-4201,"7,814",1.88,1.804,2.417,0.386,83,16.8,10,0.00244,0.488,91.57,16.291,0.51282
Lipids in Health and Disease,LIPIDS HEALTH DIS,****-****,"8,243",3.876,3.709,4.047,0.641,245,4.9,7.4,0.00919,0.78,88.98,50.252,1.9256
Liquid Crystals Reviews,LIQ CRYST REV,2168-0396,315,6.214,6.143,6.806,0,2,4,6.7,0.00053,1.668,50,79.947,0.11157
LISTY CUKROVARNICKE A REPARSKE,LISTY CUKROV REPAR,1210-3306,96,0.202,0.105,0.216,0.018,56,Not Available,8.9,0.00007,0.024,100,2.431,0.01529
Literacy,LITERACY,1741-4350,466,1.783,1.543,1.922,0.778,27,6.7,8.9,0.00081,0.78,100,51.366,0.17159
Lithic Technology,LITHIC TECHNOL,0197-7261,355,1.515,1.364,1.349,0.321,28,12.8,11.8,0.00048,0.545,100,57.386,0.10104
LITHOLOGY AND MINERAL RESOURCES,LITHOL MINER RESOUR+,0024-4902,600,0.586,0.443,0.769,0.189,37,13.2,19.2,0.00033,0.195,100,5.006,0.07105
LITHOS,LITHOS,0024-4937,"29,247",4.004,3.496,5.11,0.938,439,8.6,13.5,0.02425,1.341,98.63,78.655,5.08138
Lithosphere,LITHOSPHERE-US,1941-8264,"1,709",3.375,3.292,3.698,0.396,53,5.4,14.1,0.00328,1.265,98.11,73.722,0.68753
Lithuanian Journal of Physics,LITH J PHYS,1648-8504,231,0.633,0.583,0.712,0.217,23,6.4,8.1,0.00025,0.167,95.65,6.471,0.05272
Lithuanian Mathematical Journal,LITH MATH J,0363-1672,329,0.519,0.494,0.576,0.098,41,8.8,15.2,0.00047,0.241,100,12.273,0.09926
Liver Cancer,LIVER CANCER,2235-1795,"1,579",11.74,10.38,9.024,2.25,48,3.4,5.1,0.0028,2.159,85.42,92.025,0.58691
LIVER INTERNATIONAL,LIVER INT,1478-3223,"12,834",5.828,5.528,5.276,3.523,354,4.8,5.5,0.01941,1.52,82.77,73.37,4.06752
LIVER TRANSPLANTATION,LIVER TRANSPLANT,1527-6465,"11,872",5.799,5.239,5.138,3.778,144,8.6,6.7,0.0117,1.587,86.11,83.5,2.45189
Livestock Science,LIVEST SCI,1871-1413,"9,037",1.943,1.807,2.252,0.45,358,7.9,10.6,0.00552,0.428,98.6,56.349,1.15696
Living Reviews in Relativity,LIVING REV RELATIV,2367-3613,"3,407",40.429,40.214,30.308,1,3,8.4,5.9,0.00296,11.086,0,98.276,0.62184
Living Reviews in Solar Physics,LIVING REV SOL PHYS,2367-3648,"1,640",17.417,17.333,23.481,6,5,7.5,13.4,0.00267,9.628,0,96.324,0.56084
Ljetopis Socijalnog Rada,LJETOP SOC RADA,1846-5412,74,0.243,0.216,0.212,0.286,14,Not Available,11.1,0.00006,0.062,78.57,1.136,0.01384
Local Environment,LOCAL ENVIRON,1354-9839,"2,976",2.496,2.343,2.917,0.776,67,7.3,7.4,0.00313,0.767,98.51,30.661,0.65655
LOCAL GOVERNMENT STUDIES,LOCAL GOV STUD,0300-3930,"1,521",2.726,2.179,2.87,0.766,94,6.3,9.2,0.0017,0.718,98.94,49.3,0.35771
LOGIC JOURNAL OF THE IGPL,LOG J IGPL,1367-0751,465,0.861,0.785,0.846,0.328,67,6.1,11.4,0.00102,0.413,100,52.63,0.21492
Logica Universalis,LOG UNIVERSALIS,1661-8297,134,0.385,0.365,0.39,0.4,25,6.6,18.6,0.00032,0.255,100,16.667,0.06758
Logical Methods in Computer Science,LOG METH COMPUT SCI,1860-5974,552,0.438,0.373,0.488,0.13,77,6.9,12.1,0.00202,0.457,100,17.976,0.42415
Logopedics Phoniatrics Vocology,LOGOP PHONIATR VOCO,1401-5439,566,1.487,1.128,1.491,0.304,56,9.9,11.4,0.00053,0.494,96.43,15.004,0.11307
