Journal	JournalFullName	ISSN	2022IF	2022AI
TRANS-FORM-ACAO	TRANS-FORM-ACAO	0101-3173	0.1	0.068
TRANSFORMATION	TRANSFORMATION-CRITICAL PERSPECTIVES ON SOUTHERN AFRICA	0258-7696	0.7	0.445
TRANSFORM-INT J HOLI	TRANSFORMATION-AN INTERNATIONAL JOURNAL OF HOLISTIC MISSION STUDIES	0265-3788	0.8	0.303
TRANSFUS APHER SCI	TRANSFUSION AND APHERESIS SCIENCE	1473-0502	1.9	0.423
TRANSFUS CLIN BIOL	TRANSFUSION CLINIQUE ET BIOLOGIQUE	1246-7820	1.7	0.318
TRANSFUS MED HEMOTH	TRANSFUSION MEDICINE AND HEMOTHERAPY	1660-3796	2.2	0.706
TRANSFUS MED REV	TRANSFUSION MEDICINE REVIEWS	0887-7963	4.5	1.315
TRANSFUSION	TRANSFUSION	0041-1132	2.9	0.713
TRANSFUSION MED	TRANSFUSION MEDICINE	0958-7578	1.5	0.531
TRANSFUSIONSMEDIZIN	TRANSFUSIONSMEDIZIN	2191-8805	0.1	0.011
TRANSGENDER HEALTH	TRANSGENDER HEALTH	2688-4887	2.0	0.0
TRANSGENIC RES	TRANSGENIC RESEARCH	0962-8819	3.0	0.463
TRANSINFORMACAO	TRANSINFORMACAO	0103-3786	0.6	0.204
TRANSIT METAL CHEM	TRANSITION METAL CHEMISTRY	0340-4285	1.7	0.173
TRANSITION	TRANSITION	0041-1191	0.0	0.216
TRANSL ANDROL UROL	TRANSLATIONAL ANDROLOGY AND UROLOGY	2223-4683	2.0	0.66
TRANSL ANIM SCI	TRANSLATIONAL ANIMAL SCIENCE	2573-2102	1.3	0.262
TRANSL BEHAV MED	TRANSLATIONAL BEHAVIORAL MEDICINE	1869-6716	3.6	1.204
TRANSL CANCER RES	TRANSLATIONAL CANCER RESEARCH	2218-676X	0.9	0.165
TRANSL CLIN PHARMACO	TRANSLATIONAL AND CLINICAL PHARMACOLOGY	2289-0882	0.9	0.0
TRANSL GASTROENT HEP	TRANSLATIONAL GASTROENTEROLOGY AND HEPATOLOGY	2415-1289	3.0	0.772
TRANSL INTERPRET	TRANSLATION & INTERPRETING-THE INTERNATIONAL JOURNAL OF TRANSLATION AND INTERPRETING	1836-9324	1.1	0.566
TRANSL INTERPRET STU	TRANSLATION AND INTERPRETING STUDIES	1932-2798	0.9	0.429
TRANSL ISS PSYCH SCI	TRANSLATIONAL ISSUES IN PSYCHOLOGICAL SCIENCE	2332-2136	1.8	0.0
TRANSL J AM COLL SPO	TRANSLATIONAL JOURNAL OF THE AMERICAN COLLEGE OF SPORTS MEDICINE	2379-2868	0.9	0.0
TRANSL LIT	TRANSLATION AND LITERATURE	0968-1361	0.1	0.177
TRANSL LUNG CANCER R	TRANSLATIONAL LUNG CANCER RESEARCH	2218-6751	4.0	1.151
TRANSL MED UNISA	TRANSLATIONAL MEDICINE AT UNISA	2239-9747	1.5	0.296
TRANSL NEURODEGENER	TRANSLATIONAL NEURODEGENERATION	2047-9158	12.6	2.258
TRANSL NEUROSCI	TRANSLATIONAL NEUROSCIENCE	2081-3856	2.1	0.341
TRANSL ONCOL	TRANSLATIONAL ONCOLOGY	1936-5233	5.0	0.912
TRANSL PEDIATR	TRANSLATIONAL PEDIATRICS	2224-4336	2.0	0.582
TRANSL PSYCHIAT	TRANSLATIONAL PSYCHIATRY	2158-3188	6.8	2.136
TRANSL RES	TRANSLATIONAL RESEARCH	1931-5244	7.8	1.674
TRANSL SPACES	TRANSLATION SPACES	2211-3711	1.6	0.713
TRANSL SPORTS MED	TRANSLATIONAL SPORTS MEDICINE	2573-8488	1.2	0.339
TRANSL STROKE RES	TRANSLATIONAL STROKE RESEARCH	1868-4483	6.9	1.325
TRANSL STUD	TRANSLATION STUDIES	1478-1700	1.0	1.334
TRANSL TRANSL MULT C	TRANSLATION AND TRANSLANGUAGING IN MULTILINGUAL CONTEXTS	2352-1805	0.8	0.0
TRANSL VIS SCI TECHN	TRANSLATIONAL VISION SCIENCE & TECHNOLOGY	2164-2591	3.0	0.817
TRANSLATION REV	TRANSLATION REVIEW	0737-4836	0.5	0.105
TRANSLATOR	TRANSLATOR	1355-6509	0.7	0.785
TRANSNATL CORP REV	TRANSNATIONAL CORPORATIONS REVIEW	1918-6444	3.5	0.652
TRANSNATL CURRIC INQ	TRANSNATIONAL CURRICULUM INQUIRY	1449-8855	0.3	0.141
TRANSNATL ENVIRON LA	TRANSNATIONAL ENVIRONMENTAL LAW	2047-1025	4.3	1.248
TRANSNATL SCRE	TRANSNATIONAL SCREENS	2578-5273	0.2	0.127
TRANSNAV	TRANSNAV-INTERNATIONAL JOURNAL ON MARINE NAVIGATION AND SAFETY OF SEA TRANSPORTATION	2083-6473	0.6	0.114
TRANSP DEV ECON	TRANSPORTATION IN DEVELOPING ECONOMIES	2199-9287	1.6	0.321
TRANSP GEOTECH	TRANSPORTATION GEOTECHNICS	2214-3912	5.3	0.918
TRANSP LETT	TRANSPORTATION LETTERS-THE INTERNATIONAL JOURNAL OF TRANSPORTATION RESEARCH	1942-7867	2.8	0.5
TRANSP PROBL	TRANSPORT PROBLEMS	1896-0596	0.7	0.062
TRANSP SAFETY ENV	TRANSPORTATION SAFETY AND ENVIRONMENT	2631-4428	2.2	0.655
TRANSP TELECOMMUN J	TRANSPORT AND TELECOMMUNICATION JOURNAL	1407-6160	1.4	0.166
TRANS-PASANDO FRONT	TRANS-PASANDO FRONTERAS	2248-7212	0.1	0.007
TRANSPL CELL THER	TRANSPLANTATION AND CELLULAR THERAPY	2666-6375	3.2	1.02
TRANSPL IMMUNOL	TRANSPLANT IMMUNOLOGY	0966-3274	1.5	0.3
TRANSPL INFECT DIS	TRANSPLANT INFECTIOUS DISEASE	1398-2273	2.6	0.657
TRANSPL INT	TRANSPLANT INTERNATIONAL	0934-0874	3.1	1.064
TRANSPL P	TRANSPLANTATION PROCEEDINGS	0041-1345	0.9	0.216
TRANSPL RES RISK MAN	TRANSPLANT RESEARCH AND RISK MANAGEMENT	1179-1616	0.9	0.181
TRANSPLANT DIRECT	TRANSPLANTATION DIRECT	2373-8731	2.3	0.72
TRANSPLANT REV-ORLAN	TRANSPLANTATION REVIEWS	0955-470X	4.0	1.166
TRANSPLANTATION	TRANSPLANTATION	0041-1337	6.2	1.583
TRANSPORT J	TRANSPORTATION JOURNAL	0041-1612	2.3	0.268
TRANSPORT PLAN TECHN	TRANSPORTATION PLANNING AND TECHNOLOGY	0308-1060	1.6	0.34
TRANSPORT POLICY	TRANSPORT POLICY	0967-070X	6.8	1.228
TRANSPORT POROUS MED	TRANSPORT IN POROUS MEDIA	0169-3913	2.7	0.597
TRANSPORT RES A-POL	TRANSPORTATION RESEARCH PART A-POLICY AND PRACTICE	0965-8564	6.4	1.471
TRANSPORT RES B-METH	TRANSPORTATION RESEARCH PART B-METHODOLOGICAL	0191-2615	6.8	2.208
TRANSPORT RES C-EMER	TRANSPORTATION RESEARCH PART C-EMERGING TECHNOLOGIES	0968-090X	8.3	2.218
TRANSPORT RES D-TR E	TRANSPORTATION RESEARCH PART D-TRANSPORT AND ENVIRONMENT	1361-9209	7.6	1.498
TRANSPORT RES E-LOG	TRANSPORTATION RESEARCH PART E-LOGISTICS AND TRANSPORTATION REVIEW	1366-5545	10.6	1.787
TRANSPORT RES F-TRAF	TRANSPORTATION RESEARCH PART F-TRAFFIC PSYCHOLOGY AND BEHAVIOUR	1369-8478	4.1	1.038
TRANSPORT RES REC	TRANSPORTATION RESEARCH RECORD	0361-1981	1.7	0.421
TRANSPORT REV	TRANSPORT REVIEWS	0144-1647	9.8	2.769
TRANSPORT SCI	TRANSPORTATION SCIENCE	0041-1655	4.6	1.818
TRANSPORTATION	TRANSPORTATION	0049-4488	4.3	1.212
TRANSPORTMETRICA A	TRANSPORTMETRICA A-TRANSPORT SCIENCE	2324-9935	3.3	0.819
TRANSPORTMETRICA B	TRANSPORTMETRICA B-TRANSPORT DYNAMICS	2168-0566	2.8	0.718
TRANSPORT-VILNIUS	TRANSPORT	1648-4142	1.7	0.301
TRANS-REV LITT GEN C	TRANS-REVUE DE LITTERATURE GENERALE ET COMPAREE	1778-3887	0.0	0.011
TRANS-REV TRAD	TRANS-REVISTA DE TRADUCTOLOGIA	1137-2311	0.1	0.099
TRANS-REV TRANSCULT	TRANS-REVISTA TRANSCULTURAL DE MUSICA	1697-0101	0.0	0.004
TRANSYLV REV	TRANSYLVANIAN REVIEW	1221-1249	0.1	0.093
TRANSYLV REV ADM SCI	TRANSYLVANIAN REVIEW OF ADMINISTRATIVE SCIENCES	1842-2845	1.0	0.13
TRASHUMANTE	TRASHUMANTE-REVISTA AMERICANA DE HISTORIA SOCIAL	2322-9381	0.2	0.297
TRAUMA	TRAUMA-ENGLAND	1460-4086	0.6	0.193
TRAUMA MON	TRAUMA MONTHLY	2251-7464	0.5	0.094
TRAUMA SURG ACUTE CA	TRAUMA SURGERY & ACUTE CARE OPEN	2397-5776	2.0	0.0
TRAUMA VIOLENCE ABUS	TRAUMA VIOLENCE & ABUSE	1524-8380	6.4	2.353
TRAUMATOLOGY	TRAUMATOLOGY	1085-9373	3.2	0.0
TRAV GENRE SOC	TRAVAIL GENRE ET SOCIETES	1294-6303	0.1	0.202
TRAV HUMAIN	TRAVAIL HUMAIN	0041-1868	0.7	0.197
TRAVEL BEHAV SOC	TRAVEL BEHAVIOUR AND SOCIETY	2214-367X	5.2	1.193
TRAVEL MED INFECT DI	TRAVEL MEDICINE AND INFECTIOUS DISEASE	1477-8939	12.0	2.037
TRAVMATOL ORTOP ROSS	TRAVMATOLOGIYA I ORTOPEDIYA ROSSII	2311-2905	0.3	0.027
TREB SOCIOLING CATAL	TREBALLS DE SOCIOLINGUISTICA CATALANA	0211-0784	0.3	0.296
TREE GENET GENOMES	TREE GENETICS & GENOMES	1614-2942	2.4	0.435
TREE PHYSIOL	TREE PHYSIOLOGY	0829-318X	4.0	0.934
TREE-RING RES	TREE-RING RESEARCH	1536-1098	1.6	0.301
TREES FOREST PEOPLE	TREES FORESTS AND PEOPLE	2666-7193	2.7	0.472
TREES-STRUCT FUNCT	TREES-STRUCTURE AND FUNCTION	0931-1890	2.3	0.478
TREMOR OTHER HYPERK	TREMOR AND OTHER HYPERKINETIC MOVEMENTS	2160-8288	2.2	0.636
TREND UROL MENS HEAL	TRENDS IN UROLOGY & MENS HEALTH	2044-3730	0.4	0.063
TRENDS ANAESTH CRIT	TRENDS IN ANAESTHESIA AND CRITICAL CARE	2210-8440	1.5	0.288
TRENDS BIOCHEM SCI	TRENDS IN BIOCHEMICAL SCIENCES	0968-0004	13.8	5.806
TRENDS BIOTECHNOL	TRENDS IN BIOTECHNOLOGY	0167-7799	17.3	3.821
TRENDS CANCER	TRENDS IN CANCER	2405-8025	18.4	4.996
TRENDS CARBOHYDR RES	TRENDS IN CARBOHYDRATE RESEARCH	0975-0304	0.2	0.024
TRENDS CARDIOVAS MED	TRENDS IN CARDIOVASCULAR MEDICINE	1050-1738	9.3	1.804
TRENDS CELL BIOL	TRENDS IN CELL BIOLOGY	0962-8924	19.0	6.905
TRENDS CHEM	TRENDS IN CHEMISTRY	2589-5974	15.7	5.258
TRENDS CLASS	TRENDS IN CLASSICS	1866-7473	0.2	0.461
TRENDS COGN SCI	TRENDS IN COGNITIVE SCIENCES	1364-6613	19.9	9.937
TRENDS ECOL EVOL	TRENDS IN ECOLOGY & EVOLUTION	0169-5347	16.8	6.392
TRENDS ENDOCRIN MET	TRENDS IN ENDOCRINOLOGY AND METABOLISM	1043-2760	10.9	3.406
TRENDS ENVIRON ANAL	TRENDS IN ENVIRONMENTAL ANALYTICAL CHEMISTRY	2214-1588	11.2	1.581
TRENDS FOOD SCI TECH	TRENDS IN FOOD SCIENCE & TECHNOLOGY	0924-2244	15.3	2.187
TRENDS GENET	TRENDS IN GENETICS	0168-9525	11.4	4.998
TRENDS GLYCOSCI GLYC	TRENDS IN GLYCOSCIENCE AND GLYCOTECHNOLOGY	0915-7352	0.3	0.091
TRENDS HEAR	TRENDS IN HEARING	2331-2165	2.7	1.0
TRENDS IMMUNOL	TRENDS IN IMMUNOLOGY	1471-4906	16.8	5.665
TRENDS ISS CRIME CRI	TRENDS AND ISSUES IN CRIME AND CRIMINAL JUSTICE	1836-2206	1.8	0.442
TRENDS MICROBIOL	TRENDS IN MICROBIOLOGY	0966-842X	15.9	5.034
TRENDS MOL MED	TRENDS IN MOLECULAR MEDICINE	1471-4914	13.6	3.784
TRENDS NEUROSCI	TRENDS IN NEUROSCIENCES	0166-2236	15.9	6.1
TRENDS NEUROSCI EDUC	TRENDS IN NEUROSCIENCE AND EDUCATION	2452-0837	3.3	1.073
TRENDS ORGAN CRIME	TRENDS IN ORGANIZED CRIME	1084-4791	1.7	0.614
TRENDS PARASITOL	TRENDS IN PARASITOLOGY	1471-4922	9.6	2.589
TRENDS PHARMACOL SCI	TRENDS IN PHARMACOLOGICAL SCIENCES	0165-6147	13.8	3.626
TRENDS PLANT SCI	TRENDS IN PLANT SCIENCE	1360-1385	20.5	4.928
TRENDS PSYCHIATR PSY	TRENDS IN PSYCHIATRY AND PSYCHOTHERAPY	2237-6089	2.6	0.544
TRIA	TRIA-TERRITORIO DELLA RICERCA SU INSEDIAMENTI E AMBIENTE	1974-6849	0.0	0.016
TRIALS	TRIALS	1745-6215	2.5	0.9
TRIBOL INT	TRIBOLOGY INTERNATIONAL	0301-679X	6.2	0.864
TRIBOL LETT	TRIBOLOGY LETTERS	1023-8883	3.2	0.575
TRIBOL ONLINE	TRIBOLOGY ONLINE	1881-2198	1.0	0.19
TRIBOL T	TRIBOLOGY TRANSACTIONS	1040-2004	2.1	0.367
TRIBOL-MATER SURF IN	TRIBOLOGY-MATERIALS SURFACES & INTERFACES	1751-5831	1.3	0.259
TRIMEST ECON	TRIMESTRE ECONOMICO	0041-3011	0.4	0.1
TRIPLE HELIX-NETH	TRIPLE HELIX	2590-0366	2.6	0.0
TRIPLEC-COMMUN CAPIT	TRIPLEC-COMMUNICATION CAPITALISM & CRITIQUE	1726-670X	1.8	0.635
TRIPODOS	TRIPODOS	1138-3305	0.8	0.205
TROP AGRIC	TROPICAL AGRICULTURE	0041-3216	0.3	0.048
TROP ANIM HEALTH PRO	TROPICAL ANIMAL HEALTH AND PRODUCTION	0049-4747	1.7	0.274
TROP ANIM SCI J	TROPICAL ANIMAL SCIENCE JOURNAL	2615-787X	0.8	0.107
TROP BIOMED	TROPICAL BIOMEDICINE	0127-5720	0.8	0.161
TROP CONSERV SCI	TROPICAL CONSERVATION SCIENCE	1940-0829	1.7	0.491
TROP CYCLONE RES REV	TROPICAL CYCLONE RESEARCH AND REVIEW	2225-6032	2.9	0.767
TROP DIS TRAVEL MED	TROPICAL DISEASES TRAVEL MEDICINE AND VACCINES	2055-0936	3.1	0.0
TROP DOCT	TROPICAL DOCTOR	0049-4755	0.6	0.192
TROP ECOL	TROPICAL ECOLOGY	0564-3295	1.6	0.237
TROP GRASSL-FORRAJES	TROPICAL GRASSLANDS-FORRAJES TROPICALES	2346-3775	0.7	0.205
TROP J PHARM RES	TROPICAL JOURNAL OF PHARMACEUTICAL RESEARCH	1596-5996	0.6	0.083
TROP LIFE SCI RES	TROPICAL LIFE SCIENCES RESEARCH	1985-3718	1.4	0.23
TROP MED HEALTH	TROPICAL MEDICINE AND HEALTH	1348-8945	4.5	0.873
TROP MED INFECT DIS	TROPICAL MEDICINE AND INFECTIOUS DISEASE	2414-6366	2.9	0.769
TROP MED INT HEALTH	TROPICAL MEDICINE & INTERNATIONAL HEALTH	1360-2276	3.3	0.834
TROP PLANT BIOL	TROPICAL PLANT BIOLOGY	1935-9756	2.0	0.295
TROP PLANT PATHOL	TROPICAL PLANT PATHOLOGY	1983-2052	2.5	0.394
TROP ZOOL	TROPICAL ZOOLOGY	0394-6975	0.9	0.212
TROPICS	TROPICS	0917-415X	0.7	0.138
TRUMPETER	TRUMPETER-JOURNAL OF ECOSOPHY	0832-6193	0.0	0.062
TRUSTS TRUSTEES	TRUSTS & TRUSTEES	1363-1780	0.3	0.016
TSINGHUA CHINA LAW R	TSINGHUA CHINA LAW REVIEW	2151-8904	0.2	0.11
TSINGHUA SCI TECHNOL	TSINGHUA SCIENCE AND TECHNOLOGY	1007-0214	6.6	0.671
TSQ-TRANSGENDER STUD	TSQ-TRANSGENDER STUDIES QUARTERLY	2328-9252	0.7	0.915
TSUKUBA J MATH	TSUKUBA JOURNAL OF MATHEMATICS	0387-4982	0.7	0.315
TUBERC RESPIR DIS	TUBERCULOSIS AND RESPIRATORY DISEASES	1738-3536	2.9	0.56
TUBERCULOSIS	TUBERCULOSIS	1472-9792	3.2	0.723
TUBERK TORAK	TUBERKULOZ VE TORAKS-TUBERCULOSIS AND THORAX	0494-1373	1.1	0.222
TUEXENIA	TUEXENIA	0722-494X	1.2	0.25
TULSA STUD WOMEN LIT	TULSA STUDIES IN WOMENS LITERATURE	0732-7730	0.0	0.173
TUMORI J	TUMORI JOURNAL	0300-8916	1.9	0.377
TUMOUR VIRUS RES	TUMOUR VIRUS RESEARCH	2666-6790	4.3	0.964
TUNGSTEN-SINGAPORE	TUNGSTEN	2661-8028	6.6	1.003
TUNING J HIGH EDUC	TUNING JOURNAL FOR HIGHER EDUCATION	2340-8170	0.9	0.127
TUNISIAN J MATH	TUNISIAN JOURNAL OF MATHEMATICS	2576-7658	0.9	1.38
TUNN UNDERGR SP TECH	TUNNELLING AND UNDERGROUND SPACE TECHNOLOGY	0886-7798	6.9	1.181
TURCZANINOWIA	TURCZANINOWIA	1560-7259	0.5	0.0
TURK ARCH OTORHINOL	TURKISH ARCHIVES OF OTORHINOLARYNGOLOGY	2667-7466	0.6	0.27
TURK ARCH PEDIATR	TURKISH ARCHIVES OF PEDIATRICS	2757-6256	1.2	0.204
TURK DERMATOL DERG	TURK DERMATOLOJI DERGISI-TURKISH JOURNAL OF DERMATOLOGY	1307-7635	0.1	0.052
TURK DILI EDEB DERG	TURK DILI VE EDEBIYATI DERGISI-JOURNAL OF TURKISH LANGUAGE AND LITERATURE	1015-2091	0.0	0.0
TURK ENTOMOL DERG-TU	TURKIYE ENTOMOLOJI DERGISI-TURKISH JOURNAL OF ENTOMOLOGY	1010-6960	0.8	0.194
TURK GOGUS KALP DAMA	TURK GOGUS KALP DAMAR CERRAHISI DERGISI-TURKISH JOURNAL OF THORACIC AND CARDIOVASCULAR SURGERY	1301-5680	0.6	0.121
TURK HIST REV	TURKISH HISTORICAL REVIEW	1877-5454	0.0	0.215
TURK ILET ARASTIRMAL	TURKIYE ILETISIM ARASTIRMALARI DERGISI-TURKISH REVIEW OF COMMUNICATION STUDIES	2630-6220	0.1	0.016
TURK J AGRIC FOR	TURKISH JOURNAL OF AGRICULTURE AND FORESTRY	1300-011X	2.9	0.26
TURK J ANAESTHESIOL	TURKISH JOURNAL OF ANAESTHESIOLOGY AND REANIMATION	2667-6370	0.5	0.208
TURK J BIOCHEM	TURKISH JOURNAL OF BIOCHEMISTRY-TURK BIYOKIMYA DERGISI	0250-4685	0.7	0.118
TURK J BIOL	TURKISH JOURNAL OF BIOLOGY	1300-0152	2.2	0.257
TURK J BOT	TURKISH JOURNAL OF BOTANY	1300-008X	1.8	0.286
TURK J BUS ETHICS	TURKISH JOURNAL OF BUSINESS ETHICS	1308-4070	0.4	0.043
TURK J CHEM	TURKISH JOURNAL OF CHEMISTRY	1300-0527	1.4	0.156
TURK J EARTH SCI	TURKISH JOURNAL OF EARTH SCIENCES	1300-0985	1.0	0.272
TURK J EDUC	TURKISH JOURNAL OF EDUCATION	2147-2858	1.2	0.17
TURK J ELECTR ENG CO	TURKISH JOURNAL OF ELECTRICAL ENGINEERING AND COMPUTER SCIENCES	1300-0632	1.1	0.153
TURK J EMERG MED	TURKISH JOURNAL OF EMERGENCY MEDICINE	2452-2473	0.9	1.116
TURK J ENDOCRINOL ME	TURKISH JOURNAL OF ENDOCRINOLOGY AND METABOLISM	1301-2193	0.2	0.041
TURK J FIELD CROPS	TURKISH JOURNAL OF FIELD CROPS	1301-1111	0.8	0.139
TURK J FISH AQUAT SC	TURKISH JOURNAL OF FISHERIES AND AQUATIC SCIENCES	1303-2712	1.3	0.231
TURK J GASTROENTEROL	TURKISH JOURNAL OF GASTROENTEROLOGY	2148-5607	1.2	0.351
TURK J GERIATR	TURKISH JOURNAL OF GERIATRICS-TURK GERIATRI DERGISI	1304-2947	0.3	0.049
TURK J HEMATOL	TURKISH JOURNAL OF HEMATOLOGY	1300-7777	2.6	0.49
TURK J HIST	TURKISH JOURNAL OF HISTORY-TARIH DERGISI	1015-1818	0.0	0.001
TURK J IMMUNOL	TURKISH JOURNAL OF IMMUNOLOGY	1301-109X	1.2	0.076
TURK J INTENS CARE	TURKISH JOURNAL OF INTENSIVE CARE-TURK YOGUN BAKIM DERGISI	2602-2974	0.1	0.028
TURK J ISLAMIC ECON	TURKISH JOURNAL OF ISLAMIC ECONOMICS-TUJISE	2147-9054	0.3	0.068
TURK J MATH	TURKISH JOURNAL OF MATHEMATICS	1300-0098	1.0	0.291
TURK J MED SCI	TURKISH JOURNAL OF MEDICAL SCIENCES	1300-0144	2.3	0.325
TURK J NEPHROL	TURKISH JOURNAL OF NEPHROLOGY	2667-4440	0.2	0.033
TURK J NEUROL	TURKISH JOURNAL OF NEUROLOGY	1301-062X	0.3	0.102
TURK J OBSTET GYNECO	TURKISH JOURNAL OF OBSTETRICS AND GYNECOLOGY	2149-9322	1.1	0.297
TURK J ORTHOD	TURKISH JOURNAL OF ORTHODONTICS	2148-9505	1.1	0.232
TURK J PATHOL	TURKISH JOURNAL OF PATHOLOGY	1018-5615	1.0	0.284
TURK J PH MED REHAB	TURKISH JOURNAL OF PHYSICAL MEDICINE AND REHABILITATION	2587-1250	1.3	0.31
TURK J PHARM SCI	TURKISH JOURNAL OF PHARMACEUTICAL SCIENCES	1304-530X	1.7	0.22
TURK J PHYS	TURKISH JOURNAL OF PHYSICS	1300-0101	2.1	0.195
TURK J PHYSIOTHER R	TURKISH JOURNAL OF PHYSIOTHERAPY REHABILITATION-TURK FIZYOTERAPI VE REHABILITASYON DERGISI	2651-4451	1.2	0.115
TURK J PLAST SURG	TURKISH JOURNAL OF PLASTIC SURGERY	1300-6878	0.1	0.064
TURK J SURG	TURKISH JOURNAL OF SURGERY	2564-6850	0.6	0.167
TURK J UROL	TURKISH JOURNAL OF UROLOGY	2149-3057	1.3	0.282
TURK J VET ANIM SCI	TURKISH JOURNAL OF VETERINARY & ANIMAL SCIENCES	1300-0128	0.6	0.118
TURK J ZOOL	TURKISH JOURNAL OF ZOOLOGY	1300-0179	1.0	0.183
TURK JEOL BULT	TURKIYE JEOLOJI BULTENI-GEOLOGICAL BULLETIN OF TURKEY	1016-9164	0.3	0.1
TURK KARDIYOL DERN A	TURK KARDIYOLOJI DERNEGI ARSIVI-ARCHIVES OF THE TURKISH SOCIETY OF CARDIOLOGY	1016-5169	0.8	0.142
TURK LANG	TURKIC LANGUAGES	1431-4983	0.1	0.013
TURK LIBRARIANSH	TURKISH LIBRARIANSHIP	1300-0039	0.2	0.022
TURK NEUROSURG	TURKISH NEUROSURGERY	1019-5149	0.8	0.222
TURK OFTAMOL DERGISI	TURK OFTALMOLOJI DERGISI-TURKISH JOURNAL OF OPHTHALMOLOGY	1300-0659	1.1	0.313
TURK ONCOL DERG	TURK ONKOLOJI DERGISI-TURKISH JOURNAL OF ONCOLOGY	1300-7467	0.3	0.067
TURK ONLINE J DISTAN	TURKISH ONLINE JOURNAL OF DISTANCE EDUCATION	1302-6488	1.9	0.313
TURK OSTEOPOROZ DERG	TURK OSTEOPOROZ DERGISI-TURKISH JOURNAL OF OSTEOPOROSIS	2147-2653	0.1	0.025
TURK PEDIATR ARSIVI	TURK PEDIATRI ARSIVI-TURKISH ARCHIVES OF PEDIATRICS	1306-0015	1.5	0.309
TURK POLICY Q	TURKISH POLICY QUARTERLY	1303-5754	0.1	0.081
TURK PSIKIYATR DERG	TURK PSIKIYATRI DERGISI	1300-2163	0.9	0.26
TURK PSIKOL DERG	TURK PSIKOLOJI DERGISI	1300-4433	0.2	0.073
TURK STUD	TURKISH STUDIES	1468-3849	1.3	0.613
TURK THORAC J	TURKISH THORACIC JOURNAL	2149-2530	0.9	0.28
TURKDERM-TURK ARCH D	TURKDERM-TURKISH ARCHIVES OF DERMATOLOGY AND VENEROLOGY	2717-6398	0.2	0.061
TURKISH J PEDIATR	TURKISH JOURNAL OF PEDIATRICS	0041-4301	0.7	0.168
TUSCULUM	TUSCULUM-CASOPIS ZA SOLINSKE TEME	1846-9469	0.1	0.0
TWENT CENTURY BR HIS	TWENTIETH CENTURY BRITISH HISTORY	0955-2359	0.9	1.223
TWENT-CENTURY CHINA	TWENTIETH-CENTURY CHINA	1521-5385	0.6	0.334
TWENT-CENTURY MUSIC	TWENTIETH-CENTURY MUSIC	1478-5722	0.4	0.777
TWENTIETH CENT LIT	TWENTIETH CENTURY LITERATURE	0041-462X	0.1	0.236
TWIN RES HUM GENET	TWIN RESEARCH AND HUMAN GENETICS	1832-4274	0.9	0.777
TWMS J APPL ENG MATH	TWMS JOURNAL OF APPLIED AND ENGINEERING MATHEMATICS	2146-1147	0.4	0.084
TWMS J PURE APPL MAT	TWMS JOURNAL OF PURE AND APPLIED MATHEMATICS	2076-2585	3.8	0.392
TYDSKR GEESTESWET	TYDSKRIF VIR GEESTESWETENSKAPPE	0041-4751	0.1	0.026
TYDSKR LETT	TYDSKRIF VIR LETTERKUNDE	0041-476X	0.3	0.298
TYDSKR SUID-AFR REG	TYDSKRIF VIR DIE SUID-AFRIKAANSE REG	0257-7747	0.1	0.039
TZINTZUN	TZINTZUN-REVISTA DE ESTUDIOS HISTORICOS	1870-719X	0.1	0.209
TZU CHI MED J	TZU CHI MEDICAL JOURNAL	1016-3190	1.5	0.342
U BOLOGNA LAW REV	UNIVERSITY OF BOLOGNA LAW REVIEW	2531-6133	0.3	0.0
U CHICAGO LAW REV	UNIVERSITY OF CHICAGO LAW REVIEW	0041-9494	2.0	1.519
U CINCI LAW REV	UNIVERSITY OF CINCINNATI LAW REVIEW	0009-6881	0.4	0.194
U ILLINOIS LAW REV	UNIVERSITY OF ILLINOIS LAW REVIEW	0276-9948	1.1	0.554
U NSW LAW J	UNIVERSITY OF NEW SOUTH WALES LAW JOURNAL	0313-0096	1.3	0.446
U PA J INT LAW	UNIVERSITY OF PENNSYLVANIA JOURNAL OF INTERNATIONAL LAW	1938-0283	0.5	0.324
U PENN LAW REV	UNIVERSITY OF PENNSYLVANIA LAW REVIEW	0041-9907	2.5	1.78
U PITT LAW REV	UNIVERSITY OF PITTSBURGH LAW REVIEW	0041-9915	0.2	0.082
U POLITEH BUCH SER A	UNIVERSITY POLITEHNICA OF BUCHAREST SCIENTIFIC BULLETIN-SERIES A-APPLIED MATHEMATICS AND PHYSICS	1223-7027	1.1	0.167
U POLITEH BUCH SER B	UNIVERSITY POLITEHNICA OF BUCHAREST SCIENTIFIC BULLETIN SERIES B-CHEMISTRY AND MATERIALS SCIENCE	1454-2331	0.5	0.044
U POLITEH BUCH SER C	UNIVERSITY POLITEHNICA OF BUCHAREST SCIENTIFIC BULLETIN SERIES C-ELECTRICAL ENGINEERING AND COMPUTER SCIENCE	2286-3540	0.3	0.019
U TORONTO LAW J	UNIVERSITY OF TORONTO LAW JOURNAL	0042-0220	0.6	0.329
U TORONTO QUART	UNIVERSITY OF TORONTO QUARTERLY	0042-0247	0.6	0.3
UCHEN ZAP KAZ U-ESTE	UCHENYE ZAPISKI KAZANSKOGO UNIVERSITETA-SERIYA ESTESTVENNYE NAUKI	2542-064X	0.3	0.066
