Full title,Abbreviation,Country,SCIE,SSCI,AHCI,ESCI
PEDIATRIC DERMATOLOGY,PEDIATR DERMATOL,UNITED STATES,X,,,
PEDIATRIC DIABETES,PEDIATR DIABETES,DENMARK,X,,,
PEDIATRIC DRUGS,PEDIATR DRUGS,NEW ZEALAND,X,,,
PEDIATRIC EMERGENCY CARE,PEDIATR EMERG CARE,UNITED STATES,X,,,
PEDIATRIC EXERCISE SCIENCE,PEDIATR EXERC SCI,UNITED STATES,X,,,
PEDIATRIC GASTROENTEROLOGY HEPATOLOGY & NUTRITION,PEDIATR GASTROENTERO,SOUTH KOREA,,,,X
PEDIATRIC HEALTH MEDICINE AND THERAPEUTICS,PEDIATR HEALTH MED T,NEW ZEALAND,,,,X
PEDIATRIC HEMATOLOGY AND ONCOLOGY,PEDIATR HEMAT ONCOL,UNITED STATES,X,,,
PEDIATRIC INFECTIOUS DISEASE JOURNAL,PEDIATR INFECT DIS J,UNITED STATES,X,,,
PEDIATRIC INVESTIGATION,PEDIATR INVEST,PEOPLES R CHINA,,,,X
PEDIATRIC MEDICINE,PEDIATR MED,HONG KONG,,,,X
PEDIATRIC NEPHROLOGY,PEDIATR NEPHROL,UNITED STATES,X,,,
PEDIATRIC NEUROLOGY,PEDIATR NEUROL,UNITED STATES,X,,,
PEDIATRIC NEUROSURGERY,PEDIATR NEUROSURG,SWITZERLAND,X,,,
PEDIATRIC OBESITY,PEDIATR OBES,ENGLAND,X,,,
PEDIATRIC PHYSICAL THERAPY,PEDIATR PHYS THER,UNITED STATES,X,,,
PEDIATRIC PULMONOLOGY,PEDIATR PULM,UNITED STATES,X,,,
PEDIATRIC QUALITY & SAFETY,PEDIATR QUAL SAF,UNITED STATES,,,,X
PEDIATRIC RADIOLOGY,PEDIATR RADIOL,UNITED STATES,X,,,
PEDIATRIC REPORTS,PEDIATRIC REP,SWITZERLAND,,,,X
PEDIATRIC RESEARCH,PEDIATR RES,UNITED STATES,X,,,
PEDIATRIC RHEUMATOLOGY,PEDIATR RHEUMATOL,UNITED STATES,X,,,
PEDIATRIC SURGERY INTERNATIONAL,PEDIATR SURG INT,GERMANY,X,,,
PEDIATRIC TRANSPLANTATION,PEDIATR TRANSPLANT,UNITED STATES,X,,,
PEDIATRICS,PEDIATRICS,UNITED STATES,X,,,
PEDIATRICS AND NEONATOLOGY,PEDIATR NEONATOL,TAIWAN,X,,,
PEDIATRICS IN REVIEW,PEDIATR REV,UNITED STATES,,,,X
PEDIATRICS INTERNATIONAL,PEDIATR INT,JAPAN,X,,,
PEDOBIOLOGIA,PEDOBIOLOGIA,GERMANY,X,,,
PEDOSPHERE,PEDOSPHERE,PEOPLES R CHINA,X,,,
PEER COMMUNITY JOURNAL,PEER COMMUNITY J,FRANCE,,,,X
PEERJ,PEERJ,ENGLAND,X,,,
PEERJ COMPUTER SCIENCE,PEERJ COMPUT SCI,ENGLAND,X,,,
PEER-TO-PEER NETWORKING AND APPLICATIONS,PEER PEER NETW APPL,UNITED STATES,X,,,
PENNSYLVANIA HISTORY-A JOURNAL OF MID-ATLANTIC STUDIES,PA HIST,UNITED STATES,,,,X
PENNSYLVANIA MAGAZINE OF HISTORY AND BIOGRAPHY,PENN MAG HIST BIOG,UNITED STATES,,,X,
PENSAMIENTO,PENSAMIENTO,SPAIN,,,X,
PENSAMIENTO AL MARGEN,PENSAM MARGEN,SPAIN,,,,X
PENSANDO PSICOLOGIA,PENSANDO PSICOL,COLOMBIA,,,,X
PENSANDO-REVISTA DE FILOSOFIA,PENSANDO,BRAZIL,,,,X
PENSAR EN MOVIMIENTO-REVISTA DE CIENCIAS DEL EJERCICIO Y LA SALUD,PENSAR MOV,COSTA RICA,,,,X
PENTECOSTUDIES-AN INTERDISCIPLINARY JOURNAL FOR RESEARCH ON THE PENTECOSTAL AND CHARISMATIC MOVEMENTS,PENTECOSTUDIES,ENGLAND,,,,X
PEOPLE AND NATURE,PEOPLE NAT,ENGLAND,X,,,
PEPTIDE SCIENCE,PEPTIDE SCI,UNITED STATES,X,,,
PEPTIDES,PEPTIDES,UNITED STATES,X,,,
PER LINGUAM-A JOURNAL OF LANGUAGE LEARNING,PER LINGUAM,SOUTH AFRICA,,,,X
PERCEES-EXPLORATIONS EN ARTS VIVANTS,PERCEES,CANADA,,,,X
PERCEPTION,PERCEPTION,ENGLAND,X,X,,
PERCEPTUAL AND MOTOR SKILLS,PERCEPT MOTOR SKILL,UNITED STATES,,X,,
PERFILES LATINOAMERICANOS,PERFILES LATINOAM,MEXICO,,X,,
PERFORMANCE ENHANCEMENT & HEALTH,PERFORM ENHANC HLTH,ENGLAND,,,,X
PERFORMANCE EVALUATION,PERFORM EVALUATION,NETHERLANDS,X,,,
PERFORMANCE MEASUREMENT AND METRICS,PERFORM MEAS METR,ENGLAND,,,,X
PERFORMANCE RESEARCH,PERFORM RES,ENGLAND,,,X,
PERFUSION-UK,PERFUSION-UK,ENGLAND,X,,,
PERICHORESIS,PERICHORESIS,ROMANIA,,,,X
PERIFERIA,PERIFERIA-BRAZIL,BRAZIL,,,,X
PERIFRASIS-REVISTA DE LITERATURA TEORIA Y CRITICA,PERIFRASIS,COLOMBIA,,,,X
PERINOLA-REVISTA DE INVESTIGACION QUEVEDIANA,PERINOLA,SPAIN,,,X,
PERIODICA MATHEMATICA HUNGARICA,PERIOD MATH HUNG,HUNGARY,X,,,
PERIODICA POLYTECHNICA-CHEMICAL ENGINEERING,PERIOD POLYTECH-CHEM,HUNGARY,X,,,
PERIODICA POLYTECHNICA-CIVIL ENGINEERING,PERIOD POLYTECH-CIV,HUNGARY,X,,,
PERIODICA POLYTECHNICA-MECHANICAL ENGINEERING,PERIOD POLYTECH-MECH,HUNGARY,,,,X
PERIODICO DI MINERALOGIA,PERIOD MINERAL,ITALY,X,,,
PERIODICO TCHE QUIMICA,PERIOD TCHE QUIM,BRAZIL,,,,X
PERIODICUM BIOLOGORUM,PERIOD BIOL,CROATIA,X,,,
PERIODONTOLOGY 2000,PERIODONTOL 2000,DENMARK,X,,,
PERIOPERATIVE CARE AND OPERATING ROOM MANAGEMENT,PERIOPER CARE OPER R,UNITED STATES,,,,X
PERIOPERATIVE MEDICINE,PERIOPER MED-LONDON,ENGLAND,X,,,
PERIPLO SUSTENTABLE,PERIPLO SUSTENTABLE,MEXICO,,,,X
PERITONEAL DIALYSIS INTERNATIONAL,PERITON DIALYSIS INT,UNITED STATES,X,,,
PERMAFROST AND PERIGLACIAL PROCESSES,PERMAFROST PERIGLAC,ENGLAND,X,,,
PERSIAN JOURNAL OF ACAROLOGY,PERSIAN J ACAROL,IRAN,,,,X
PERSON AND THE CHALLENGES-THE JOURNAL OF THEOLOGY EDUCATION CANON LAW AND SOCIAL STUDIES INSPIRED BY POPE JOHN PAUL II,PERS CHALL,POLAND,,,,X
PERSONA Y DERECHO,PERS DERECHO,SPAIN,,,,X
PERSONAL RELATIONSHIPS,PERS RELATIONSHIP,UNITED STATES,,X,,
PERSONALITY AND INDIVIDUAL DIFFERENCES,PERS INDIV DIFFER,ENGLAND,,X,,
PERSONALITY AND MENTAL HEALTH,PERSONAL MENT HEALTH,ENGLAND,,X,,
PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN,PERS SOC PSYCHOL B,UNITED STATES,,X,,
PERSONALITY AND SOCIAL PSYCHOLOGY REVIEW,PERS SOC PSYCHOL REV,UNITED STATES,,X,,
PERSONALITY DISORDERS-THEORY RESEARCH AND TREATMENT,PERSONAL DISORD,UNITED STATES,,X,,
PERSONALIZED MEDICINE,PERS MED,ENGLAND,X,,,
PERSONALIZED MEDICINE IN PSYCHIATRY,PERS MED PSYCHIAT,NETHERLANDS,,,,X
PERSON-CENTERED AND EXPERIENTIAL PSYCHOTHERAPIES,PERS-CENTERED EXP PS,ENGLAND,,,,X
PERSONNEL PSYCHOLOGY,PERS PSYCHOL,UNITED STATES,,X,,
PERSONNEL REVIEW,PERS REV,ENGLAND,,X,,
PERSOONIA,PERSOONIA,NETHERLANDS,X,,,
PERSPECTIVA EDUCACIONAL,PERSPECT EDUCAC,CHILE,,,,X
PERSPECTIVA GEOGRAFICA,PERSPECT GEOGR,COLOMBIA,,,,X
PERSPECTIVA TEOLOGICA,PERSPECT TEOL,BRAZIL,,,,X
PERSPECTIVAS DE LA COMUNICACION,PERSPECT COMUN,CHILE,,,,X
PERSPECTIVAS EM CIENCIA DA INFORMACAO,PERSPECT CIENC INF,BRAZIL,,,,X
PERSPECTIVAS EM DIALOGO-REVISTA DE EDUCACAO E SOCIEDADE,PERSPECT DIALOGO,BRAZIL,,,,X
PERSPECTIVE-ACTUALITE EN HISTOIRE DE L ART,PERSPECT-ACTUAL HIST,FRANCE,,,X,
PERSPECTIVES IN BIOLOGY AND MEDICINE,PERSPECT BIOL MED,UNITED STATES,X,,,
PERSPECTIVES IN ECOLOGY AND CONSERVATION,PERSPECT ECOL CONSER,BRAZIL,X,,,
PERSPECTIVES IN PLANT ECOLOGY EVOLUTION AND SYSTEMATICS,PERSPECT PLANT ECOL,GERMANY,X,,,
PERSPECTIVES IN PSYCHIATRIC CARE,PERSPECT PSYCHIATR C,UNITED STATES,X,X,,
PERSPECTIVES IN PUBLIC HEALTH,PERSPECT PUBLIC HEAL,ENGLAND,,X,,
PERSPECTIVES MEDIEVALES-REVUE D'EPISTEMOLOGIE DES LANGUES ET LITTERATURES DU MOYEN AGE,PERSPECT MEDIEV,FRANCE,,,,X
PERSPECTIVES ON BEHAVIOR SCIENCE,PERSPECT BEHAV SCI,SWITZERLAND,,X,,
PERSPECTIVES ON GLOBAL DEVELOPMENT AND TECHNOLOGY,PERSPECT GLOB DEV TE,NETHERLANDS,,,,X
PERSPECTIVES ON MEDICAL EDUCATION,PERSPECT MED EDUC,NETHERLANDS,X,,,
PERSPECTIVES ON POLITICS,PERSPECT POLIT,UNITED STATES,,X,,
PERSPECTIVES ON PSYCHOLOGICAL SCIENCE,PERSPECT PSYCHOL SCI,UNITED STATES,,X,,
PERSPECTIVES ON PUBLIC MANAGEMENT AND GOVERNANCE,PERSPECT PUBLIC MAN,UNITED STATES,,,,X
PERSPECTIVES ON SCIENCE AND CHRISTIAN FAITH,PERSPECT SCI CHRIST,UNITED STATES,,,,X
PERSPECTIVES ON SEXUAL AND REPRODUCTIVE HEALTH,PERSPECT SEX REPRO H,UNITED STATES,,X,,
PERSPECTIVES-STUDIES IN TRANSLATION THEORY AND PRACTICE,PERSPECT STUD TRANSL,ENGLAND,,X,X,
PERTANIKA JOURNAL OF SCIENCE AND TECHNOLOGY,PERTANIKA J SCI TECH,MALAYSIA,,,,X
PERTANIKA JOURNAL OF SOCIAL SCIENCE AND HUMANITIES,PERTANIKA J SOC SCI,MALAYSIA,,,,X
PERTANIKA JOURNAL OF TROPICAL AGRICULTURAL SCIENCE,PERTANIKA J TROP AGR,MALAYSIA,,,,X
PERVASIVE AND MOBILE COMPUTING,PERVASIVE MOB COMPUT,NETHERLANDS,X,,,
PESQUISA AGROPECUARIA BRASILEIRA,PESQUI AGROPECU BRAS,BRAZIL,X,,,
PESQUISA AGROPECUARIA TROPICAL,PESQUI AGROPECU TROP,BRAZIL,,,,X
PESQUISA BRASILEIRA EM ODONTOPEDIATRIA E CLINICA INTEGRADA,PESQUI BRAS ODONTOPE,BRAZIL,,,,X
PESQUISA VETERINARIA BRASILEIRA,PESQUI VET BRASIL,BRAZIL,X,,,
PEST MANAGEMENT SCIENCE,PEST MANAG SCI,ENGLAND,X,,,
PESTICIDE BIOCHEMISTRY AND PHYSIOLOGY,PESTIC BIOCHEM PHYS,UNITED STATES,X,,,
PET CLINICS,PET CLIN,UNITED STATES,,,,X
PETROLEUM,PETROLEUM-PRC,PEOPLES R CHINA,,,,X
PETROLEUM CHEMISTRY,PETROL CHEM+,UNITED STATES,X,,,
PETROLEUM EXPLORATION AND DEVELOPMENT,PETROL EXPLOR DEV+,PEOPLES R CHINA,X,,,
PETROLEUM GEOSCIENCE,PETROL GEOSCI,ENGLAND,X,,,
PETROLEUM RESEARCH,PETROL RES-PRC,PEOPLES R CHINA,,,,X
PETROLEUM SCIENCE,PETROL SCI,PEOPLES R CHINA,X,,,
PETROLEUM SCIENCE AND TECHNOLOGY,PETROL SCI TECHNOL,UNITED STATES,X,,,
PETROLOGY,PETROLOGY+,RUSSIA,X,,,
PETROPHYSICS,PETROPHYSICS,UNITED STATES,X,,,
PFERDEHEILKUNDE,PFERDEHEILKUNDE,GERMANY,X,,,
PFG-JOURNAL OF PHOTOGRAMMETRY REMOTE SENSING AND GEOINFORMATION SCIENCE,PFG-J PHOTOGRAMM REM,SWITZERLAND,X,,,
PFLEGE,PFLEGE,SWITZERLAND,X,X,,
PFLUGERS ARCHIV-EUROPEAN JOURNAL OF PHYSIOLOGY,PFLUG ARCH EUR J PHY,GERMANY,X,,,
PHAGE-THERAPY APPLICATIONS AND RESEARCH,PHAGE-THER APPL RES,UNITED STATES,,,,X
PHAINOMENA,PHAINOMENA,SLOVENIA,,,,X
PHARES-REVUE PHILOSOPHIQUE ETUDIANTE DE L UNIVERSITE LAVAL,PHARES,CANADA,,,,X
PHARMACEUTICAL BIOLOGY,PHARM BIOL,NETHERLANDS,X,,,
PHARMACEUTICAL CARE ESPANA,PHARM CARE ESP,SPAIN,,,,X
PHARMACEUTICAL CHEMISTRY JOURNAL,PHARM CHEM J+,RUSSIA,X,,,
PHARMACEUTICAL DEVELOPMENT AND TECHNOLOGY,PHARM DEV TECHNOL,UNITED STATES,X,,,
PHARMACEUTICAL MEDICINE,PHARM MED,SWITZERLAND,,,,X
PHARMACEUTICAL RESEARCH,PHARM RES-DORDR,GERMANY,X,,,
PHARMACEUTICAL SCIENCES,PHARM SCI-IRAN,IRAN,,,,X
PHARMACEUTICAL STATISTICS,PHARM STAT,ENGLAND,X,,,
PHARMACEUTICALS,PHARMACEUTICALS-BASE,SWITZERLAND,X,,,
PHARMACEUTICS,PHARMACEUTICS,SWITZERLAND,X,,,
PHARMACIA,PHARMACIA,BULGARIA,,,,X
PHARMACOECONOMICS,PHARMACOECONOMICS,NEW ZEALAND,X,X,,
PHARMACOECONOMICS-OPEN,PHARMACOECON-OPEN,NEW ZEALAND,,,,X
PHARMACOEPIDEMIOLOGY,PHARMACOEPIDEM-BASEL,SWITZERLAND,,,,X
PHARMACOEPIDEMIOLOGY AND DRUG SAFETY,PHARMACOEPIDEM DR S,ENGLAND,X,,,
PHARMACOGENETICS AND GENOMICS,PHARMACOGENET GENOM,UNITED STATES,X,,,
PHARMACOGENOMICS,PHARMACOGENOMICS,ENGLAND,X,,,
PHARMACOGENOMICS & PERSONALIZED MEDICINE,PHARMACOGEN PERS MED,NEW ZEALAND,X,,,
PHARMACOGENOMICS JOURNAL,PHARMACOGENOMICS J,UNITED STATES,X,,,
PHARMACOGNOSY MAGAZINE,PHARMACOGN MAG,INDIA,X,,,
PHARMACOGNOSY RESEARCH,PHARMACOGN RES,INDIA,,,,X
PHARMACOLOGICAL REPORTS,PHARMACOL REP,POLAND,X,,,
PHARMACOLOGICAL RESEARCH,PHARMACOL RES,ENGLAND,X,,,
PHARMACOLOGICAL REVIEWS,PHARMACOL REV,UNITED STATES,X,,,
PHARMACOLOGY,PHARMACOLOGY,SWITZERLAND,X,,,
PHARMACOLOGY & THERAPEUTICS,PHARMACOL THERAPEUT,ENGLAND,X,,,
PHARMACOLOGY BIOCHEMISTRY AND BEHAVIOR,PHARMACOL BIOCHEM BE,ENGLAND,X,,,
PHARMACOLOGY RESEARCH & PERSPECTIVES,PHARMACOL RES PERSPE,ENGLAND,X,,,
PHARMACOPSYCHIATRY,PHARMACOPSYCHIATRY,GERMANY,X,,,
PHARMACOTHERAPY,PHARMACOTHERAPY,UNITED STATES,X,,,
PHARMACY,PHARMACY-BASEL,SWITZERLAND,,,,X
PHARMACY & PHARMACOLOGY-FARMATSIYA I FARMAKOLOGIYA,PHARM PHARMACOL-RUSS,RUSSIA,,,,X
PHARMACY EDUCATION,PHARM EDUC,ENGLAND,,,,X
PHARMACY PRACTICE-GRANADA,PHARM PRACT-GRANADA,SPAIN,,,,X
PHARMANUTRITION,PHARMANUTRITION,NETHERLANDS,,,,X
PHARMAZIE,PHARMAZIE,GERMANY,X,,,
PHASE TRANSITIONS,PHASE TRANSIT,ENGLAND,X,,,
PHENOMENOLOGY & PRACTICE,PHENOMENOL PRACT,CANADA,,,,X
PHENOMENOLOGY AND THE COGNITIVE SCIENCES,PHENOMENOL COGN SCI,NETHERLANDS,,,X,
PHENOMICS,PHENOMICS,PEOPLES R CHINA,,,,X
PHI DELTA KAPPAN,PHI DELTA KAPPAN,UNITED STATES,,X,,
PHILIPPINE AGRICULTURAL SCIENTIST,PHILIPP AGRIC SCI,PHILIPPINES,X,,,
PHILIPPINE JOURNAL OF CROP SCIENCE,PHILIPP J CROP SCI,PHILIPPINES,X,,,
PHILIPPINE POLITICAL SCIENCE JOURNAL,PHILIPP POLIT SCI J,PHILIPPINES,,,,X
PHILIPPINE STUDIES-HISTORICAL AND ETHNOGRAPHIC VIEWPOINTS,PHILIP ST HIS ETH VI,PHILIPPINES,,,,X
PHILIPPINIANA SACRA,PHILIPPINIANA SACRA,PHILIPPINES,,,,X
PHILOBIBLON-TRANSYLVANIAN JOURNAL OF MULTIDISCIPLINARY RESEARCH IN HUMANITIES,PHILOBIBLON,ROMANIA,,,,X
PHILOLOGIA CLASSICA,PHILOL CLASSICA,RUSSIA,,,,X
PHILOLOGIA HISPALENSIS,PHILOL HISPALENSIS,SPAIN,,,,X
PHILOLOGICA CANARIENSIA,PHILOL CANARIENSIA,SPAIN,,,,X
PHILOLOGICA JASSYENSIA,PHILOL JASSYENSIA,ROMANIA,,,,X
PHILOLOGICAL CLASS,PHILOL CL,RUSSIA,,,,X
PHILOLOGICAL ENCOUNTERS,PHILOLOG ENCOUNTERS,GERMANY,,,,X
PHILOLOGICAL QUARTERLY,PHILOLOGICAL QUART,UNITED STATES,,,X,
PHILOLOGUS,PHILOLOGUS,GERMANY,,,X,
PHILOMUSICA,PHILOMUSICA,ITALY,,,,X
PHILOSOPHERS IMPRINT,PHILOS IMPRINT,UNITED STATES,,,X,
PHILOSOPHIA,PHILOSOPHIA,ISRAEL,,,X,
PHILOSOPHIA AFRICANA,PHILOS AFR,UNITED STATES,,,X,
PHILOSOPHIA MATHEMATICA,PHILOS MATH,ENGLAND,X,,X,
PHILOSOPHIA-A JOURNAL OF CONTINENTAL FEMINISM,PHILOSOPHIA-J CONT F,UNITED STATES,,,,X
PHILOSOPHIA-INTERNATIONAL JOURNAL OF PHILOSOPHY,PHILOS-INT J PHILOS,PHILIPPINES,,,X,
PHILOSOPHICAL EXPLORATIONS,PHILOS EXPLOR,ENGLAND,,,X,
PHILOSOPHICAL FORUM,PHILOS FORUM,UNITED STATES,,,X,
PHILOSOPHICAL INQUIRIES,PHILOS INQ,ITALY,,,,X
PHILOSOPHICAL INVESTIGATIONS,PHILOS INVEST,ENGLAND,,,X,
PHILOSOPHICAL ISSUES,PHILOS ISSUES,UNITED STATES,,,X,
PHILOSOPHICAL MAGAZINE,PHILOS MAG,ENGLAND,X,,,
PHILOSOPHICAL MAGAZINE LETTERS,PHIL MAG LETT,ENGLAND,X,,,
PHILOSOPHICAL PAPERS,PHILOS PAP,SOUTH AFRICA,,,X,
PHILOSOPHICAL PERSPECTIVES,PHILOS PERSPECT,UNITED STATES,,,X,
PHILOSOPHICAL PSYCHOLOGY,PHILOS PSYCHOL,ENGLAND,,X,,
PHILOSOPHICAL QUARTERLY,PHILOS QUART,ENGLAND,,,X,
PHILOSOPHICAL REVIEW,PHILOS REV,UNITED STATES,,,X,
PHILOSOPHICAL STUDIES,PHILOS STUD,NETHERLANDS,,,X,
PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY A-MATHEMATICAL PHYSICAL AND ENGINEERING SCIENCES,PHILOS T R SOC A,ENGLAND,X,,,
PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,PHILOS T R SOC B,ENGLAND,X,,,
PHILOSOPHIES,PHILOSOPHIES,SWITZERLAND,,,,X
PHILOSOPHIQUES,PHILOSOPHIQUES,CANADA,,,,X
PHILOSOPHISCHE RUNDSCHAU,PHILOS RUNDSCH,GERMANY,,,X,
PHILOSOPHISCHES JAHRBUCH,PHILOS JAHRB,GERMANY,,,X,
PHILOSOPHY,PHILOSOPHY,ENGLAND,,,X,
PHILOSOPHY & PUBLIC AFFAIRS,PHILOS PUBLIC AFF,UNITED STATES,,X,,
PHILOSOPHY & SOCIAL CRITICISM,PHILOS SOC CRIT,ENGLAND,,,X,
PHILOSOPHY AND COSMOLOGY-FILOSOFIYA I KOSMOLOGIYA,PHILOS COSMOL,UKRAINE,,,,X
PHILOSOPHY AND LITERATURE,PHILOS LITERATURE,UNITED STATES,,,X,
PHILOSOPHY AND PHENOMENOLOGICAL RESEARCH,PHILOS PHENOMEN RES,UNITED STATES,,,X,
PHILOSOPHY AND RHETORIC,PHILOS RHETORIC,UNITED STATES,,,X,
PHILOSOPHY AND SOCIETY-FILOZOFIJA I DRUSTVO,PHILOS SOC-FILOZOFIJ,SERBIA,,,,X
PHILOSOPHY COMPASS,PHILOS COMPASS,UNITED STATES,,,X,
PHILOSOPHY EAST & WEST,PHILOS EAST WEST,UNITED STATES,,,X,
PHILOSOPHY ETHICS AND HUMANITIES IN MEDICINE,PHILOS ETHICS HUM ME,ENGLAND,X,X,X,
PHILOSOPHY OF MANAGEMENT,PHILOS MANAG,GERMANY,,,,X
PHILOSOPHY OF MUSIC EDUCATION REVIEW,PHILOS MUSIC EDUC RE,UNITED STATES,,,,X
PHILOSOPHY OF PHOTOGRAPHY,PHILOS PHOTOGR,ENGLAND,,,,X
PHILOSOPHY OF SCIENCE,PHILOS SCI,UNITED STATES,X,X,X,
PHILOSOPHY OF THE SOCIAL SCIENCES,PHILOS SOC SCI,CANADA,,X,X,
PHILOSOPHY PSYCHIATRY & PSYCHOLOGY,PHILOS PSYCHIATR PSY,UNITED STATES,,,,X
PHILOSOPHY TODAY,PHILOS TODAY,UNITED STATES,,,X,
PHLEBOLOGIE,PHLEBOLOGIE,GERMANY,,,,X
PHLEBOLOGY,PHLEBOLOGY,ENGLAND,X,,,
PHLEBOLYMPHOLOGY,PHLEBOLYMPHOLOGY,FRANCE,,,,X
PHOENIX-THE JOURNAL OF THE CLASSICAL ASSOCIATION OF CANADA,PHOENIX-J CLASS ASSN,CANADA,,,X,
PHONETICA,PHONETICA,GERMANY,X,X,X,
PHONOLOGY,PHONOLOGY,ENGLAND,,X,X,
PHOSPHORUS SULFUR AND SILICON AND THE RELATED ELEMENTS,PHOSPHORUS SULFUR,ENGLAND,X,,,
PHOTOACOUSTICS,PHOTOACOUSTICS,NETHERLANDS,X,,,
PHOTOBIOMODULATION PHOTOMEDICINE AND LASER SURGERY,PHOTOBIOMOD PHOTOMED,UNITED STATES,X,,,
PHOTOCHEM,PHOTOCHEM-BASEL,SWITZERLAND,,,,X
PHOTOCHEMICAL & PHOTOBIOLOGICAL SCIENCES,PHOTOCH PHOTOBIO SCI,GERMANY,X,,,
PHOTOCHEMISTRY AND PHOTOBIOLOGY,PHOTOCHEM PHOTOBIOL,UNITED STATES,X,,,
PHOTODERMATOLOGY PHOTOIMMUNOLOGY & PHOTOMEDICINE,PHOTODERMATOL PHOTO,DENMARK,X,,,
PHOTODIAGNOSIS AND PHOTODYNAMIC THERAPY,PHOTODIAGN PHOTODYN,NETHERLANDS,X,,,
PHOTOGRAMMETRIC ENGINEERING AND REMOTE SENSING,PHOTOGRAMM ENG REM S,UNITED STATES,X,,,
PHOTOGRAMMETRIC RECORD,PHOTOGRAMM REC,UNITED STATES,X,,,
PHOTOGRAPHY AND CULTURE,PHOTOGR CULT,ENGLAND,,,X,
PHOTONIC NETWORK COMMUNICATIONS,PHOTONIC NETW COMMUN,UNITED STATES,X,,,
PHOTONIC SENSORS,PHOTONIC SENS,PEOPLES R CHINA,X,,,
PHOTONICS,PHOTONICS-BASEL,SWITZERLAND,X,,,
PHOTONICS AND NANOSTRUCTURES-FUNDAMENTALS AND APPLICATIONS,PHOTONIC NANOSTRUCT,NETHERLANDS,X,,,
PHOTONICS LETTERS OF POLAND,PHOTONICS LETT POL,POLAND,,,,X
PHOTONICS RESEARCH,PHOTONICS RES,PEOPLES R CHINA,X,,,
PHOTONIX,PHOTONIX,PEOPLES R CHINA,X,,,
PHOTOSYNTHESIS RESEARCH,PHOTOSYNTH RES,NETHERLANDS,X,,,
PHOTOSYNTHETICA,PHOTOSYNTHETICA,CZECH REPUBLIC,X,,,
PHRONESIS-A JOURNAL FOR ANCIENT PHILOSOPHY,PHRONESIS,NETHERLANDS,,,X,
PHRONIMON,PHRONIMON,SOUTH AFRICA,,,,X
PHYCOLOGIA,PHYCOLOGIA,UNITED STATES,X,,,
PHYCOLOGICAL RESEARCH,PHYCOL RES,JAPAN,X,,,
PHYCOLOGY,PHYCOLOGY-BASEL,SWITZERLAND,,,,X
PHYLLOMEDUSA,PHYLLOMEDUSA,BRAZIL,X,,,
PHYSCHEM,PHYSCHEM-BASEL,SWITZERLAND,,,,X
PHYSICA A-STATISTICAL MECHANICS AND ITS APPLICATIONS,PHYSICA A,NETHERLANDS,X,,,
PHYSICA B-CONDENSED MATTER,PHYSICA B,NETHERLANDS,X,,,
PHYSICA C-SUPERCONDUCTIVITY AND ITS APPLICATIONS,PHYSICA C,NETHERLANDS,X,,,
PHYSICA D-NONLINEAR PHENOMENA,PHYSICA D,NETHERLANDS,X,,,
PHYSICA E-LOW-DIMENSIONAL SYSTEMS & NANOSTRUCTURES,PHYSICA E,NETHERLANDS,X,,,
PHYSICA MEDICA-EUROPEAN JOURNAL OF MEDICAL PHYSICS,PHYS MEDICA,ITALY,X,,,
PHYSICA SCRIPTA,PHYS SCRIPTA,ENGLAND,X,,,
PHYSICA STATUS SOLIDI A-APPLICATIONS AND MATERIALS SCIENCE,PHYS STATUS SOLIDI A,GERMANY,X,,,
PHYSICA STATUS SOLIDI B-BASIC SOLID STATE PHYSICS,PHYS STATUS SOLIDI B,GERMANY,X,,,
PHYSICA STATUS SOLIDI-RAPID RESEARCH LETTERS,PHYS STATUS SOLIDI-R,GERMANY,X,,,
PHYSICAL & OCCUPATIONAL THERAPY IN GERIATRICS,PHYS OCCUP THER GERI,ENGLAND,,,,X
PHYSICAL & OCCUPATIONAL THERAPY IN PEDIATRICS,PHYS OCCUP THER PEDI,UNITED STATES,X,X,,
PHYSICAL ACTIVITY REVIEW,PHYS ACT REV,POLAND,,,,X
PHYSICAL AND CHEMICAL ASPECTS OF THE STUDY OF CLUSTERS NANOSTRUCTURES AND NANOMATERIALS,PHYS CHEM ASPECTS ST,RUSSIA,,,,X
PHYSICAL AND ENGINEERING SCIENCES IN MEDICINE,PHYS ENG SCI MED,NETHERLANDS,X,,,
PHYSICAL BIOLOGY,PHYS BIOL,ENGLAND,X,,,
PHYSICAL CHEMISTRY CHEMICAL PHYSICS,PHYS CHEM CHEM PHYS,ENGLAND,X,,,
PHYSICAL COMMUNICATION,PHYS COMMUN-AMST,NETHERLANDS,X,,,
PHYSICAL CULTURE AND SPORT STUDIES AND RESEARCH,PHYS CULT SPORT STUD,POLAND,,,,X
PHYSICAL EDUCATION AND SPORT PEDAGOGY,PHYS EDUC SPORT PEDA,ENGLAND,,X,,
PHYSICAL EDUCATION OF STUDENTS,PHYS EDUC STUD,UKRAINE,,,,X
PHYSICAL EDUCATOR-US,PHYS EDUC-US,UNITED STATES,,,,X
PHYSICAL GEOGRAPHY,PHYS GEOGR,UNITED STATES,X,,,
