JournalFullName,ISSN,2022IF,2022AI,
REVISTA DIREITO GV,1808-2432,0.4,0.215,
REVISTA DO CURSO DE DIREITO DO UNIFOR,2236-7632,0,0.006,
REVISTA DO INSTITUTO DE MEDICINA TROPICAL DE SAO PAULO,0036-4665,1.9,0.416,
REVISTA DO SERVICO PUBLICO,0034-9240,0.3,0.088,
REVISTA ECONOMIA,0254-4415,0.3,0.044,
REVISTA ECONOMIA Y SOCIEDAD,1409-1070,0,0,
REVISTA ECORFAN,2007-1582,0.1,0.015,
REVISTA EDAPECI-EDUCACAO A DISTANCIA E PRATICAS EDUCATIVAS COMUNICACIONAIS E INTERCULTURAIS,2176-171X,0.2,0.023,
REVISTA EDUCACION,0379-7082,0.5,0.146,
REVISTA EDUCACION EN INGENIERIA,1900-8260,0.1,0.024,
REVISTA EDUCAONLINE,1983-2664,0.1,0.019,
REVISTA ELECTRONICA CALIDAD EN LA EDUCACION SUPERIOR,1659-4703,0.3,0.023,
REVISTA ELECTRONICA COMPLUTENSE DE INVESTIGACION EN EDUCACION MUSICAL-RECIEM,1698-7454,1,0.28,
REVISTA ELECTRONICA DE ESTUDIOS INTERNACIONALES,1697-5197,0.1,0.022,
REVISTA ELECTRONICA DE FUENTES Y ARCHIVOS,1853-4503,0,0.109,
REVISTA ELECTRONICA DE INVESTIGACION EDUCATIVA,1607-4041,1,0.277,
REVISTA ELECTRONICA DE LEEME,1575-9563,0.7,0.27,
REVISTA ELECTRONICA EDUCARE,1409-4258,0.8,0,
REVISTA ELECTRONICA INTERUNIVERSITARIA DE FORMACION DEL PROFESORADO,1575-0965,1.6,0.291,
REVISTA ELETRONICA EM GESTAO EDUCACAO E TECNOLOGIA AMBIENTAL,2236-1170,0.3,0.062,
REVISTA ELETRONICA PESQUISEDUCA,2177-1626,0.1,0.023,
REVISTA ELETRONICA VENTILANDO ACERVOS,2318-6062,0.1,0,
REVISTA EMPRESA Y HUMANISMO,1139-7608,0.2,0.182,
REVISTA ENIAC PESQUISA,2316-2341,0,0.003,
REVISTA ESPANOLA DE ANESTESIOLOGIA Y REANIMACION,0034-9356,1.3,0.227,
REVISTA ESPANOLA DE ANTROPOLOGIA AMERICANA,0556-6533,0.2,0.244,
REVISTA ESPANOLA DE CARDIOLOGIA,1885-5857,5.9,1.021,
REVISTA ESPANOLA DE CIENCIA POLITICA-RECP,1575-6548,0.5,0.317,
REVISTA ESPANOLA DE COMUNICACION EN SALUD,1989-9882,1.4,0.123,
REVISTA ESPANOLA DE DERECHO CONSTITUCIONAL,0211-5743,1.2,0.592,
REVISTA ESPANOLA DE DISCAPACIDAD-REDIS,2340-5104,0.3,0.082,
REVISTA ESPANOLA DE DOCUMENTACION CIENTIFICA,0210-0614,1.2,0.266,
REVISTA ESPANOLA DE EDUCACION COMPARADA,1137-8654,1.7,0.287,
REVISTA ESPANOLA DE ENFERMEDADES DIGESTIVAS,1130-0108,2,0.404,
REVISTA ESPANOLA DE ESTUDIOS AGROSOCIALES Y PESQUEROS-REEAP,1575-1198,0,0,
REVISTA ESPANOLA DE INVESTIGACIONES SOCIOLOGICAS,0210-5233,1.1,0.396,
REVISTA ESPANOLA DE LINGUISTICA APLICADA,0213-2028,0.4,0.285,
REVISTA ESPANOLA DE MEDICINA NUCLEAR E IMAGEN MOLECULAR,2253-654X,1.2,0.201,
REVISTA ESPANOLA DE NUTRICION HUMANA Y DIETETICA,2173-1292,0.4,0.052,
REVISTA ESPANOLA DE ORIENTACION Y PSICOPEDAGOGIA,1989-7448,1,0.147,
REVISTA ESPANOLA DE PEDAGOGIA,0034-9461,1.3,0.339,
REVISTA ESPANOLA DE QUIMIOTERAPIA,0214-3429,1.9,0.376,
REVISTA ESPANOLA DE SALUD PUBLICA,1135-5727,1.1,0.326,
REVISTA ESPANOLA DE SOCIOLOGIA,1578-2824,0.8,0.545,
REVISTA ESTUDIOS HEMISFERICOS Y POLARES,0718-9230,0,0.012,
REVISTA ESTUDIOS SOCIO-JURIDICOS,0124-0579,0,0.033,
REVISTA ESTUDOS INSTITUCIONAIS-JOURNAL OF INSTITUTIONAL STUDIES,2447-5467,0.1,0,
REVISTA ESTUDOS POLITICOS,2177-2851,0,0.027,
REVISTA EUREKA SOBRE ENSENANZA Y DIVULGACION DE LAS CIENCIAS,1697-011X,0.9,0.167,
REVISTA EVIDENCIACAO CONTABIL & FINANCAS,2318-1001,0.1,0.028,
"REVISTA FACULTAD DE INGENIERIA, UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA",0121-1129,0.4,0.074,
REVISTA FACULTAD DE INGENIERIA-UNIVERSIDAD DE ANTIOQUIA,0120-6230,1,0.14,
REVISTA FINANZAS Y POLITICA ECONOMICA,2248-6046,0.5,0.082,
REVISTA FITOTECNIA MEXICANA,0187-7380,0.3,0.077,
REVISTA FORESTAL MESOAMERICA KURU-RFMK,2215-2504,0.2,0.054,
REVISTA FORMACAO ONLINE,2178-7298,0,0.015,
REVISTA FUENTES,2172-7775,0.9,0.177,
REVISTA GEDECON REVISTA GESTAO E DESENVOLVIMENTO EM CONTEXTO,1982-3266,0,0,
REVISTA GENERAL DE DERECHO ADMINISTRATIVO,1696-9650,0.2,0.096,
REVISTA GENERAL DE DERECHO CANONICO Y DERECHO ECLESIASTICO DEL ESTADO,1696-9669,0.2,0.06,
REVISTA GENERAL DE DERECHO CONSTITUCIONAL,1886-7650,0.1,0.075,
REVISTA GENERAL DE DERECHO EUROPEO,1696-9634,0.4,0.135,
REVISTA GENERAL DE DERECHO PENAL,1698-1189,0.1,0.029,
REVISTA GENERAL DE DERECHO PROCESAL,1696-9642,0.1,0.043,
REVISTA GENERAL DE DERECHO PUBLICO COMPARADO,1988-5091,0.1,0.006,
REVISTA GENERAL DE DERECHO ROMANO,1697-3046,0.2,0.026,
REVISTA GENERAL DE INFORMACION Y DOCUMENTACION,1132-1873,0.3,0.321,
REVISTA GENERAL DEL DERECHO DEL TRABAJO Y DE LA SEGURIDAD SOCIAL,1696-9626,0.1,0.068,
REVISTA GENERO & DIREITO,2177-0409,0.1,0.023,
REVISTA GEOARAGUAIA,1809-094X,0,1.00E-03,
REVISTA GEOGRAFICA DE AMERICA CENTRAL,1011-484X,0.4,0.064,
REVISTA GEOGRAFICA VENEZOLANA,1012-1617,0.1,0.065,
REVISTA GESTAO & TECNOLOGIA-JOURNAL OF MANAGEMENT AND TECHNOLOGY,1677-9479,0.2,0.025,
REVISTA GESTAO ORGANIZACIONAL,1983-6635,0.3,0.019,
REVISTA GESTION DE LA EDUCACION,2215-2288,0,0,
REVISTA GESTION DE LAS PERSONAS Y TECNOLOGIA,0718-5693,0.1,0.013,
REVISTA HABITAT SUSTENTABLE,0719-0700,0.5,0.089,
REVISTA HISPANICA MODERNA,0034-9593,0.1,0.135,
REVISTA HISPANOAMERICANA DE HERNIA,2255-2677,0.2,0.009,
REVISTA HISTORIA AUTONOMA,2254-8726,0.1,0.181,
REVISTA HISTORIA-DEBATES E TENDENCIAS,1517-2856,0.1,0.094,
REVISTA HUMANIDADES,2215-2253,0.1,0.09,
REVISTA IBERO-AMERICANA DE CIENCIA DA INFORMACAO,1983-5213,0.1,0.051,
REVISTA IBERO-AMERICANA DE ESTUDOS EM EDUCACAO,2446-8606,0.1,0.046,
REVISTA IBEROAMERICANA,0034-9631,0.1,0.147,
REVISTA IBEROAMERICANA DE AUTOMATICA E INFORMATICA INDUSTRIAL,1697-7912,1.5,0.107,
REVISTA IBEROAMERICANA DE CIENCIAS DE LA ACTIVIDAD FISICA Y EL DEPORTE,2255-0461,0.4,0.047,
REVISTA IBEROAMERICANA DE DIAGNOSTICO Y EVALUACION-E AVALIACAO PSICOLOGICA,2183-6051,1,0.111,
REVISTA IBEROAMERICANA DE EDUCACION,1022-6508,0.6,0.192,
REVISTA IBEROAMERICANA DE ESTUDIOS MUNICIPALES,0718-8838,0.3,0.051,
REVISTA IBEROAMERICANA DE MICOLOGIA,1130-1406,1.9,0.34,
REVISTA IBEROAMERICANA DE PSICOLOGIA DEL EJERCICIO Y EL DEPORTE,1886-8576,1,0.185,
REVISTA IBEROAMERICANA DE PSICOLOGIA Y SALUD,2171-2069,2.3,0.278,
REVISTA ICONO 14-REVISTA CIENTIFICA DE COMUNICACION Y TECNOLOGIAS,1697-8293,1.3,0.199,
REVISTA INGENIERIA DE CONSTRUCCION,0716-2952,0.3,0.072,
REVISTA INNOVACIENCIA,2346-075X,0.1,0.024,
REVISTA INTERNACIONAL DE ANDROLOGIA,1698-031X,0.8,0.139,
REVISTA INTERNACIONAL DE COMUNICACION Y DESARROLLO,2386-3730,0.2,0.083,
REVISTA INTERNACIONAL DE CONTAMINACION AMBIENTAL,0188-4999,0.6,0.097,
REVISTA INTERNACIONAL DE EDUCACION MUSICAL,2307-4841,0.4,0.276,
REVISTA INTERNACIONAL DE EDUCACION PARA LA JUSTICIA SOCIAL,2254-3139,3,0.488,
REVISTA INTERNACIONAL DE ESTUDIOS MIGRATORIOS,2173-1950,0.1,0.046,
REVISTA INTERNACIONAL DE MEDICINA Y CIENCIAS DE LA ACTIVIDAD FISICA Y DEL DEPORTE,1577-0354,1.3,0.173,
REVISTA INTERNACIONAL DE METODOS NUMERICOS PARA CALCULO Y DISENO EN INGENIERIA,0213-1315,0.5,0.055,
REVISTA INTERNACIONAL DE ORGANIZACIONES,2013-570X,0,0.029,
REVISTA INTERNACIONAL DE PENSAMIENTO POLITICO,1885-589X,0.3,0,
REVISTA INTERNACIONAL DE RELACIONES PUBLICAS,2174-3681,0.4,0.079,
REVISTA INTERNACIONAL DE SOCIOLOGIA,0034-9712,0.6,0.348,
REVISTA INTERUNIVERSITARIA DE FORMACION DEL PROFESORADO-RIFOP,0213-8646,0.5,0.143,
REVISTA INVESTIGACIONES ALTOANDINAS-JOURNAL OF HIGH ANDEAN RESEARCH,2306-8582,0.5,0.053,
REVISTA INVI,0718-1299,0.7,0,
REVISTA ITECKNE,1692-1798,0.2,0.017,
REVISTA JESUS HISTORICO E SUA RECEPCAO,1983-4810,0,0,
REVISTA JURIDICA DE CASTILLA Y LEON,1696-6759,0.1,0.033,
REVISTA JURIDICA PORTUCALENSE,2183-5799,0,0,
REVISTA KANINA,0378-0473,0,0.039,
REVISTA LA PROPIEDAD INMATERIAL,1657-1959,0,0.034,
REVISTA LATINA DE COMUNICACION SOCIAL,1138-5820,3,0.461,
REVISTA LATINO-AMERICANA DE ENFERMAGEM,1518-8345,1.8,0.413,
REVISTA LATINOAMERICANA DE DERECHO SOCIAL,1870-4670,0.2,0.064,
REVISTA LATINOAMERICANA DE ESTUDIOS DE FAMILIA,2145-6445,0.2,0.026,
REVISTA LATINOAMERICANA DE ESTUDIOS SOBRE CUERPOS EMOCIONES Y SOCIEDAD,1852-8759,0.1,0.044,
REVISTA LATINOAMERICANA DE HIPERTENSION,1856-4550,0.1,0.034,
REVISTA LATINOAMERICANA DE INVESTIGACION EN MATEMATICA EDUCATIVA-RELIME,1665-2436,0.5,0.141,
REVISTA LATINOAMERICANA DE LA PAPA,1019-6609,0.2,0.029,
REVISTA LATINOAMERICANA DE METODOLOGIA DE LA INVESTIGACION SOCIAL,1853-6190,0.3,0.049,
REVISTA LATINOAMERICANA DE METODOLOGIA DE LAS CIENCIAS SOCIALES,1853-7863,0,0.101,
REVISTA LATINOAMERICANA DE POBLACION,2393-6401,0.4,0.089,
REVISTA LATINOAMERICANA DE PSICOLOGIA,0120-0534,1,0.291,
REVISTA LATINOAMERICANA DE TECNOLOGIA EDUCATIVA-RELATEC,1695-288X,0.5,0.124,
REVISTA LETRAS,0100-0888,0.1,0.334,
REVISTA MAD-REVISTA DEL MAGISTER EN ANALISIS SISTEMICO APLICADO A LA SOCIEDAD,0718-0527,0.1,0.016,
REVISTA MATEMATICA COMPLUTENSE,1139-1138,0.8,0.68,
REVISTA MATEMATICA IBEROAMERICANA,0213-2230,1.2,1.355,
REVISTA MEDICA DE CHILE,0034-9887,0.6,0.14,
REVISTA MEDICA DE ROSARIO,0327-5019,0.1,0.002,
REVISTA MEDICA DEL URUGUAY,0303-3295,0.2,0.068,
REVISTA MEDITERRANEA COMUNICACION-JOURNAL OF COMMUNICATION,1989-872X,1.1,0.268,
REVISTA METROPOLITANA DE SUSTENTABILIDADE,2318-3233,0.1,0.013,
REVISTA MEXICANA DE ANALISIS POLITICO Y ADMINISTRACION PUBLICA,2007-4425,0.2,0.038,
REVISTA MEXICANA DE ASTRONOMIA Y ASTROFISICA,0185-1101,1,0.858,
REVISTA MEXICANA DE BIODIVERSIDAD,1870-3453,0.9,0.236,
REVISTA MEXICANA DE CIENCIAS GEOLOGICAS,1026-8774,0.8,0.245,
REVISTA MEXICANA DE CIENCIAS PECUARIAS,2007-1124,0.7,0.188,
REVISTA MEXICANA DE CIENCIAS POLITICAS Y SOCIALES,0185-1918,0.3,0.299,
REVISTA MEXICANA DE FISICA,0035-001X,1.7,0.191,
REVISTA MEXICANA DE INGENIERIA QUIMICA,1665-2738,1.5,0.101,
REVISTA MEXICANA DE NEUROCIENCIA,1665-5044,0.2,0.02,
REVISTA MEXICANA DE PSICOLOGIA,0185-6073,0.2,0.202,
REVISTA MUSICAL CHILENA,0716-2790,0.2,0.178,
REVISTA MVZ CORDOBA,0122-0268,0.4,0.096,
REVISTA NOTAS HISTORICAS Y GEOGRAFICAS,0717-036X,0.6,0.084,
REVISTA NUMISMATICA HECATE,2386-8643,0.1,0.082,
REVISTA OLHRES,2317-7853,0,0.004,
REVISTA ON LINE DE POLITICA E GESTAO EDUCACIONAL,1519-9029,0.2,0.078,
REVISTA ORL,2444-7986,0.2,0.022,
REVISTA PANAMERICANA DE SALUD PUBLICA-PAN AMERICAN JOURNAL OF PUBLIC HEALTH,1020-4989,2.6,0.553,
REVISTA PAULISTA DE PEDIATRIA,0103-0582,1.7,0,
REVISTA PEGADA,1676-1871,0.1,0.05,
REVISTA PENSAMIENTO AMERICANO,2027-2448,0,0.017,
REVISTA PERSEITAS,2346-1780,0,0.06,
REVISTA PERSPECTIVA EMPRESARIAL,2389-8186,0.1,0.045,
REVISTA PERUANA DE BIOLOGIA,1561-0837,0.5,0,
REVISTA PERUANA DE GINECOLOGIA Y OBSTETRICIA,2304-5124,0.1,0.019,
REVISTA PERUANA DE INVESTIGACION EDUCATIVA,2076-6300,0.1,0.033,
REVISTA PISTIS & PRAXIS-TEOLOGIA E PASTORAL,1984-3755,0,0.038,
REVISTA PORTUGUESA DE CARDIOLOGIA,0870-2551,1.8,0.246,
REVISTA PORTUGUESA DE ENDOCRINOLOGIA DIABETES E METABOLISMO,1646-3439,0.1,0.028,
REVISTA PORTUGUESA DE ESTOMATOLOGIA MEDICINA DENTARIA E CIRURGIA MAXILOFACIAL,1646-2890,0.3,0.024,
REVISTA PORTUGUESA DE HISTORIA,0870-4147,0.1,0.284,
REVISTA PORTUGUESA DE INVESTIGACAO COMPORTAMENTAL E SOCIAL,2183-4938,0.2,0.083,
REVISTA POS CIENCIAS SOCIAIS,1983-4527,0.1,0.024,
REVISTA PRAXIS EDUCACIONAL,1809-0249,0.1,0.034,
REVISTA PUBLICACIONES,1577-4147,0.4,0.067,
REVISTA RA XIMHAI,1665-0441,0,0.036,
REVISTA REPUBLICANA,1909-4450,0.2,0.063,
REVISTA ROL DE ENFERMERIA,0210-5020,0.1,0.01,
REVISTA ROMANA DE MATERIALE-ROMANIAN JOURNAL OF MATERIALS,1583-3186,0.7,0.077,
REVISTA ROMANA DE MEDICINA DE LABORATOR,1841-6624,0.5,0.055,
REVISTA ROMANA DE MEDICINA VETERINARA,1220-3173,0.2,0.011,
REVISTA ROMANEASCA PENTRU EDUCATIE MULTIDIMENSIONALA,2066-7329,2,0.143,
REVISTA RUPTURAS,2215-2466,0.5,0.136,
REVISTA SAN GREGORIO,1390-7247,0.3,0.043,
REVISTA SIGNOS,0718-0934,0.4,0.249,
REVISTA SOBRE LA INFANCIA Y LA ADOLESCENCIA,2174-7210,0.1,0.09,
REVISTA SONDA-INVESTIGACION Y DOCENCIA EN ARTES Y LETRAS,2254-6073,0,0.022,
REVISTA TECNOLOGIA E SOCIEDADE,1809-0044,0.1,0.029,
REVISTA TEFROS,1669-726X,0.1,0.101,
REVISTA UNISCI,2386-9453,0.3,0.079,
REVISTA UNIVAP,1517-3275,0,0.006,
REVISTA UNIVERSIDAD EMPRESA,0124-4639,0.4,0.047,
REVISTA UNIVERSIDAD Y SOCIEDAD,2218-3620,0.3,0.032,
REVISTA UNIVERSITARIA DE HISTORIA MILITAR,2254-6111,0.2,0.332,
REVISTA URUGUAYA DE HISTORIA ECONOMICA,1688-8561,0.2,0.189,
REVISTA VIRTUAL DE ESTUDOS DA LINGUAGEM-REVEL,1678-8931,0.1,0.183,
REVISTA VIRTUAL DE QUIMICA,1984-6835,0.5,0.065,
REVISTA VIRTUAL UNIVERSIDAD CATOLICA DEL NORTE,0124-5821,0.6,0.099,
REVISTA VORTEX-VORTEX MUSIC JOURNAL,2317-9937,0,0.032,
REVMAR-REVISTA CIENCIAS MARINAS Y COSTERAS,1659-407X,0.2,0.066,
REVOLUTIONARY RUSSIA,0954-6545,0.3,0.536,
REVSTAT-STATISTICAL JOURNAL,1645-6726,0.9,0.332,
REVUE ARCHEOLOGIQUE DU CENTRE DE LA FRANCE,1951-6207,0,0.024,
REVUE BELGE DE PHILOLOGIE ET D HISTOIRE,0035-0818,0,0.068,
REVUE BIBLIQUE,0035-0907,0.2,0.165,
REVUE CIRKEVNIHO PRAVA-CHURCH LAW REVIEW,1211-1635,0.1,0.022,
REVUE D ANTHROPOLOGIE DES CONNAISSANCES,1760-5393,0.1,0.145,
REVUE D ECONOMIE POLITIQUE,0373-2630,0.3,0.158,
REVUE D ECONOMIE REGIONALE ET URBAINE,0180-7307,0.3,0.095,
REVUE D EPIDEMIOLOGIE ET DE SANTE PUBLIQUE,0398-7620,0.9,0.423,
REVUE D ETUDES COMPARATIVES EST-OUEST,0338-0599,0.1,0.144,
REVUE D ETUDES TIBETAINES,1768-2959,0.2,0.06,
REVUE D HISTOIRE DES MATHEMATIQUES,1262-022X,0,0,
REVUE D HISTOIRE DES SCIENCES,0151-4105,0.1,0.141,
REVUE D HISTOIRE DU THEATRE,1291-2530,0,0.012,
REVUE D HISTOIRE ECCLESIASTIQUE,0035-2381,0.2,0.143,
REVUE D HISTOIRE LITTERAIRE DE LA FRANCE,0035-2411,0,0.578,
REVUE D HISTOIRE MODERNE ET CONTEMPORAINE,0048-8003,0.1,0.273,
REVUE DE GEOGRAPHIE ALPINE-JOURNAL OF ALPINE RESEARCH,0035-1121,0.4,0.1,
REVUE DE L ART,0035-1326,0,0.045,
REVUE DE L IRES,1145-1378,0.3,0.139,
REVUE DE LINGUISTIQUE ROMANE,0035-1458,0.2,0.073,
REVUE DE MEDECINE INTERNE,0248-8663,0.9,0.161,
REVUE DE METAPHYSIQUE ET DE MORALE,0035-1571,0.1,0.087,
REVUE DE MICROPALEONTOLOGIE,0035-1598,0.9,0,
REVUE DE MUSICOLOGIE,0035-1601,0.3,0.065,
REVUE DE SYNTHESE,0035-1776,0.2,0.284,
REVUE DES COMPOSITES ET DES MATERIAUX AVANCES-JOURNAL OF COMPOSITE AND ADVANCED MATERIALS,1169-7954,0.8,0.048,
REVUE DES ETUDES JUIVES,0484-8616,0,0.174,
REVUE DES LANGUES ROMANES,0223-3711,0.1,0.088,
REVUE DES MALADIES RESPIRATOIRES,0761-8425,0.6,0.171,
REVUE DES MONDES MUSULMANS ET DE LA MEDITERRANEE,0997-1327,0.1,0.209,
REVUE DES MUSEES DE FRANCE-REVUE DU LOUVRE,1962-4271,0,0.073,
REVUE DES SCIENCES DE L EDUCATION,0318-479X,0.2,0.065,
REVUE DES SCIENCES PHILOSOPHIQUES ET THEOLOGIQUES,0035-2209,0,0.146,
REVUE DU NORD,0035-2624,0,0.043,
REVUE ECONOMIQUE,0035-2764,0.5,0.269,
REVUE EUROPEENNE DES SCIENCES SOCIALES,0048-8046,0.1,0.08,
REVUE FRANCAISE D ALLERGOLOGIE,1877-0320,0.3,0.042,
REVUE FRANCAISE D ETUDES AMERICAINES,0397-7870,0,0.026,
REVUE FRANCAISE DE SOCIOLOGIE,0035-2969,0.4,0.459,
REVUE GENERAL DE DROIT,0035-3086,0.2,0.132,
REVUE HISTORIQUE,0035-3264,0.4,0.555,
REVUE INTERNATIONALE DE GEOMATIQUE,1260-5875,0.1,0.096,
REVUE INTERNATIONALE DE PHILOSOPHIE,0048-8143,0.1,0.063,
REVUE INTERNATIONALE PME,0776-5436,0.4,0.023,
REVUE INTERVENTIONS ECONOMIQUES-PAPERS IN POLITICAL ECONOMY,0715-3570,0.1,0.032,
REVUE ITALIENNE D'ETUDES FRANCAISES,2240-7456,0,0.021,
REVUE LISA-LISA E-JOURNAL,1762-6153,0.1,0.08,
REVUE NEUROLOGIQUE,0035-3787,3,0.75,
REVUE PHILOSOPHIQUE DE LA FRANCE ET DE L ETRANGER,0035-3833,0.1,0.264,
REVUE PHILOSOPHIQUE DE LOUVAIN,0035-3841,0,0.312,
REVUE ROMANE,0035-3906,0.2,0.16,
REVUE ROUMAINE DE CHIMIE,0035-3930,0.5,0.052,
REVUE ROUMAINE DE LINGUISTIQUE-ROMANIAN REVIEW OF LINGUISTICS,0035-3957,0.2,0.197,
REVUE ROUMAINE DE MATHEMATIQUES PURES ET APPLIQUEES,0035-3965,0.3,0.213,
REVUE ROUMAINE DE PHILOSOPHIE,1220-5400,0,0.128,
REVUE ROUMAINE DES SCIENCES TECHNIQUES-SERIE ELECTROTECHNIQUE ET ENERGETIQUE,0035-4066,0.7,0.039,
REVUE SCIENTIFIQUE ET TECHNIQUE-OFFICE INTERNATIONAL DES EPIZOOTIES,0253-1933,0.6,0.305,
REVUE SUISSE DE ZOOLOGIE,0035-418X,0.8,0.241,
REVUE THEOLOGIQUE DE LOUVAIN,0080-2654,0.1,0.089,
RHEOLOGICA ACTA,0035-4511,2.3,0.554,
RHETORIC & PUBLIC AFFAIRS,1094-8392,0.8,0.397,
RHETORIC REVIEW,0735-0198,0.3,0.212,
RHETORIC SOCIETY QUARTERLY,0277-3945,0.7,0.71,
RHETORICA-A JOURNAL OF THE HISTORY OF RHETORIC,0734-8584,0.5,0.529,
RHEUMATIC DISEASE CLINICS OF NORTH AMERICA,0889-857X,2.3,0.927,
RHEUMATOLOGY,1462-0324,5.5,1.694,
RHEUMATOLOGY ADVANCES IN PRACTICE,2514-1775,3.1,0.828,
RHEUMATOLOGY AND THERAPY,2198-6576,3.8,1.105,
RHEUMATOLOGY INTERNATIONAL,0172-8172,4,0.781,
RHINOLOGY,0300-0729,7.2,1.459,
RHIZOMATA-A JOURNAL FOR ANCIENT PHILOSOPHY AND SCIENCE,2196-5102,0,0.287,
RHIZOSPHERE,2452-2198,3.7,0.531,
RHODORA,0035-4902,0.2,0.098,
RHYTHMICA-REVISTA ESPANOLA DE METRICA COMPARADA,1696-5744,0.2,0.349,
RI VISTA-RICERCHE PER LA PROGETTAZIONE DEL PAESAGGIO,1724-6768,0.2,0.028,
RICE,1939-8425,5.5,0.975,
RICE SCIENCE,1672-6308,4.8,0.753,
RICERCHE DI MATEMATICA,0035-5038,1.2,0.32,
RICERCHE DI PSICOLOGIA,0391-6081,0.2,0.051,
RICERCHE DI S-CONFINE,2038-8411,0,0,
RICERCHE DI STORIA DELL ARTE,0392-7202,0,0.012,
RICERCHE DI STORIA POLITICA,1120-9526,0,0.069,
RICYDE-REVISTA INTERNACIONAL DE CIENCIAS DEL DEPORTE,1885-3137,0.9,0.206,
RIDE-THE JOURNAL OF APPLIED THEATRE AND PERFORMANCE,1356-9783,0.6,0.246,
RIE-REVISTA DE INVESTIGACION EDUCATIVA,0212-4068,2.3,0.509,
RIED-REVISTA IBEROAMERICANA DE EDUCACION A DISTANCIA,1138-2783,4.6,0.681,
RIHA JOURNAL,2190-3328,0.1,0.235,
RIJKSMUSEUM BULLETIN,1877-8127,0.1,0.314,
RILCE-REVISTA DE FILOLOGIA HISPANICA,0213-2370,0.1,0.342,
RISET GEOLOGI DAN PERTAMBANGAN,0125-9849,0.1,0.052,
RISK ANALYSIS,0272-4332,3.8,0.969,
RISK HAZARDS & CRISIS IN PUBLIC POLICY,1944-4079,3.5,0.793,
RISK MANAGEMENT AND HEALTHCARE POLICY,1179-1594,3.5,0.656,
RISK MANAGEMENT-AN INTERNATIONAL JOURNAL,1460-3799,2.1,0.327,
RISKS,2227-9091,2.2,0.396,
RISUS-JOURNAL ON INNOVATION AND SUSTAINABILITY,2179-3565,0.3,0.041,
RITA-REVISTA INDEXADA DE TEXTOS ACADEMICOS,2340-9711,0.1,0.079,
RIVAR-REVISTA IBEROAMERICANA DE VITICULTURA AGROINDUSTRIA Y RURALIDAD,0719-4994,0.5,0.12,
RIVER RESEARCH AND APPLICATIONS,1535-1459,2.2,0.471,
RIVISTA DEL NUOVO CIMENTO,0393-697X,4.5,1.541,
RIVISTA DI ESTETICA,0035-6212,0.3,0.223,
RIVISTA DI FILOLOGIA E DI ISTRUZIONE CLASSICA,0035-6220,0.1,0.185,
RIVISTA DI FILOSOFIA,0035-6239,0.1,0.23,
RIVISTA DI FILOSOFIA DEL DIRITTO-JOURNAL OF LEGAL PHILOSOPHY,2280-482X,0.2,0.095,
RIVISTA DI FILOSOFIA NEO-SCOLASTICA,0035-6247,0,0.069,
RIVISTA DI LETTERATURA ITALIANA,0392-825X,0,0.175,
RIVISTA DI LETTERATURA STORIOGRAFICA ITALIANA,2532-9626,0.2,0,
RIVISTA DI LETTERATURE MODERNE E COMPARATE,0391-2108,0.1,0,
RIVISTA DI MATEMATICA DELLA UNIVERSITA DI PARMA,0035-6298,0.3,0.377,
RIVISTA DI PSICHIATRIA,0035-6484,2.7,0.371,
RIVISTA DI PSICOLINGUISTICA APPLICATA-JOURNAL OF APPLIED PSYCHOLINGUISTICS,1592-1328,0.1,0.04,
RIVISTA DI PSICOLOGIA DELL EMERGENZA E DELL ASSISTENZA UMANITARIA,2280-9120,0,0,
RIVISTA DI STORIA DELLA FILOSOFIA,0393-2516,0.1,0.233,
RIVISTA DI STORIA E LETTERATURA RELIGIOSA,0035-6573,0,0.108,
RIVISTA INTERNAZIONALE DI FILOSOFIA E PSICOLOGIA,2039-4667,0.2,0.107,
RIVISTA ITALIANA DELLE SOSTANZE GRASSE,0035-6808,0.4,0.074,
RIVISTA ITALIANA DI FILOSOFIA DEL LINGUAGGIO,2036-6728,0.1,0.125,
RIVISTA ITALIANA DI MUSICOLOGIA,0035-6867,0.1,0.123,
RIVISTA ITALIANA DI PALEONTOLOGIA E STRATIGRAFIA,0035-6883,2.3,0.581,
RIVISTA PASCOLIANA,1120-8856,0,0,
RIVISTA STORICA DELL ANTICHITA,0300-340X,0,0,
RIVISTA STORICA ITALIANA,0035-7073,0.2,0.214,
RLA-REVISTA DE LINGUISTICA TEORICA Y APLICADA,0718-4883,0.3,0.24,
RLC-REVUE DE LITTERATURE COMPAREE,0035-1466,0,0.009,
RMD OPEN,2056-5933,6.2,1.697,
RMS-RESEARCH IN MATHEMATICS & STATISTICS,2765-8449,1.1,0.201,
RNA,1355-8382,4.5,2.106,
RNA BIOLOGY,1547-6286,4.1,1.377,
ROAD MATERIALS AND PAVEMENT DESIGN,1468-0629,3.7,0.663,
ROADS AND BRIDGES-DROGI I MOSTY,1643-1618,0.5,0.099,
ROBOMECH JOURNAL,2197-4225,1.4,0,
ROBOTICA,0263-5747,2.7,0.415,
ROBOTICS,2218-6581,3.7,0.609,
ROBOTICS AND AUTONOMOUS SYSTEMS,0921-8890,4.3,0.921,
ROBOTICS AND COMPUTER-INTEGRATED MANUFACTURING,0736-5845,10.4,1.407,
