Journal	JournalFullName	ISSN	2024IF	2024AI
PSYCHOL SCI	PSYCHOLOGICAL SCIENCE	0956-7976	5.1	3.212
PSYCHOL SCI PUBL INT	PSYCHOLOGICAL SCIENCE IN THE PUBLIC INTEREST	1529-1006	17.6	15.991
PSYCHOL SERV	PSYCHOLOGICAL SERVICES	1541-1559	1.8	0.804
PSYCHOL SEX	PSYCHOLOGY & SEXUALITY	1941-9899	1.9	1.037
PSYCHOL SEX ORIENTAT	PSYCHOLOGY OF SEXUAL ORIENTATION AND GENDER DIVERSITY	2329-0382	3.9	1.564
PSYCHOL SOC EDUC	PSYCHOLOGY SOCIETY & EDUCATION	2171-2085	0.9	0.178
PSYCHOL SPORT EXERC	PSYCHOLOGY OF SPORT AND EXERCISE	1469-0292	3.3	1.206
PSYCHOL STUD	PSYCHOLOGICAL STUDIES	0033-2968	1.1	0.315
PSYCHOL TRAUMA-US	PSYCHOLOGICAL TRAUMA-THEORY RESEARCH PRACTICE AND POLICY	1942-9681	2.3	1.056
PSYCHOL TRAV ORGAN	PSYCHOLOGIE DU TRAVAIL ET DES ORGANISATIONS	1420-2530	0.4	0.059
PSYCHOL VIOLENCE	PSYCHOLOGY OF VIOLENCE	2152-0828	2.4	1.156
PSYCHOL WOMEN QUART	PSYCHOLOGY OF WOMEN QUARTERLY	0361-6843	3.0	1.942
PSYCHOLINGUISTICS	PSYCHOLINGUISTICS	2309-1797	0.5	0.061
PSYCHOL-J HIGH SCH E	PSYCHOLOGY-JOURNAL OF THE HIGHER SCHOOL OF ECONOMICS	1813-8918	0.3	0.083
PSYCHOLOGIA	PSYCHOLOGIA	0033-2852	0.5	0.138
PSYCHOLOGICA-COIMBRA	PSYCHOLOGICA	0871-4657	0.0	0.095
PSYCHOMETRIKA	PSYCHOMETRIKA	0033-3123	3.1	1.868
PSYCHOMUSICOLOGY	PSYCHOMUSICOLOGY	0275-3987	1.2	0.595
PSYCHON B REV	PSYCHONOMIC BULLETIN & REVIEW	1069-9384	3.0	1.738
PSYCHONEUROENDOCRINO	PSYCHONEUROENDOCRINOLOGY	0306-4530	3.6	1.193
PSYCHO-ONCOLOGIE	PSYCHO-ONCOLOGIE	1778-3798	0.3	0.097
PSYCHO-ONCOLOGY	PSYCHO-ONCOLOGY	1057-9249	3.5	1.19
PSYCHOPATHOLOGY	PSYCHOPATHOLOGY	0254-4962	2.2	0.975
PSYCHOPHARMACOLOGY	PSYCHOPHARMACOLOGY	0033-3158	3.3	0.993
PSYCHOPHYSIOLOGY	PSYCHOPHYSIOLOGY	0048-5772	2.8	1.185
PSYCHORADIOLOGY	PSYCHORADIOLOGY	N/A	2.9	1.247
PSYCHOSIS	PSYCHOSIS-PSYCHOLOGICAL SOCIAL AND INTEGRATIVE APPROACHES	1752-2439	1.0	0.37
PSYCHOSOC INTERV	PSYCHOSOCIAL INTERVENTION	1132-0559	4.4	1.197
PSYCHOSOM MED	PSYCHOSOMATIC MEDICINE	0033-3174	2.4	1.04
PSYCHOTERAPIA	PSYCHOTERAPIA	0239-4170	0.0	0.022
PSYCHOTHER POLITICS	PSYCHOTHERAPY AND POLITICS INTERNATIONAL	1476-9263	0.6	0.25
PSYCHOTHER PSYCH MED	PSYCHOTHERAPIE PSYCHOSOMATIK MEDIZINISCHE PSYCHOLOGIE	0937-2032	0.8	0.212
PSYCHOTHER PSYCHOSOM	PSYCHOTHERAPY AND PSYCHOSOMATICS	0033-3190	17.4	5.226
PSYCHOTHER RES	PSYCHOTHERAPY RESEARCH	1050-3307	3.0	1.301
PSYCHOTHERAPIE	PSYCHOTHERAPIE	2731-7161	0.6	0.162
PSYCHOTHERAPY	PSYCHOTHERAPY	0033-3204	3.9	1.362
PSYECOLOGY	PSYECOLOGY-BILINGUAL JOURNAL OF ENVIRONMENTAL PSYCHOLOGY-REVISTA BILINGUE DE PSICOLOGIA AMBIENTAL	2171-1976	0.8	0.222
PTERIDINES	PTERIDINES	0933-4807	0.9	0.099
PUB PRIV INT LAW B	PUBLIC AND PRIVATE INTERNATIONAL LAW BULLETIN	2651-5377	0.1	0.023
PUBL ASTRON SOC AUST	PUBLICATIONS OF THE ASTRONOMICAL SOCIETY OF AUSTRALIA	1323-3580	4.6	2.157
PUBL ASTRON SOC JPN	PUBLICATIONS OF THE ASTRONOMICAL SOCIETY OF JAPAN	0004-6264	2.6	0.929
PUBL ASTRON SOC PAC	PUBLICATIONS OF THE ASTRONOMICAL SOCIETY OF THE PACIFIC	0004-6280	7.7	2.762
PUBL ENGL GOETHE SOC	PUBLICATIONS OF THE ENGLISH GOETHE SOCIETY	0959-3683	0.0	0.13
PUBL HISTORIAN	PUBLIC HISTORIAN	0272-3433	0.6	0.479
PUBL I MATH-BEOGRAD	PUBLICATIONS DE L INSTITUT MATHEMATIQUE-BEOGRAD	0350-1302	0.5	0.116
PUBL MAT	PUBLICACIONS MATEMATIQUES	0214-1493	1.0	0.802
PUBL MATH-DEBRECEN	PUBLICATIONES MATHEMATICAE DEBRECEN	0033-3883	0.5	0.314
PUBL MATH-PARIS	PUBLICATIONS MATHEMATIQUES DE L IHES	0073-8301	3.5	8.92
PUBL RES I MATH SCI	PUBLICATIONS OF THE RESEARCH INSTITUTE FOR MATHEMATICAL SCIENCES	0034-5318	0.7	0.825
PUBLIC	PUBLIC-ART CULTURE IDEAS	0845-4450	0.2	0.107
PUBLIC ADMIN	PUBLIC ADMINISTRATION	0033-3298	5.1	1.717
PUBLIC ADMIN DEVELOP	PUBLIC ADMINISTRATION AND DEVELOPMENT	0271-2075	2.1	0.592
PUBLIC ADMIN POLICY	PUBLIC ADMINISTRATION AND POLICY-AN ASIA-PACIFIC JOURNAL	1727-2645	0.8	0.264
PUBLIC ADMIN REV	PUBLIC ADMINISTRATION REVIEW	0033-3352	4.9	2.308
PUBLIC ARCHAEOL	PUBLIC ARCHAEOLOGY	1465-5187	0.9	0.444
PUBLIC BUDG FINANC	PUBLIC BUDGETING AND FINANCE	0275-1100	1.0	0.399
PUBLIC CHOICE	PUBLIC CHOICE	0048-5829	2.2	0.823
PUBLIC CULTURE	PUBLIC CULTURE	0899-2363	0.9	0.738
PUBLIC FINANC Q-HUNG	PUBLIC FINANCE QUARTERLY-HUNGARY	0031-496X	0.5	0.046
PUBLIC FINANC REV	PUBLIC FINANCE REVIEW	1091-1421	1.0	0.424
PUBLIC HEALTH	PUBLIC HEALTH	0033-3506	3.2	1.013
PUBLIC HEALTH ACTION	PUBLIC HEALTH ACTION	2220-8372	1.6	0.609
PUBLIC HEALTH ETH-UK	PUBLIC HEALTH ETHICS	1754-9973	2.0	0.743
PUBLIC HEALTH GENOM	PUBLIC HEALTH GENOMICS	1662-4246	1.5	0.606
PUBLIC HEALTH NURS	PUBLIC HEALTH NURSING	0737-1209	1.3	0.53
PUBLIC HEALTH NUTR	PUBLIC HEALTH NUTRITION	1368-9800	3.0	0.92
PUBLIC HEALTH PRACT	PUBLIC HEALTH IN PRACTICE	2666-5352	1.9	0.661
PUBLIC HEALTH REP	PUBLIC HEALTH REPORTS	0033-3549	2.5	1.302
PUBLIC HEALTH RES PR	PUBLIC HEALTH RESEARCH & PRACTICE	2204-2091	3.4	0.963
PUBLIC HEALTH REV	PUBLIC HEALTH REVIEWS	N/A	4.1	2.128
PUBLIC HIST REV	PUBLIC HISTORY REVIEW	1037-9851	0.6	0.239
PUBLIC INTEGR	PUBLIC INTEGRITY	1099-9922	1.1	0.386
PUBLIC LAW REV	PUBLIC LAW REVIEW	1034-3024	0.4	0.199
PUBLIC LIBR Q	PUBLIC LIBRARY QUARTERLY	0161-6846	1.6	0.39
PUBLIC MANAG REV	PUBLIC MANAGEMENT REVIEW	1471-9037	4.9	1.559
PUBLIC MONEY MANAGE	PUBLIC MONEY & MANAGEMENT	0954-0962	2.1	0.613
PUBLIC OPIN QUART	PUBLIC OPINION QUARTERLY	0033-362X	2.7	2.472
PUBLIC ORGAN REV	PUBLIC ORGANIZATION REVIEW	1566-7170	1.7	0.313
PUBLIC PERFORM MANAG	PUBLIC PERFORMANCE & MANAGEMENT REVIEW	1530-9576	2.8	0.746
PUBLIC PERS MANAGE	PUBLIC PERSONNEL MANAGEMENT	0091-0260	2.6	0.718
PUBLIC POLICY ADMIN	PUBLIC POLICY AND ADMINISTRATION	0952-0767	3.2	1.028
PUBLIC RELAT INQ	PUBLIC RELATIONS INQUIRY	2046-147X	1.7	0.588
PUBLIC RELAT REV	PUBLIC RELATIONS REVIEW	0363-8111	3.4	0.835
PUBLIC TRANSPORT	PUBLIC TRANSPORT	1866-749X	2.2	0.549
PUBLIC UNDERST SCI	PUBLIC UNDERSTANDING OF SCIENCE	0963-6625	3.3	1.242
PUBLIC WORKS MANAG P	PUBLIC WORKS MANAGEMENT & POLICY	1087-724X	1.0	0.216
PUBLICATIONS-BASEL	PUBLICATIONS	N/A	2.5	0.798
PUBLISH RES Q	PUBLISHING RESEARCH QUARTERLY	1053-8801	1.7	0.326
PUBLIUS J FEDERALISM	PUBLIUS-THE JOURNAL OF FEDERALISM	0048-5950	1.8	0.813
PULM CIRC	PULMONARY CIRCULATION	2045-8932	2.5	0.922
PULM MED	PULMONARY MEDICINE	2090-1836	2.1	0.638
PULM PHARMACOL THER	PULMONARY PHARMACOLOGY & THERAPEUTICS	1094-5539	2.8	0.647
PULM THER	PULMONARY THERAPY	2364-1754	3.0	0.833
PULMONOLOGY	PULMONOLOGY	2531-0437	6.4	1.622
PULP PAP-CANADA	PULP & PAPER-CANADA	0316-4004	0.4	0.131
PULSE	PULSE	2235-8676	7.3	0.799
PUNISHM SOC	PUNISHMENT & SOCIETY-INTERNATIONAL JOURNAL OF PENOLOGY	1462-4745	1.4	0.843
PUNJAB UNIV J MATH	PUNJAB UNIVERSITY JOURNAL OF MATHEMATICS	N/A	0.0	0.086
PUNK POST PUNK	PUNK & POST-PUNK	2044-1983	0.2	0.0
PURE APPL ANAL	PURE AND APPLIED ANALYSIS	2578-5893	1.3	0.0
PURE APPL CHEM	PURE AND APPLIED CHEMISTRY	0033-4545	2.0	0.41
PURE APPL GEOPHYS	PURE AND APPLIED GEOPHYSICS	0033-4553	1.9	0.536
PURE APPL MATH Q	PURE AND APPLIED MATHEMATICS QUARTERLY	1558-8599	0.8	0.856
PURINERG SIGNAL	PURINERGIC SIGNALLING	1573-9538	2.4	0.563
PYTHAGORAS	PYTHAGORAS	1012-2346	0.7	0.14
Q APPL MATH	QUARTERLY OF APPLIED MATHEMATICS	0033-569X	0.9	0.584
Q J ECON	QUARTERLY JOURNAL OF ECONOMICS	0033-5533	12.7	28.678
Q J ENG GEOL HYDROGE	QUARTERLY JOURNAL OF ENGINEERING GEOLOGY AND HYDROGEOLOGY	1470-9236	1.3	0.273
Q J EXP PSYCHOL	QUARTERLY JOURNAL OF EXPERIMENTAL PSYCHOLOGY	1747-0218	1.4	0.668
Q J FINANC	QUARTERLY JOURNAL OF FINANCE	2010-1392	0.4	0.537
Q J MATH	QUARTERLY JOURNAL OF MATHEMATICS	0033-5606	0.5	0.811
Q J MECH APPL MATH	QUARTERLY JOURNAL OF MECHANICS AND APPLIED MATHEMATICS	0033-5614	0.8	0.208
Q J NUCL MED MOL IM	QUARTERLY JOURNAL OF NUCLEAR MEDICINE AND MOLECULAR IMAGING	1824-4785	1.4	0.376
Q J POLIT SCI	QUARTERLY JOURNAL OF POLITICAL SCIENCE	1554-0626	1.8	2.604
Q J ROY METEOR SOC	QUARTERLY JOURNAL OF THE ROYAL METEOROLOGICAL SOCIETY	0035-9009	2.9	2.757
Q J SPEECH	QUARTERLY JOURNAL OF SPEECH	0033-5630	1.5	0.666
Q REV BIOL	QUARTERLY REVIEW OF BIOLOGY	0033-5770	3.2	2.042
Q REV BIOPHYS	QUARTERLY REVIEWS OF BIOPHYSICS	0033-5835	5.3	2.635
Q REV ECON FINANC	QUARTERLY REVIEW OF ECONOMICS AND FINANCE	1062-9769	3.1	0.547
QED-J GLBTQ WORLDMAK	QED-A JOURNAL IN GLBTQ WORLDMAKING	2327-1574	0.4	0.384
QJM-INT J MED	QJM-AN INTERNATIONAL JOURNAL OF MEDICINE	1460-2725	6.4	1.41
QME-QUANT MARK ECON	QME-QUANTITATIVE MARKETING AND ECONOMICS	1570-7156	1.1	1.726
QUAD FILOL-ESTUD LIN	QUADERNS DE FILOLOGIA-ESTUDIS LINGUISTICS	1135-416X	0.4	0.142
QUAD FILOL-ESTUD LIT	QUADERNS DE FILOLOGIA-ESTUDIS LITERARIS	1135-4178	0.1	0.094
QUAD GEOFIS	QUADERNI DI GEOFISICA	1590-2595	0.6	0.089
QUAD ITAL	QUADERNI D ITALIANISTICA	0226-8043	0.0	0.076
QUAD PSICOL	QUADERNS DE PSICOLOGIA	0211-3481	0.3	0.131
QUAD STORICI	QUADERNI STORICI	0301-6307	0.1	0.143
QUAD URBIN CULT CLAS	QUADERNI URBINATI DI CULTURA CLASSICA	0033-4987	0.0	0.058
QUADERNS	QUADERNS-REVISTA DE TRADUCCIO	1138-5790	0.1	0.166
QUAERENDO	QUAERENDO-A JOURNAL DEVOTED TO MANUSCRIPTS AND PRINTED BOOKS	0014-9527	0.0	0.29
QUAEST GEOGR	QUAESTIONES GEOGRAPHICAE	0137-477X	0.8	0.177
QUAEST MATH	QUAESTIONES MATHEMATICAE	1607-3606	0.8	0.349
QUAESTIO IURIS	QUAESTIO IURIS	1807-8389	0.1	0.018
QUAESTIO ROSS	QUAESTIO ROSSICA	2311-911X	0.3	0.36
QUAL AGEING OLDER AD	QUALITY IN AGEING AND OLDER ADULTS	1471-7794	0.6	0.25
QUAL ASSUR EDUC	QUALITY ASSURANCE IN EDUCATION	0968-4883	1.6	0.257
QUAL ASSUR SAF CROP	QUALITY ASSURANCE AND SAFETY OF CROPS & FOODS	1757-8361	5.3	0.429
QUAL ENG	QUALITY ENGINEERING	0898-2112	2.2	0.507
QUAL HEALTH RES	QUALITATIVE HEALTH RESEARCH	1049-7323	2.4	1.233
QUAL HIGH EDUC	QUALITY IN HIGHER EDUCATION	1353-8322	1.5	0.38
QUAL INNOV PROSPER	QUALITY INNOVATION PROSPERITY-KVALITA INOVACIA PROSPERITA	1335-1745	1.2	0.159
QUAL INQ	QUALITATIVE INQUIRY	1077-8004	1.8	1.164
QUAL LIFE RES	QUALITY OF LIFE RESEARCH	0962-9343	2.7	1.326
QUAL MANAG HEALTH CA	QUALITY MANAGEMENT IN HEALTH CARE	1063-8628	1.2	0.33
QUAL MANAG J	QUALITY MANAGEMENT JOURNAL	1068-6967	2.9	0.0
QUAL MARK RES	QUALITATIVE MARKET RESEARCH	1352-2752	2.5	0.421
QUAL PSYCHOL	QUALITATIVE PSYCHOLOGY	2326-3601	14.3	3.151
QUAL QUANT METHODS L	QUALITATIVE & QUANTITATIVE METHODS IN LIBRARIES	2241-1925	0.1	0.059
QUAL RELIAB ENG INT	QUALITY AND RELIABILITY ENGINEERING INTERNATIONAL	0748-8017	2.8	0.462
QUAL REP	QUALITATIVE REPORT	1052-0147	1.6	0.541
QUAL RES	QUALITATIVE RESEARCH	1468-7941	2.9	1.955
QUAL RES ACCOUNT MAN	QUALITATIVE RESEARCH IN ACCOUNTING AND MANAGEMENT	1176-6093	3.1	0.603
QUAL RES EDUC	QUALITATIVE RESEARCH IN EDUCATION	2014-6418	0.8	0.281
QUAL RES FINANC MARK	QUALITATIVE RESEARCH IN FINANCIAL MARKETS	1755-4179	2.5	0.322
QUAL RES J	QUALITATIVE RESEARCH JOURNAL	1443-9883	1.4	0.684
QUAL RES ORGAN MANAG	QUALITATIVE RESEARCH IN ORGANIZATIONS AND MANAGEMENT	1746-5648	1.8	0.656
QUAL RES PSYCHOL	QUALITATIVE RESEARCH IN PSYCHOLOGY	1478-0887	4.4	27.379
QUAL RES SPORT EXERC	QUALITATIVE RESEARCH IN SPORT EXERCISE AND HEALTH	2159-676X	3.2	4.395
QUAL SOC WORK	QUALITATIVE SOCIAL WORK	1473-3250	1.6	0.614
QUAL SOCIOL	QUALITATIVE SOCIOLOGY	0162-0436	2.1	1.847
QUAL TECHNOL QUANT M	QUALITY TECHNOLOGY AND QUANTITATIVE MANAGEMENT	1684-3703	3.0	0.548
QUAL THEOR DYN SYST	QUALITATIVE THEORY OF DYNAMICAL SYSTEMS	1575-5460	2.1	0.468
QUANT BIOL	QUANTITATIVE BIOLOGY	2095-4689	1.4	0.864
QUANT ECON	QUANTITATIVE ECONOMICS	1759-7323	2.2	4.326
QUANT FINANC	QUANTITATIVE FINANCE	1469-7688	1.4	0.847
QUANT FINANC ECON	QUANTITATIVE FINANCE AND ECONOMICS	2573-0134	2.5	0.274
QUANT IMAG MED SURG	QUANTITATIVE IMAGING IN MEDICINE AND SURGERY	2223-4292	2.3	0.62
QUANT INFR THERM J	QUANTITATIVE INFRARED THERMOGRAPHY JOURNAL	1768-6733	4.9	0.475
QUANT MACH INTELL	QUANTUM MACHINE INTELLIGENCE	2524-4906	4.4	1.197
QUANT METH PSYCHOL	QUANTITATIVE METHODS FOR PSYCHOLOGY	1913-4126	1.3	1.085
QUANT PLANT BIOL	QUANTITATIVE PLANT BIOLOGY	N/A	2.5	0.782
QUANT SCI STUD	QUANTITATIVE SCIENCE STUDIES	N/A	3.5	1.83
QUANTUM BEAM SCI	QUANTUM BEAM SCIENCE	N/A	1.7	0.341
QUANTUM INF COMPUT	QUANTUM INFORMATION & COMPUTATION	1533-7146	0.8	0.28
QUANTUM INF PROCESS	QUANTUM INFORMATION PROCESSING	1570-0755	2.2	0.438
QUANTUM REP	QUANTUM REPORTS	N/A	1.3	0.0
QUANTUM SCI TECHNOL	QUANTUM SCIENCE AND TECHNOLOGY	2058-9565	5.0	2.181
QUANTUM STUD-MATH FD	QUANTUM STUDIES-MATHEMATICS AND FOUNDATIONS	2196-5609	1.0	0.338
QUANTUM TOPOL	QUANTUM TOPOLOGY	1663-487X	0.7	1.176
QUANTUM-AUSTRIA	QUANTUM	2521-327X	5.4	2.416
QUAT GEOCHRONOL	QUATERNARY GEOCHRONOLOGY	1871-1014	2.5	0.722
QUAT SCI ADV	QUATERNARY SCIENCE ADVANCES	2666-0334	2.2	0.607
QUATERN INT	QUATERNARY INTERNATIONAL	1040-6182	1.8	0.583
QUATERNAIRE	QUATERNAIRE	1142-2904	0.7	0.187
QUATERNARY	QUATERNARY	2571-550X	2.1	0.706
QUATERNARY RES	QUATERNARY RESEARCH	0033-5894	1.8	0.64
QUATERNARY SCI REV	QUATERNARY SCIENCE REVIEWS	0277-3791	3.3	1.12
QUEEN MARY J INTELLE	QUEEN MARY JOURNAL OF INTELLECTUAL PROPERTY	2045-9807	0.4	0.105
QUEENS LAW J	QUEENS LAW JOURNAL	0316-778X	0.1	0.148
QUEENS QUART	QUEENS QUARTERLY	0033-6041	0.0	0.014
QUEST	QUEST	0033-6297	1.7	0.565
QUESTION	QUESTION	1669-6581	0.1	0.047
QUEST-ISS CONTEMP JE	QUEST-ISSUES IN CONTEMPORARY JEWISH HISTORY	2037-741X	0.1	0.141
QUETES LITTERAIRES	QUETES LITTERAIRES	2084-8099	0.0	0.025
QUEUEING SYST	QUEUEING SYSTEMS	0257-0130	0.7	0.496
QUIM NOVA	QUIMICA NOVA	0100-4042	0.7	0.114
QUINTANA	QUINTANA-REVISTA DO DEPARTAMENTO DE HISTORIA DA ARTE	1579-7414	0.1	0.079
QUINTESSENCE INT	QUINTESSENCE INTERNATIONAL	0033-6572	1.5	0.41
QUIROGA	QUIROGA-REVISTA DE PATRIMONIO IBEROAMERICANO	2254-7037	0.1	0.038
QWERTY	QWERTY	1828-7344	1.0	0.175
R HUMANIDAD	REVISTA HUMANIDADES	2215-2253	0.2	0.066
R J	R JOURNAL	2073-4859	1.1	1.313
R MICROPALEONTOL	REVUE DE MICROPALEONTOLOGIE	0035-1598	1.0	0.27
R&D MANAGE	R & D MANAGEMENT	0033-6807	5.7	1.231
RABELS Z AUSL INT PR	RABELS ZEITSCHRIFT FUR AUSLANDISCHES UND INTERNATIONALES PRIVATRECHT	0033-7250	0.6	0.177
RACAR	RACAR-REVUE D ART CANADIENNE-CANADIAN ART REVIEW	0315-9906	0.2	0.059
RACE CLASS	RACE & CLASS	0306-3968	2.8	1.734
RACE ETHNIC EDUC-UK	RACE ETHNICITY AND EDUCATION	1361-3324	2.0	1.409
RACE JUSTICE	RACE AND JUSTICE	2153-3687	2.3	0.805
RACE SOC PROBL	RACE AND SOCIAL PROBLEMS	1867-1748	1.4	1.42
RACSAM REV R ACAD A	REVISTA DE LA REAL ACADEMIA DE CIENCIAS EXACTAS FISICAS Y NATURALES SERIE A-MATEMATICAS	1578-7303	1.6	0.625
RAD HRVAT AKAD ZNAN	RAD HRVATSKE AKADEMIJE ZNANOSTI I UMJETNOSTI-MATEMATICKE ZNANOSTI	1849-2215	0.3	0.094
RAD ZAVODA POVIJ ZNA	RADOVI ZAVODA ZA POVIJESNE ZNANOSTI HAZU U ZADRU	1330-0474	0.0	0.129
RADIAT DETECT TECHNO	RADIATION DETECTION TECHNOLOGY AND METHODS	2509-9930	2.0	0.602
RADIAT EFF DEFECT S	RADIATION EFFECTS AND DEFECTS IN SOLIDS	1042-0150	1.3	0.168
RADIAT ENVIRON BIOPH	RADIATION AND ENVIRONMENTAL BIOPHYSICS	0301-634X	2.3	0.427
RADIAT MEAS	RADIATION MEASUREMENTS	1350-4487	2.2	0.339
RADIAT ONCOL	RADIATION ONCOLOGY	N/A	3.2	1.01
RADIAT ONCOL J	RADIATION ONCOLOGY JOURNAL	2234-3156	2.2	0.63
RADIAT PHYS CHEM	RADIATION PHYSICS AND CHEMISTRY	0969-806X	3.3	0.425
RADIAT PROT DOSIM	RADIATION PROTECTION DOSIMETRY	0144-8420	0.7	0.179
RADIAT RES	RADIATION RESEARCH	0033-7587	2.7	0.724
RADIC TEACH	RADICAL TEACHER	1941-0832	0.2	0.16
RADICAL HIST REV	RADICAL HISTORY REVIEW	0163-6545	0.9	0.549
RADICAL PHILOS	RADICAL PHILOSOPHY	0300-211X	1.0	1.54
RADIO ELECTRON COMPU	RADIO ELECTRONICS COMPUTER SCIENCE CONTROL	1607-3274	0.3	0.024
RADIO SCI	RADIO SCIENCE	0048-6604	1.5	0.417
RADIOCARBON	RADIOCARBON	0033-8222	1.3	1.746
RADIOCHEMISTRY+	RADIOCHEMISTRY	1066-3622	1.0	0.127
RADIOCHIM ACTA	RADIOCHIMICA ACTA	0033-8230	1.7	0.29
RADIOENGINEERING	RADIOENGINEERING	1210-2512	0.7	0.137
RADIOGRAPHICS	RADIOGRAPHICS	0271-5333	5.5	2.012
RADIOGRAPHY	RADIOGRAPHY	1078-8174	2.8	0.412
RADIOL CLIN N AM	RADIOLOGIC CLINICS OF NORTH AMERICA	0033-8389	1.9	0.544
RADIOL MED	RADIOLOGIA MEDICA	0033-8362	4.8	0.869
RADIOL ONCOL	RADIOLOGY AND ONCOLOGY	1318-2099	2.2	0.663
RADIOL PHYS TECHNOL	RADIOLOGICAL PHYSICS AND TECHNOLOGY	1865-0333	1.5	0.369
RADIOL RES PRACT	RADIOLOGY RESEARCH AND PRACTICE	2090-1941	1.5	0.5
RADIOL TECHNOL	RADIOLOGIC TECHNOLOGY	0033-8397	0.5	0.203
RADIOL-ARTIF INTELL	RADIOLOGY-ARTIFICIAL INTELLIGENCE	2638-6100	13.2	4.104
RADIOL-CARDIOTHORAC	RADIOLOGY-CARDIOTHORACIC IMAGING	2638-6135	4.2	1.403
RADIOL-IMAG CANCER	RADIOLOGY-IMAGING CANCER	2638-616X	6.3	1.652
RADIOLOGIA-MADRID	RADIOLOGIA	0033-8338	1.1	0.217
RADIOLOGIE	RADIOLOGIE	2731-7048	0.6	0.12
RADIOLOGY	RADIOLOGY	0033-8419	15.2	4.247
RADIOPHYS QUANT EL+	RADIOPHYSICS AND QUANTUM ELECTRONICS	0033-8443	0.7	0.134
RADIOPROTECTION	RADIOPROTECTION	0033-8451	1.8	0.127
RADIOTHER ONCOL	RADIOTHERAPY AND ONCOLOGY	0167-8140	5.3	1.559
RADOVI I POVIJEST UM	RADOVI INSTITUTA ZA POVIJEST UMJETNOSTI-JOURNAL OF THE INSTITUTE OF ART HISTORY	0350-3437	0.1	0.076
RADOVI-ZAVODA HRVATS	RADOVI-ZAVODA ZA HRVATSKU POVIJEST	0353-295X	0.1	0.146
RAEL-REV ELECTR LING	RAEL-REVISTA ELECTRONICA DE LINGUISTICA APLICADA	1885-9089	0.3	0.182
RAE-REV ADMIN EMPRES	RAE-REVISTA DE ADMINISTRACAO DE EMPRESAS	0034-7590	0.6	0.19
RAFFLES B ZOOL	RAFFLES BULLETIN OF ZOOLOGY	0217-2445	1.0	0.3
RAGION PRAT	RAGION PRATICA	1720-2396	0.2	0.089
RAILWAY ENG SCI	RAILWAY ENGINEERING SCIENCE	2662-4745	5.4	1.167
RAIRO-OPER RES	RAIRO-OPERATIONS RESEARCH	0399-0559	2.1	0.302
RAIRO-THEOR INF APPL	RAIRO-THEORETICAL INFORMATICS AND APPLICATIONS	0988-3754	0.5	0.125
RAMANUJAN J	RAMANUJAN JOURNAL	1382-4090	0.7	0.526
RAMBAM MAIMONIDES ME	RAMBAM MAIMONIDES MEDICAL JOURNAL	2076-9172	1.3	0.399
RAND J ECON	RAND JOURNAL OF ECONOMICS	0741-6261	2.8	3.565
RANDOM MATRICES-THEO	RANDOM MATRICES-THEORY AND APPLICATIONS	2010-3263	0.6	0.512
RANDOM OPERATORS STO	RANDOM OPERATORS AND STOCHASTIC EQUATIONS	0926-6364	0.3	0.078
RANDOM STRUCT ALGOR	RANDOM STRUCTURES & ALGORITHMS	1042-9832	0.8	0.959
RANGE MANAG AGROFOR	RANGE MANAGEMENT AND AGROFORESTRY	0971-2070	0.4	0.051
RANGELAND ECOL MANAG	RANGELAND ECOLOGY & MANAGEMENT	1550-7424	2.4	0.498
RANGELAND J	RANGELAND JOURNAL	1036-9872	0.9	0.253
RAPID COMMUN MASS SP	RAPID COMMUNICATIONS IN MASS SPECTROMETRY	0951-4198	1.7	0.384
RAPID PROTOTYPING J	RAPID PROTOTYPING JOURNAL	1355-2546	3.6	0.556
RARE METAL MAT ENG	RARE METAL MATERIALS AND ENGINEERING	1002-185X	0.9	0.06
RARE METALS	RARE METALS	1001-0521	11.0	1.164
RARE TUMORS	RARE TUMORS	2036-3605	0.9	0.264
RA-REV ARQUIT	RA-REVISTA DE ARQUITECTURA	1138-5596	0.4	0.269
RARITAN	RARITAN-A QUARTERLY REVIEW	0275-1607	0.1	0.039
RASPRAVE	RASPRAVE	1331-6745	0.2	0.096
RASP-RES AGEING SOC	RASP-RESEARCH ON AGEING AND SOCIAL POLICY	2014-671X	0.8	0.254
RASS LETT ITAL	RASSEGNA DELLA LETTERATURA ITALIANA	0033-9423	0.0	0.044
RATIO	RATIO	0034-0006	0.4	0.454
RATIO JURIS	RATIO JURIS	1794-6638	0.5	0.245
RATION PHARMACOTHER	RATIONAL PHARMACOTHERAPY IN CARDIOLOGY	1819-6446	0.3	0.024
RATION SOC	RATIONALITY AND SOCIETY	1043-4631	1.3	0.433
RAUMFORSCH RAUMORDN	RAUMFORSCHUNG UND RAUMORDNUNG-SPATIAL RESEARCH AND PLANNING	0034-0111	1.0	0.278
RAUSP MANAG J	RAUSP MANAGEMENT JOURNAL	2531-0488	2.2	0.553
RAWAL MED J	RAWAL MEDICAL JOURNAL	0303-5212	0.2	0.04
RAZON HIST	RAZON HISTORICA-REVISTA HISPANOAMERICANA DE HISTORIA DE LAS IDEAS	1989-2659	0.0	0.006
RBGN-REV BRAS GEST N	RBGN-REVISTA BRASILEIRA DE GESTAO DE NEGOCIOS	1806-4892	0.8	0.206
