Rank,Full Journal Title,JCR Abbreviated Title,ISSN,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Average Journal Impact Factor Percentile,Normalized Eigenfactor
12139,Targeted Oncology,TARGET ONCOL,1776-2596,"1,391",4.036,3.957,3.463,0.897,68,3.3,4.2,0.00319,0.814,72.06,64.139,0.38987
12140,TAXON,TAXON,0040-0262,"4,890",2.817,2.665,2.505,0.419,62,11.4,15.3,0.00504,0.878,100,66.855,0.61513
12141,Teacher Education and Special Education,TEACH EDUC SPEC EDUC,0888-4064,658,1.841,1.614,1.897,0.762,21,9,10,0.00063,0.47,95.24,61.027,0.07747
12142,Teachers and Teaching,TEACH TEACH,1354-0602,"1,815",2.345,2.127,2.958,0.196,56,7.2,10.1,0.00214,0.642,100,79.278,0.26221
12143,TEACHERS COLLEGE RECORD,TEACH COLL REC,0161-4681,"4,353",0.97,0.957,1.583,0.488,86,10.8,10.3,0.00392,0.579,100,22.243,0.47912
12144,TEACHING AND LEARNING IN MEDICINE,TEACH LEARN MED,1040-1334,"1,448",1.848,1.717,2.031,0.389,54,7.9,8.7,0.00237,0.73,100,48.99,0.29027
12145,TEACHING AND TEACHER EDUCATION,TEACH TEACH EDUC,0742-051X,"10,163",2.686,2.337,3.591,0.405,232,9.3,10,0.00857,0.806,97.84,85.741,1.04629
12146,TEACHING IN HIGHER EDUCATION,TEACH HIGH EDUC,1356-2517,"2,175",2.136,1.92,2.107,0.778,63,8.3,9.7,0.00198,0.466,98.41,70.913,0.24174
12147,TEACHING OF PSYCHOLOGY,TEACH PSYCHOL,0098-6283,"1,201",1.053,0.872,1.199,0.089,45,10.3,9.5,0.00085,0.266,100,30.75,0.10471
12148,TEACHING SOCIOLOGY,TEACH SOCIOL,0092-055X,808,1.017,0.237,1.391,0.304,23,11.5,9.4,0.0002,0.128,100,29.906,0.02514
12149,TECHNICAL PHYSICS,TECH PHYS+,1063-7842,"2,857",0.603,0.469,0.563,0.134,307,9.6,11.7,0.00232,0.116,99.02,3.571,0.28357
12150,TECHNICAL PHYSICS LETTERS,TECH PHYS LETT+,1063-7850,"2,548",0.791,0.633,0.638,0.184,342,7.2,7.6,0.00282,0.136,100,10.714,0.34508
12151,Techniques in Coloproctology,TECH COLOPROCTOL,1123-6337,"2,312",2.721,2.206,2.565,0.568,132,5.1,6.8,0.00427,0.624,84.09,53.163,0.52114
12152,Technological and Economic Development of Economy,TECHNOL ECON DEV ECO,2029-4913,"1,519",2.194,2,2.786,1.617,60,5.1,7.1,0.00127,0.354,96.67,73.72,0.15553
12153,TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE,TECHNOL FORECAST SOC,0040-1625,"13,607",5.846,4.961,5.179,1.804,428,4.5,8.5,0.0162,0.863,97.9,93.931,1.97728
12154,TECHNOLOGY ANALYSIS & STRATEGIC MANAGEMENT,TECHNOL ANAL STRATEG,0953-7325,"2,567",1.867,1.59,2.105,0.539,102,8.8,10,0.00146,0.284,99.02,30.752,0.17835
12155,TECHNOLOGY AND CULTURE,TECHNOL CULT,0040-165X,808,0.791,0.731,0.753,0.152,46,18,21.1,0.00046,0.222,95.65,51.91,0.05666
12157,TECHNOLOGY AND HEALTH CARE,TECHNOL HEALTH CARE,0928-7329,"1,105",0.806,0.778,0.827,0.33,97,4.7,9.1,0.00177,0.182,100,4.302,0.21667
12158,TECHNOLOGY IN CANCER RESEARCH & TREATMENT,TECHNOL CANCER RES T,1533-0346,"2,116",2.074,2.013,1.87,0.394,165,5.4,5.9,0.00278,0.388,92.12,19.877,0.33974
12159,TECHNOLOGY IN SOCIETY,TECHNOL SOC,0160-791X,"1,549",2.414,2.009,Not Available,0.495,105,8.2,8.4,0.00135,Not Available,99.05,80.177,0.16473
12160,Technology Pedagogy and Education,TECHNOL PEDAGOG EDUC,1475-939X,487,1.481,1.405,1.546,0.133,30,5.3,9.4,0.00062,0.286,96.67,42.776,0.07675
12161,TECHNOMETRICS,TECHNOMETRICS,0040-1706,"8,759",2.091,1.864,2.408,0.447,38,32.4,10.2,0.00359,1.248,100,77.823,0.43836
12162,TECHNOVATION,TECHNOVATION,0166-4972,"6,562",5.729,5.305,6.925,1.114,35,10.5,11,0.00301,1.127,100,95.629,0.36794
12164,Tecnologia y Ciencias del Agua,TECNOL CIENC AGUA,0187-8336,200,0.289,0.227,0.421,0.045,67,4.5,10.9,0.00016,0.041,98.51,3.009,0.02048
12165,TECTONICS,TECTONICS,0278-7407,"12,371",3.543,3.114,4.472,0.844,180,12.2,13,0.01421,1.563,98.89,79.412,1.73368
12166,TECTONOPHYSICS,TECTONOPHYSICS,0040-1951,"29,485",3.048,2.796,3.318,0.841,252,14.2,13.5,0.02551,1.105,97.62,64.118,3.11233
12167,Tehnicki Vjesnik-Technical Gazette,TEH VJESN,1330-3651,"1,199",0.67,0.592,0.683,0.087,254,3.8,7.3,0.00143,0.089,95.28,12.637,0.17493
12168,Teknik Dergi,TEK DERGI,1300-3453,47,0.093,0.093,0.148,0.05,40,Not Available,12.4,0.00003,0.028,100,0.373,0.00463
12169,Tekstil ve Konfeksiyon,TEKST KONFEKSIYON,1300-3356,202,0.215,0.172,0.333,0,39,6.7,8.8,0.00015,0.047,100,6.25,0.01854
12170,TELECOMMUNICATION SYSTEMS,TELECOMMUN SYST,1018-4864,"1,726",1.734,1.485,1.411,0.675,123,4.2,5.7,0.00162,0.193,90.24,32.778,0.19836
12171,TELECOMMUNICATIONS POLICY,TELECOMMUN POLICY,0308-5961,"2,016",2.224,1.846,2.563,0.411,73,6.2,7.7,0.00204,0.44,100,59.621,0.24934
12173,TELEMATICS AND INFORMATICS,TELEMAT INFORM,0736-5853,"3,190",4.139,3.853,4.454,0.969,98,2.9,6.5,0.00578,0.758,94.9,87.931,0.70573
12174,Telemedicine and e-Health,TELEMED E-HEALTH,1530-5627,"3,535",1.931,1.835,2.373,0.652,66,5.9,6.7,0.00583,0.62,86.36,41.667,0.71237
12175,Television & New Media,TELEV NEW MEDIA,1527-4764,775,0.835,0.784,1.601,1.519,54,5.1,6.4,0.00172,0.54,100,11.413,0.21034
12176,TELLUS SERIES A-DYNAMIC METEOROLOGY AND OCEANOGRAPHY,TELLUS A,****-****,"3,122",1.932,1.838,2.555,0.343,35,11.6,11,0.00322,1.034,100,42.534,0.39348
12177,TELLUS SERIES B-CHEMICAL AND PHYSICAL METEOROLOGY,TELLUS B,1600-0889,"3,445",2.279,2.233,2.814,0.765,17,12.5,10.2,0.00167,0.853,100,43.548,0.20489
12178,TELOPEA,TELOPEA,0312-9764,244,0.4,0.291,0.328,0.25,4,13,15,0.00026,0.105,75,4.915,0.03188
12179,Telos,TELOS-US,0090-6514,79,0.175,0.175,0.175,0,11,Not Available,16.2,0.00016,0.059,100,1.917,0.0202
12180,Tempo Social,TEMPO SOC,0103-2070,197,0.299,0.247,0.391,0.027,37,11.9,13.1,0.0001,0.049,100,4.333,0.01222
12181,TENSIDE SURFACTANTS DETERGENTS,TENSIDE SURFACT DET,0932-3414,568,1.089,0.831,0.955,0.164,61,5.2,11,0.00046,0.119,90.16,18.568,0.05711
12182,TERAPEVTICHESKII ARKHIV,TERAPEVT ARKH,0040-3660,688,0.409,0.281,0.337,0.058,226,5.3,6.9,0.00058,0.041,75.66,6.364,0.07147
12183,Terapia Psicologica,TER PSICOL,0718-4808,278,0.5,0.477,0.964,0,24,6.9,7.3,0.00023,0.167,87.5,4.962,0.02863
12184,Terminology,TERMINOLOGY,0929-9971,147,1.286,1.19,0.86,0.111,9,9.6,10.3,0.00023,0.37,100,64.973,0.0285
12185,TERRA NOVA,TERRA NOVA,0954-4879,"3,944",2.734,2.681,2.884,0.683,60,12.8,13.5,0.00324,0.997,100,63.75,0.39624
12186,TERRESTRIAL ATMOSPHERIC AND OCEANIC SCIENCES,TERR ATMOS OCEAN SCI,1017-0839,993,0.703,0.602,0.78,1.608,51,8.8,10.9,0.00089,0.213,100,7.292,0.10891
12187,Territory Politics Governance,TERRIT POLIT GOV,2162-2671,403,2.163,2.143,2.477,2.37,27,3.3,9.3,0.00131,0.954,96.3,64.167,0.16017
12188,TERRORISM AND POLITICAL VIOLENCE,TERROR POLIT VIOLENC,0954-6553,"1,404",1.792,1.733,2.013,0.594,64,9.2,9.9,0.00209,0.724,93.75,66.308,0.25537
12189,TESOL QUARTERLY,TESOL QUART,0039-8322,"4,093",2.071,1.881,3.392,0.51,49,15.5,9.2,0.00256,1.02,100,78.644,0.31261
12190,TEST,TEST-SPAIN,1133-0686,898,1.205,1.167,1.715,0.233,43,9.3,12.1,0.00291,1.291,100,53.629,0.35608
12191,TETRAHEDRON,TETRAHEDRON,0040-4020,"43,994",2.233,2.123,2.04,0.707,680,12.1,8.7,0.02394,0.39,99.71,51.754,2.92116
12192,TETRAHEDRON LETTERS,TETRAHEDRON LETT,0040-4039,"58,547",2.275,2.156,1.928,0.471,749,13.7,8.2,0.02909,0.347,100,53.509,3.54996
12193,TETSU TO HAGANE-JOURNAL OF THE IRON AND STEEL INSTITUTE OF JAPAN,TETSU TO HAGANE,0021-1575,"2,201",0.438,0.313,0.453,0.268,138,23.5,16.7,0.00075,0.106,97.83,10.759,0.09267
12194,TEXAS HEART INSTITUTE JOURNAL,TEX HEART I J,0730-2347,"1,891",1.023,1.008,0.887,0.243,37,9.2,9.8,0.00131,0.221,97.3,6.159,0.16014
12195,TEXAS LAW REVIEW,TEX LAW REV,0040-4411,"1,867",2.667,2.609,2.988,0.676,34,10.6,9.3,0.00284,1.304,97.06,91.234,0.3475
12196,Text & Talk,TEXT TALK,1860-7330,428,0.328,0.328,0.509,0.235,34,10,13.2,0.00036,0.173,100,9.781,0.04397
12197,TEXTILE RESEARCH JOURNAL,TEXT RES J,0040-5175,"8,535",1.926,1.43,2.022,0.573,433,11.2,8.7,0.00361,0.283,94.46,81.25,0.44143
12198,Thai Journal of Veterinary Medicine,THAI J VET MED,0125-6491,239,0.234,0.186,0.331,0,42,6,9.7,0.0003,0.067,100,7.394,0.03747
12199,THALASSAS,THALASSAS,0212-5919,198,0.657,0.507,0.709,0.305,82,5.7,14.3,0.00026,0.191,97.56,11.764,0.03239
12200,Theology and Science,THEOL SCI,1474-6700,105,0.453,0.187,Not Available,0.071,42,4.5,11,0.00004,Not Available,97.62,34.127,0.00493
12201,THEORETICAL AND APPLIED CLIMATOLOGY,THEOR APPL CLIMATOL,0177-798X,"9,928",2.882,2.475,3.143,1.024,573,5.7,9.6,0.01335,0.719,99.83,57.527,1.62878
12202,THEORETICAL AND APPLIED FRACTURE MECHANICS,THEOR APPL FRACT MEC,0167-8442,"3,338",3.021,2.499,3.204,0.776,254,4,10.5,0.00477,0.575,100,75.551,0.58289
12203,THEORETICAL AND APPLIED GENETICS,THEOR APPL GENET,0040-5752,"21,335",4.439,3.63,4.603,1.186,236,12.9,8.2,0.01412,1.167,89.41,90.98,1.72331
12204,THEORETICAL AND COMPUTATIONAL FLUID DYNAMICS,THEOR COMP FLUID DYN,0935-4964,"1,324",1.675,1.636,1.719,0.276,29,12.7,13.1,0.0013,0.603,100,39.89,0.15883
12205,Theoretical and Experimental Chemistry,THEOR EXP CHEM+,0040-5760,457,0.484,0.385,0.574,0.222,36,10.6,7.8,0.00023,0.078,86.11,6.497,0.02855
12206,Theoretical and Experimental Plant Physiology,THEOR EXP PLANT PHYS,2197-0025,265,1.245,1.224,1.5,0.257,35,4.4,8.7,0.00046,0.305,91.43,39.957,0.05728
12207,THEORETICAL AND MATHEMATICAL PHYSICS,THEOR MATH PHYS+,0040-5779,"2,516",0.854,0.735,0.707,0.176,125,21,14.9,0.00214,0.263,99.2,20.428,0.26207
12208,Theoretical Biology and Medical Modelling,THEOR BIOL MED MODEL,****-****,812,1.68,1.54,1.845,0.35,20,7.7,9.1,0.00119,0.612,95,43.22,0.14614
12209,Theoretical Biology Forum,THEOR BIOL FORUM,2282-2593,19,0.167,0.167,0.244,Not Available,0,Not Available,Not Available,0.00002,0.041,Not Available,1.613,0.00261
12210,THEORETICAL CHEMISTRY ACCOUNTS,THEOR CHEM ACC,1432-881X,"7,334",1.498,1.428,1.405,0.539,128,11.5,11.6,0.00348,0.317,99.22,16.038,0.42536
12211,THEORETICAL COMPUTER SCIENCE,THEOR COMPUT SCI,0304-3975,"7,846",0.747,0.599,0.895,0.223,458,12.4,11.4,0.01187,0.459,100,21.759,1.44901
12212,THEORETICAL CRIMINOLOGY,THEOR CRIMINOL,1362-4806,"1,434",2.818,2.545,2.885,0.964,28,9.5,8.8,0.00175,1,100,89.13,0.21416
12213,Theoretical Ecology,THEOR ECOL-NETH,1874-1738,685,1.099,1.056,1.534,0.5,38,6.5,13.5,0.00129,0.577,100,21.131,0.15809
12214,Theoretical Economics,THEOR ECON,1933-6837,680,1.631,1.548,2.074,0.275,40,5.6,16.5,0.00797,3.61,100,60.243,0.97311
12215,THEORETICAL FOUNDATIONS OF CHEMICAL ENGINEERING,THEOR FOUND CHEM EN+,0040-5795,908,0.557,0.351,0.623,0.068,133,6.8,10.4,0.00055,0.068,99.25,9.441,0.06777
12216,THEORETICAL LINGUISTICS,THEOR LINGUIST,0301-4428,458,5.75,5.5,3.571,0.083,12,11.8,11.6,0.0004,1.134,100,99.733,0.04889
12217,THEORETICAL MEDICINE AND BIOETHICS,THEOR MED BIOETH,1386-7415,643,0.942,0.865,1.147,1.179,28,9.8,11.3,0.00053,0.329,100,25.53,0.06529
12218,THEORETICAL POPULATION BIOLOGY,THEOR POPUL BIOL,0040-5809,"3,776",1.454,1.33,1.648,0.298,57,20.3,13.3,0.00235,0.715,100,26.629,0.28762
12219,THEORY & PSYCHOLOGY,THEOR PSYCHOL,0959-3543,"1,143",1.309,1.191,1.134,0.756,45,10.2,14.2,0.00095,0.336,95.56,44.565,0.11598
12220,Theory and Applications of Categories,THEOR APPL CATEG,1201-561X,408,0.409,0.318,0.498,0.174,46,10.1,16.3,0.00124,0.465,100,4.839,0.15241
12221,THEORY AND DECISION,THEOR DECIS,0040-5833,"1,124",0.798,0.711,0.902,0.205,44,12.1,13.7,0.00249,0.645,100,23.913,0.30394
12222,THEORY AND PRACTICE OF LOGIC PROGRAMMING,THEOR PRACT LOG PROG,1471-0684,534,1.076,0.608,1.29,0.128,47,6.1,8.9,0.00115,0.457,100,49.78,0.14085
12223,THEORY AND RESEARCH IN SOCIAL EDUCATION,THEOR RES SOC EDUC,0093-3104,663,2.531,2.063,Not Available,0.333,15,8.3,10.5,0.0007,Not Available,100,82.7,0.08646
12224,THEORY AND SOCIETY,THEOR SOC,0304-2421,"2,761",2.04,1.8,2.932,0.235,34,18.2,15,0.00215,1.461,100,75,0.26333
12225,THEORY CULTURE & SOCIETY,THEOR CULT SOC,0263-2764,"4,293",2.81,2.733,3.024,0.942,52,11.5,11.1,0.00417,1.128,98.08,98.889,0.50896
12226,THEORY IN BIOSCIENCES,THEOR BIOSCI,1431-7613,542,1.303,0.97,1.468,0.286,21,7.6,18.7,0.00039,0.41,100,27.383,0.04868
12227,THEORY INTO PRACTICE,THEOR PRACT,0040-5841,"3,115",1.432,1.405,1.978,0.189,37,17.3,9.1,0.00112,0.49,100,40.114,0.13665
12228,Theory of Computing,THEOR COMPUT,1557-2862,426,1.098,1.024,Not Available,0.421,19,11.9,11.7,0.00073,Not Available,100,35.648,0.08982
12229,THEORY OF COMPUTING SYSTEMS,THEOR COMPUT SYST,1432-4350,668,0.497,0.464,0.562,0.25,68,8.5,12,0.00197,0.44,100,10.802,0.24128
12230,THEORY OF PROBABILITY AND ITS APPLICATIONS,THEOR PROBAB APPL+,0040-585X,"1,591",0.485,0.359,0.463,0.269,52,40.9,17.2,0.00084,0.28,100,2.016,0.10359
12231,Theranostics,THERANOSTICS,1838-7640,"12,995",8.579,8.075,9.108,1.273,554,2.7,5.7,0.02974,2.005,88.81,93.116,3.62899
12232,Therapeutic Advances in Chronic Disease,THER ADV CHRONIC DIS,2040-6223,721,4.257,4.257,Not Available,0.382,55,4.4,6,0.0017,Not Available,60,81.296,0.20741
12233,Therapeutic Advances in Drug Safety,THER ADV DRUG SAF,2042-0986,868,3.463,3.163,Not Available,0.391,46,5,7.2,0.00208,Not Available,63.04,68.333,0.25479
12234,Therapeutic Advances in Endocrinology and Metabolism,THER ADV ENDOCRINOL,2042-0188,585,2.173,2.154,Not Available,0.3,50,4.7,5.3,0.00093,Not Available,52,23.427,0.11428
12235,Therapeutic Advances in Gastroenterology,THER ADV GASTROENTER,1756-283X,"1,740",3.52,3.473,3.734,0.602,93,3.9,5.5,0.00346,0.988,63.44,55.114,0.42307
12236,Therapeutic Advances in Hematology,THER ADV HEMATOL,2040-6207,679,3.456,3.351,Not Available,1.294,34,4,4.9,0.0015,Not Available,14.71,67.763,0.18347
12237,Therapeutic Advances in Medical Oncology,THER ADV MED ONCOL,1758-8340,"1,894",6.852,6.73,6.66,0.777,112,3.1,5.4,0.00426,1.615,58.93,86.27,0.52003
12238,Therapeutic Advances in Musculoskeletal Disease,THER ADV MUSCULOSKEL,1759-720X,947,5.043,4.936,Not Available,0.29,31,6.1,5.9,0.00151,Not Available,48.39,85.938,0.18444
12239,Therapeutic Advances in Neurological Disorders,THER ADV NEUROL DISO,1756-2856,"1,421",5,4.893,4.281,0.696,69,4.1,6.5,0.00296,1.179,63.77,86.52,0.36142
12240,Therapeutic Advances in Psychopharmacology,THER ADV PSYCHOPHARM,2045-1253,621,3,2.981,Not Available,0.308,26,4.8,7.6,0.00123,Not Available,34.62,61.036,0.1504
12241,Therapeutic Advances in Respiratory Disease,THER ADV RESPIR DIS,1753-4658,794,3.095,3,2.863,0.283,60,4,5.5,0.00141,0.666,56.67,63.281,0.17238
12242,Therapeutic Advances in Urology,THER ADV UROL,1756-2872,672,1.918,1.863,Not Available,0.422,64,4.6,6.6,0.00121,Not Available,53.13,41.765,0.14806
12243,THERAPEUTIC APHERESIS AND DIALYSIS,THER APHER DIAL,1744-9979,"1,488",1.041,0.912,1.324,0.373,67,7.8,9.3,0.0017,0.337,86.57,11.041,0.208
12244,THERAPEUTIC DRUG MONITORING,THER DRUG MONIT,0163-4356,"3,852",2.073,1.822,2.136,0.652,89,10,7,0.00379,0.559,82.02,35.243,0.46262
12245,Therapeutic Hypothermia and Temperature Management,THER HYPOTHERMIA TEM,2153-7658,204,1.176,0.838,1.071,0.353,17,3.6,6.4,0.00067,0.377,94.12,9.722,0.08188
12246,Therapeutic Innovation & Regulatory Science,THER INNOV REGUL SCI,2168-4790,481,0.92,0.863,0.852,0.584,89,3.3,5.8,0.00179,0.306,77.53,4.907,0.21932
12247,Therapeutics and Clinical Risk Management,THER CLIN RISK MANAG,****-****,"3,223",1.888,1.866,2.081,0.304,148,4.7,6.5,0.00619,0.508,65.54,37.745,0.75529
12248,THERAPIE,THERAPIE,0040-5957,806,1.76,1.115,1.502,0.493,69,5.4,6.1,0.00061,0.189,95.65,20.556,0.0747
12249,THERIOGENOLOGY,THERIOGENOLOGY,0093-691X,"16,851",2.094,1.763,2.288,0.73,433,10.1,11.3,0.01266,0.477,99.54,57.4,1.54556
12250,Thermal Science,THERM SCI,0354-9836,"3,590",1.574,1.204,1.475,0.257,571,3.5,7.8,0.00424,0.192,98.77,31.967,0.51791
12251,THERMOCHIMICA ACTA,THERMOCHIM ACTA,0040-6031,"17,789",2.762,2.505,2.688,0.633,256,11.8,9.3,0.0083,0.453,90.63,59.299,1.01266
12252,Thermophysics and Aeromechanics,THERMOPHYS AEROMECH+,0869-8643,519,0.423,0.258,0.63,0.057,70,5.5,12.9,0.00054,0.098,100,2.968,0.06608
12253,THIN SOLID FILMS,THIN SOLID FILMS,0040-6090,"38,980",2.03,1.905,1.884,0.462,647,11.5,8.8,0.0179,0.329,98.61,42.934,2.18388
12254,THIN-WALLED STRUCTURES,THIN WALL STRUCT,0263-8231,"12,930",4.033,3.073,4.108,1.005,578,4.8,7.4,0.01624,0.73,97.58,87.594,1.98136
12255,THINKING & REASONING,THINK REASONING,1354-6783,749,2.125,1.975,2.66,0.571,21,7.7,11,0.00134,1.008,90.48,56.897,0.16452
12256,Thinking Skills and Creativity,THINK SKILLS CREAT,1871-1871,"1,140",2.068,1.727,2.247,0.311,74,5.2,10.4,0.00152,0.434,98.65,67.871,0.18633
12257,THIRD WORLD QUARTERLY,THIRD WORLD Q,0143-6597,"4,169",1.754,1.67,2.219,0.425,113,7.9,8.7,0.00665,0.818,100,52.439,0.81152
12258,THORACIC AND CARDIOVASCULAR SURGEON,THORAC CARDIOV SURG,0171-6425,"1,812",1.209,1.151,1.216,0.57,107,7.7,8.6,0.00244,0.34,97.2,13.469,0.29804
12259,Thoracic Cancer,THORAC CANCER,1759-7706,"1,726",2.61,2.446,2.402,0.649,265,2.5,5.8,0.00359,0.475,95.09,38.762,0.43899
12260,Thoracic Surgery Clinics,THORAC SURG CLIN,1547-4127,913,1.282,1.245,1.778,0.563,48,5.8,9,0.00155,0.481,100,16.559,0.19031
12261,THORAX,THORAX,0040-6376,"21,856",8.834,8.417,8.937,2.322,146,10,6.5,0.02708,3.207,85.62,92.969,3.30492
12262,THROMBOSIS AND HAEMOSTASIS,THROMB HAEMOSTASIS,0340-6245,"15,589",4.379,3.949,4.141,1.188,192,9.4,7.4,0.02057,1.356,91.67,81.068,2.51071
12263,Thrombosis Journal,THROMB J,1477-9560,773,2.295,2.262,Not Available,0.571,21,4.6,7.7,0.00189,Not Available,52.38,41.442,0.2313
12264,THROMBOSIS RESEARCH,THROMB RES,0049-3848,"10,616",2.869,2.685,2.621,0.732,246,7.2,7.8,0.01741,0.836,82.52,55.602,2.12462
12265,THYROID,THYROID,1050-7256,"12,453",5.227,4.797,6.29,1.291,182,6.3,7.4,0.02039,1.761,92.86,83.566,2.48759
12266,Ticks and Tick-Borne Diseases,TICKS TICK-BORNE DIS,1877-959X,"3,212",2.749,2.193,2.896,0.989,180,3.8,8.8,0.00741,0.716,95,55,0.9044
12267,TIDSSKRIFT FOR SAMFUNNSFORSKNING,TIDSSKR SAMFUNNSFOR,0040-716X,57,0.222,0.111,0.213,0.083,12,Not Available,9.6,0.00007,0.07,100,6.019,0.00858
12268,TIERAERZTLICHE UMSCHAU,TIERAERZTL UMSCHAU,0049-3864,138,0.154,0.09,0.122,0.022,45,18,9.3,0.00007,0.025,100,3.873,0.00938
12269,TIERARZTLICHE PRAXIS,TIERAERZTL PRAX,0303-6286,588,0.388,0.331,0.466,0.09,78,8.3,12.7,0.00072,0.127,92.31,16.549,0.08867
12270,Tijdschrift voor Communicatiewetenschap,TIJDSCHR COMMUNWET,1384-6930,36,0.083,0.083,0.223,0.071,14,Not Available,7.7,0.0001,0.086,100,0.543,0.0124
12271,TIJDSCHRIFT VOOR DIERGENEESKUNDE,TIJDSCHR DIERGENEESK,0040-7453,154,0,0,0,0,20,26,Not Available,0,0,100,0.352,0
12272,TIJDSCHRIFT VOOR ECONOMISCHE EN SOCIALE GEOGRAFIE,TIJDSCHR ECON SOC GE,0040-747X,"1,259",1.146,1.073,1.281,0.395,38,11.2,9.4,0.00088,0.297,97.37,30.891,0.10747
12273,Tijdschrift voor Rechtsgeschiedenis-Revue d Histoire du Droit-The Legal History Review,TIJDSCHR RECHTSGESCH,0040-7585,77,0.206,0.176,0.163,0.045,22,Not Available,42.4,0,0.009,95.45,8.659,0.00108
12274,TIME & SOCIETY,TIME SOC,0961-463X,839,1.108,0.838,1.935,0.766,77,10.2,13.3,0.00064,0.481,96.1,43.981,0.07922
12275,TISSUE & CELL,TISSUE CELL,0040-8166,"2,133",1.837,1.781,1.558,0.476,82,12.6,8.6,0.0016,0.325,90.24,37.839,0.19605
12276,Tissue Engineering and Regenerative Medicine,TISSUE ENG REGEN MED,1738-2696,761,2.374,2,1.571,0.719,57,3.1,7.3,0.00123,0.274,77.19,33.908,0.15126
12277,Tissue Engineering Part A,TISSUE ENG PT A,1937-3341,"9,005",3.496,3.385,3.428,1.071,98,7.1,7.7,0.00998,0.766,100,55.601,1.21811
12278,Tissue Engineering Part B-Reviews,TISSUE ENG PART B-RE,1937-3368,"3,603",5.724,5.701,6.873,0.786,28,6.6,7.5,0.00419,1.511,53.57,79.781,0.51208
12279,Tissue Engineering Part C-Methods,TISSUE ENG PART C-ME,1937-3384,"3,145",2.608,2.548,2.87,0.343,70,6.3,7.5,0.00412,0.652,98.57,36.943,0.50344
12280,tm-Technisches Messen,TM-TECH MESS,0171-8096,336,0.58,0.358,0.499,0.15,100,4.3,7.2,0.00026,0.051,97,5.469,0.03217
12281,TOBACCO CONTROL,TOB CONTROL,0964-4563,"9,207",6.726,5.873,6.348,3.923,143,5.5,5.4,0.01858,2.048,95.1,96.729,2.26796
12283,Tobacco Induced Diseases,TOB INDUC DIS,1617-9625,619,1.434,1.262,1.874,0.157,83,4.5,6.3,0.00164,0.587,81.93,26.002,0.20058
12285,TOHOKU JOURNAL OF EXPERIMENTAL MEDICINE,TOHOKU J EXP MED,0040-8727,"2,971",1.441,1.385,1.625,0.219,96,9.5,8.2,0.00286,0.398,88.54,29.153,0.34919
12286,TOHOKU MATHEMATICAL JOURNAL,TOHOKU MATH J,0040-8735,"1,219",1,0.967,0.872,0,31,34.7,16,0.00152,0.811,100,65.278,0.18611
12287,Tokyo Journal of Mathematics,TOKYO J MATH,0387-3870,291,0.216,0.216,0.266,0.077,13,20.4,16.9,0.0005,0.233,100,1.08,0.06201
12288,Tomography,TOMOGRAPHY,2379-1381,355,1.308,1.269,Not Available,0.31,42,3.5,7,0.00134,Not Available,100,19.925,0.16394
12289,Top,TOP,1134-5764,466,1.452,1.238,1.092,0.158,19,7.6,9.6,0.00103,0.502,100,35.542,0.12614
12290,TOPIA-Canadian Journal of Cultural Studies,TOPIA,1206-0143,65,0.208,0.208,0.187,Not Available,0,Not Available,Not Available,0.00003,0.037,Not Available,16.667,0.00432
12291,TOPICS IN CATALYSIS,TOP CATAL,1022-5528,"6,694",2.406,2.342,2.484,0.488,123,9.1,8.3,0.00589,0.545,100,52.325,0.71869
12292,TOPICS IN CLINICAL NUTRITION,TOP CLIN NUTR,0883-5691,182,0.35,0.35,0.413,0.071,28,9,7,0.00017,0.091,89.29,5.056,0.02102
12293,Topics in Cognitive Science,TOP COGN SCI,1756-8757,"1,645",2.511,2.272,2.863,1.912,57,6.7,11.8,0.00358,1.251,92.98,70.69,0.4373
12294,Topics in Companion Animal Medicine,TOP COMPANION ANIM M,1938-9736,369,0.983,0.933,0.938,0.135,37,7.4,10.1,0.00042,0.261,83.78,41.901,0.05223
12295,Topics in Current Chemistry,TOPICS CURR CHEM,2365-0869,"6,313",7.455,7.439,10.035,1.351,37,7.4,6.4,0.00883,2.755,0,85.593,1.07798
12296,TOPICS IN EARLY CHILDHOOD SPECIAL EDUCATION,TOP EARLY CHILD SPEC,0271-1214,"1,025",1.237,1.053,2.152,0.294,17,11.3,9.5,0.00076,0.61,88.24,51.19,0.09295
12297,TOPICS IN GERIATRIC REHABILITATION,TOP GERIATR REHABIL,0882-7524,326,0.32,0.32,0.428,0.053,38,11.2,6.8,0.00022,0.096,97.37,3.824,0.02772
12298,TOPICS IN LANGUAGE DISORDERS,TOP LANG DISORD,0271-8294,666,0.97,0.939,1.547,1.947,19,10.3,8.6,0.00056,0.468,100,41.576,0.06844
12299,Topics in Organometallic Chemistry,TOP ORGANOMETAL CHEM,1436-6002,"1,426",2.917,2.917,3.163,0.4,10,7.6,6,0.00165,0.973,100,71.871,0.20238
12300,Topics in Stroke Rehabilitation,TOP STROKE REHABIL,1074-9357,"1,791",1.897,1.761,2.28,0.315,89,7.2,9.1,0.0026,0.643,84.27,65.441,0.31776
