Journal name,JCR Abbreviated Title,ISSN,eISSN,Category,Total Citations,Journal Impact Factor,JIF Quartile,JIF Percentile,Article Influence Score,AIS Quartile,Journal Citation Indicator (JCI),JCI Percentile,% of OA Gold,5 Year JIF,JIF Without Self Cites,Immediacy Index,Eigenfactor,Normalized Eigenfactor,Citable Items,% of Articles in Citable items,Cited Half-Life,Citing Half-Life,Total Articles
Journalism Practice,JOURNAL PRACT,1751-2786,1751-2794,COMMUNICATION - SSCI,2.797,2.328,Q3,42.02,0.934,Q3,1.04,75.35,13,2.945,1.915,0.554,0.00432,0.92502,175,99.43,5.6,7.2,174
Journalism Studies,JOURNALISM STUD,1461-670X,1469-9699,COMMUNICATION - SSCI,4.146,3.604,Q2,70.74,1.364,Q2,1.63,86.41,17.21,3.912,3.169,0.496,0.00707,1.51218,141,99.29,5.4,7,140
JOURNALS OF GERONTOLOGY SERIES A-BIOLOGICAL SCIENCES AND MEDICAL SCIENCES,J GERONTOL A-BIOL,1079-5006,1758-535X,Multiple,28.519,6.591,Q1,87.84,1.738,Q1,1.78,98.94,18.98,6.735,6.104,1.977,0.02107,4.50315,398,95.73,9.4,7.6,381
JOURNALS OF GERONTOLOGY SERIES B-PSYCHOLOGICAL SCIENCES AND SOCIAL SCIENCES,J GERONTOL B-PSYCHOL,1079-5014,1758-5368,Multiple,15.389,4.942,Q1,84.69,1.466,Q1,1.61,96.81,12.93,5.356,4.489,5.136,0.01079,2.3064,330,100,8.9,9.2,330
Jove-Journal of Visualized Experiments,JOVE-J VIS EXP,1940-087X,N/A,MULTIDISCIPLINARY SCIENCES - SCIE,24.901,1.424,Q3,30.82,0.455,Q3,0.28,47.39,0.94,1.789,1.373,0.285,0.02659,5.68302,973,100,6.5,7.5,973
JPAD-Journal of Prevention of Alzheimers Disease,JPAD-J PREV ALZHEIM,2274-5807,2426-0266,CLINICAL NEUROLOGY - SCIE,873,5.02,Q2,73.35,N/A,N/A,1.07,78.09,30.32,N/A,4.57,0.727,0.0022,0.47196,55,81.82,2.6,5.8,45
JPC-JOURNAL OF PLANAR CHROMATOGRAPHY-MODERN TLC,JPC-J PLANAR CHROMAT,0933-4173,1789-0993,CHEMISTRY. ANALYTICAL - SCIE,665,1.088,Q4,9.77,0.079,Q4,0.23,14.65,2.13,0.798,0.848,0.19,0.00024,0.05259,63,96.83,8.2,10.1,61
JSLS-Journal of the Society of Laparoendoscopic Surgeons,JSLS-J SOC LAPAROEND,1086-8089,N/A,SURGERY - SCIE,2.299,1.789,Q3,29.15,0.566,Q3,0.53,42.47,95.14,2.221,1.737,0.127,0.00133,0.28619,71,87.32,9.4,8,62
Judgment and Decision Making,JUDGM DECIS MAK,1930-2975,1930-2975,PSYCHOLOGY. MULTIDISCIPLINARY - SSCI,3.607,2.5,Q2,51.36,1.493,Q1,0.82,64.05,0,3.169,2.368,0.532,0.00411,0.87929,62,100,9.5,11.6,62
Jundishapur Journal of Microbiology,JUNDISHAPUR J MICROB,2008-3645,2008-4161,MICROBIOLOGY - SCIE,1.691,0.82,Q4,3.31,0.182,Q4,0.15,4.14,97.88,1.091,0.802,0.174,0.00089,0.19092,69,97.1,6.5,6.6,67
JUSTICE QUARTERLY,JUSTICE Q,0741-8825,1745-9109,CRIMINOLOGY & PENOLOGY - SSCI,4.524,3.985,Q1,86.23,1.513,Q1,1.87,92.34,1.89,4.291,3.708,1.76,0.00405,0.86631,75,98.67,10.8,12,74
JUSTICE SYSTEM JOURNAL,JUSTICE SYST J,0098-261X,2327-7556,LAW - SSCI,292,0.707,Q4,23.05,0.43,Q3,0.69,58.05,4.92,0.743,0.585,0.05,0.00044,0.09522,20,100,10.9,12.7,20
JUVENILE AND FAMILY COURT JOURNAL,JUVENILE FAM COURT J,0161-7109,1755-6988,LAW - SSCI,200,0.556,Q4,15.26,0.198,Q4,0.62,53.73,0,0.711,0.528,0,0.00015,0.03344,18,100,13.5,9.7,18
Kafkas Universitesi Veteriner Fakultesi Dergisi,KAFKAS UNIV VET FAK,1300-6045,1300-6045,VETERINARY SCIENCES - SCIE,1.162,0.633,Q4,19.1,0.095,Q4,0.33,25.3,97.46,0.652,0.527,0.164,0.0006,0.12941,110,99.09,7.2,8.2,109
KAGAKU KOGAKU RONBUNSHU,KAGAKU KOGAKU RONBUN,0386-216X,N/A,ENGINEERING. CHEMICAL - SCIE,352,0.338,Q4,1.06,0.057,Q4,0.06,6.6,0,0.299,0.191,0.037,0.0001,0.02274,27,100,16.9,10.9,27
KAOHSIUNG JOURNAL OF MEDICAL SCIENCES,KAOHSIUNG J MED SCI,1607-551X,2410-8650,MEDICINE. RESEARCH & EXPERIMENTAL - SCIE,2.896,2.996,Q3,30.58,0.517,Q4,0.61,44.36,97.87,2.947,2.952,0.663,0.00239,0.51097,101,93.07,5.7,4.5,94
Kardiologia Polska,KARDIOL POL,0022-9032,1897-4279,CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE,4.018,3.71,Q2,54.2,1.214,Q2,1.42,86.23,98.44,4.686,2.357,1.193,0.00752,1.60746,114,78.95,3.7,4.9,90
KARDIOLOGIYA,KARDIOLOGIYA,0022-9040,N/A,CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE,636,0.513,Q4,0.35,0.051,Q4,0.1,11.35,84.89,0.402,0.385,0.151,0.00047,0.10162,146,93.84,3.9,5.7,137
KEDI Journal of Educational Policy,KEDI J EDUC POLICY,1739-4341,1739-4341,EDUCATION & EDUCATIONAL RESEARCH - SSCI,116,0.481,Q4,3.93,0.151,Q4,0.23,20.77,0,0.464,0.481,0,0.00009,0.02121,10,100,8.3,11.9,10
KENNEDY INSTITUTE OF ETHICS JOURNAL,KENNEDY INST ETHIC J,1054-6863,1086-3249,Multiple,582,1.484,N/A,43.75,0.978,Q1,1.16,83.28,4,1.902,1.387,0.368,0.00085,0.18262,19,100,10,7.9,19
KERNTECHNIK,KERNTECHNIK,0932-3902,2195-8580,NUCLEAR SCIENCE & TECHNOLOGY - SCIE,202,0.321,Q4,7.35,0.058,Q4,0.17,10.98,0,0.229,0.303,0.02,0.00018,0.0397,50,98,7.3,11.5,49
KEW BULLETIN,KEW BULL,0075-5974,1874-933X,PLANT SCIENCES - SCIE,1.628,0.813,Q4,12.39,0.241,Q4,0.27,20.35,37.5,0.825,0.758,0.313,0.00065,0.13957,64,98.44,21.2,18.4,63
KGK-Kautschuk Gummi Kunststoffe,KGK-KAUT GUMMI KUNST,0948-3276,0948-3276,Multiple,585,0.507,Q4,3.89,0.051,Q4,0.06,6.6,0,0.445,0.435,0.133,0.0001,0.02294,15,100,14.4,13.7,15
KIDNEY & BLOOD PRESSURE RESEARCH,KIDNEY BLOOD PRESS R,1420-4096,1423-0143,Multiple,3.154,3.096,Q2,57.22,0.649,Q3,0.7,65,99.3,3.155,3.038,0.468,0.0037,0.79165,79,89.87,4.8,7.2,71
Kidney Diseases,KIDNEY DIS-BASEL,2296-9381,2296-9357,UROLOGY & NEPHROLOGY - SCIE,746,3,Q2,50.56,0.808,Q2,0.74,65.16,100,3.974,2.941,0.5,0.00115,0.24774,50,62,3.9,6.5,31
KIDNEY INTERNATIONAL,KIDNEY INT,0085-2538,1523-1755,UROLOGY & NEPHROLOGY - SCIE,57.36,18.998,Q1,97.22,4.15,Q1,4.47,97.95,26.82,14.318,18.369,7.54,0.04285,9.15851,198,80.3,10.9,7.3,159
Kidney International Reports,KIDNEY INT REP,2468-0249,2468-0249,UROLOGY & NEPHROLOGY - SCIE,4.141,6.234,Q1,86.11,1.595,Q1,1.3,87.3,98.75,5.503,5.933,1.879,0.00991,2.11832,281,86.12,2.1,7,242
Kidney International Supplements,KIDNEY INT SUPPL,2157-1724,2157-1716,UROLOGY & NEPHROLOGY - SCIE,3.874,6.083,Q1,85,4.578,Q1,2.03,93.03,0,16.732,6,1.941,0.00178,0.38109,17,100,9,5.5,17
Kidney Research and Clinical Practice,KIDNEY RES CLIN PRAC,2211-9132,2211-9140,UROLOGY & NEPHROLOGY - SCIE,1.096,4.172,Q2,70.56,0.839,Q2,0.98,75.82,100,3.619,3.946,0.39,0.00173,0.3713,59,77.97,3.9,7.4,46
KINDHEIT UND ENTWICKLUNG,KINDH ENTWICKL,0942-5403,2190-6246,PSYCHOLOGY. DEVELOPMENTAL - SSCI,301,0.491,Q4,0.64,0.153,Q4,0.31,5.98,17.28,0.802,0.377,0.821,0.00019,0.04063,28,96.43,6.9,8.6,27
Kinematics and Physics of Celestial Bodies,KINEMAT PHYS CELEST+,0884-5913,1934-8401,ASTRONOMY & ASTROPHYSICS - SCIE,170,0.389,Q4,3.62,0.075,Q4,0.09,8.02,0,0.393,0.185,0.125,0.0001,0.02271,32,100,7.9,14.4,32
Kinesiology,KINESIOLOGY,1331-1441,1848-638X,Multiple,782,1.101,Q4,8.62,0.417,Q4,0.47,36.48,97.83,2,1.072,0.13,0.0007,0.15163,23,91.3,6.7,9.9,21
Kinetic and Related Models,KINET RELAT MOD,1937-5093,1937-5077,Multiple,887,1.398,Q1,76.05,0.97,Q1,1.04,79.64,98.01,1.685,1.306,0.302,0.00216,0.46265,53,100,6.7,13.9,53
KINETICS AND CATALYSIS,KINET CATAL+,0023-1584,1608-3210,CHEMISTRY. PHYSICAL - SCIE,1.966,1.399,Q4,10.74,0.156,Q4,0.16,7.27,0.37,1.249,0.936,0.247,0.00069,0.14938,97,98.97,10.3,10.7,96
KLEINTIERPRAXIS,KLEINTIERPRAXIS,0023-2076,N/A,VETERINARY SCIENCES - SCIE,139,0.198,Q4,1.74,0.017,Q4,0.08,3.87,0,0.145,0.105,0.047,0.00003,0.00739,43,100,17.4,12.5,43
KLINISCHE MONATSBLATTER FUR AUGENHEILKUNDE,KLIN MONATSBL AUGENH,0023-2165,1439-3999,OPHTHALMOLOGY - SCIE,1.827,0.742,Q4,0.82,0.172,Q4,0.27,12.37,0.42,0.782,0.619,0.394,0.00121,0.25979,175,91.43,10.5,8.1,160
KLINISCHE NEUROPHYSIOLOGIE,KLIN NEUROPHYSIOL,1434-0275,1439-4081,Multiple,77,0.633,Q4,3.57,0.042,Q4,0.1,4.68,0,0.416,0.233,0.158,0.00003,0.00758,19,100,N/A,6.8,19
KLINISCHE PADIATRIE,KLIN PADIATR,0300-8630,1439-3824,PEDIATRICS - SCIE,1.044,1.236,Q4,9.62,0.256,Q4,0.35,28.53,0.9,1.328,1.181,0.231,0.00043,0.09369,39,94.87,9.9,8.7,37
KNEE,KNEE,0968-0160,1873-5800,Multiple,6.649,2.423,Q3,48.58,0.701,Q2,0.85,67.92,3.14,2.717,2.23,0.405,0.00652,1.39404,247,93.93,7.3,8.2,232
KNEE SURGERY SPORTS TRAUMATOLOGY ARTHROSCOPY,KNEE SURG SPORT TR A,0942-2056,1433-7347,Multiple,23.806,4.114,Q1,81.28,1.041,Q1,1.59,93.03,17.98,4.407,3.377,0.723,0.02695,5.76016,422,88.86,5.8,6.2,375
KNOWLEDGE AND INFORMATION SYSTEMS,KNOWL INF SYST,0219-1377,0219-3116,Multiple,4.789,2.531,Q3,37.85,0.657,Q2,0.62,52.12,8.63,3.205,2.444,0.235,0.00439,0.93963,98,97.96,6.2,7.9,96
Knowledge and Management of Aquatic Ecosystems,KNOWL MANAG AQUAT EC,1961-9502,1961-9502,Multiple,1.165,1.928,Q3,46.46,0.377,Q3,0.62,57.44,99.25,2.108,1.732,0.389,0.00089,0.19062,36,97.22,6.7,11.2,35
KNOWLEDGE ENGINEERING REVIEW,KNOWL ENG REV,0269-8889,1469-8005,COMPUTER SCIENCE. ARTIFICIAL INTELLIGENCE - SCIE,1.145,2.016,Q3,26.74,0.338,Q4,0.13,7.67,6.67,1.774,1.828,0.455,0.00042,0.09114,11,0,10.9,8.7,0
Knowledge Management Research & Practice,KNOWL MAN RES PRACT,1477-8238,1477-8246,Multiple,1.754,3.054,Q2,56.55,0.362,Q3,0.78,72.26,8.19,3.092,2.696,0.869,0.001,0.21445,84,98.81,5.3,9.9,83
KNOWLEDGE ORGANIZATION,KNOWL ORGAN,0943-7444,N/A,INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI,472,0.867,Q4,22.02,0.242,Q4,0.28,41.77,0,0.969,0.678,0.048,0.00052,0.11182,21,100,6.4,8.5,21
KNOWLEDGE-BASED SYSTEMS,KNOWL-BASED SYST,0950-7051,1872-7409,COMPUTER SCIENCE. ARTIFICIAL INTELLIGENCE - SCIE,28.857,8.139,Q1,83.68,1.351,Q1,1.58,87.04,2.68,8.153,7.194,2.189,0.02964,6.3354,948,98.95,3.8,5.1,938
Kodai Mathematical Journal,KODAI MATH J,0386-5991,0386-5991,MATHEMATICS - SCIE,460,0.382,Q4,4.67,0.263,Q4,0.29,8.12,0,0.392,0.345,0.077,0.00042,0.09113,26,100,18.3,20.6,26
KOEDOE,KOEDOE,0075-6458,2071-0771,BIODIVERSITY CONSERVATION - SCIE,699,1.021,Q4,25.38,0.245,Q4,0.46,40.71,89.66,1.277,1,0.727,0.00023,0.05024,11,90.91,13.4,12.2,10
KOLNER ZEITSCHRIFT FUR SOZIOLOGIE UND SOZIALPSYCHOLOGIE,KOLNER Z SOZIOL SOZ,0023-2653,1861-891X,Multiple,877,1.272,Q3,26.69,0.647,Q3,0.45,38.04,58.41,1.646,1.123,0.469,0.00116,0.24813,32,100,8.3,11.5,32
KONA Powder and Particle Journal,KONA POWDER PART J,0288-4534,N/A,Multiple,981,3.919,Q2,57.39,0.55,Q2,0.35,41.19,98.18,3.743,3.73,1.444,0.00054,0.11726,18,33.33,6.9,9.7,6
Korea Observer,KOREA OBS,0023-3919,0023-3919,Multiple,117,0.286,Q4,5.36,0.121,Q4,0.26,21.24,0,0.333,0.268,0.036,0.00016,0.03524,28,100,8.4,11.4,28
KOREA-AUSTRALIA RHEOLOGY JOURNAL,KOREA-AUST RHEOL J,1226-119X,2093-7660,Multiple,749,1.404,Q4,16.3,0.258,Q3,0.36,32.11,0,1.709,1.298,0.552,0.00037,0.07908,29,86.21,8,8.7,25
Korean Circulation Journal,KOREAN CIRC J,1738-5520,1738-5555,CARDIAC & CARDIOVASCULAR SYSTEMS - SCIE,1.969,3.101,Q3,42.31,0.638,Q3,0.62,60.63,50.7,2.594,2.611,1.656,0.00262,0.56128,64,57.81,4.7,6.1,37
Korean Economic Review,KOREAN ECON REV,0254-3737,N/A,ECONOMICS - SSCI,66,0.576,Q4,6.2,0.084,Q4,0.2,17.81,0,0.486,0.515,0.067,0.00005,0.01199,15,100,N/A,13.2,15
KOREAN JOURNAL OF CHEMICAL ENGINEERING,KOREAN J CHEM ENG,0256-1115,1975-7220,Multiple,8.69,3.146,Q3,48.24,0.306,Q3,0.49,54.24,0,2.558,2.816,0.678,0.00455,0.97326,242,91.74,6.2,6.7,222
KOREAN JOURNAL OF DEFENSE ANALYSIS,KOREAN J DEF ANAL,1016-3271,1941-4641,INTERNATIONAL RELATIONS - SSCI,95,0.306,Q4,4.69,0.071,Q4,0.13,13.4,0,0.214,0.21,0.094,0.0001,0.02298,32,100,N/A,5.8,32
KOREAN JOURNAL OF INTERNAL MEDICINE,KOREAN J INTERN MED,1226-3303,2005-6648,MEDICINE. GENERAL & INTERNAL - SCIE,3.581,3.165,Q2,56.1,0.749,Q2,0.65,75.84,99.11,3.53,3,1,0.00429,0.91838,175,86.29,4.8,7.8,151
Korean Journal of Metals and Materials,KOREAN J MET MATER,1738-8228,N/A,Multiple,643,1.324,Q3,34.81,0.089,Q4,0.26,32.42,100,0.87,0.676,0.196,0.00048,0.10451,107,99.07,3.1,7.6,106
Korean Journal of Orthodontics,KOREAN J ORTHOD,2234-7518,2005-372X,DENTISTRY. ORAL SURGERY & MEDICINE - SCIE,841,1.361,Q4,7.07,0.545,Q3,0.58,40.82,49.19,2.043,1.253,0.415,0.00109,0.23333,41,95.12,5.7,10.3,39
Korean Journal of Pain,KOREAN J PAIN,2005-9159,2093-0569,CLINICAL NEUROLOGY - SCIE,859,2.6,Q3,29.48,0.626,Q4,0.64,42.51,99.2,2.579,2.293,0.58,0.00105,0.2262,50,86,5.2,9.2,43
KOREAN JOURNAL OF PARASITOLOGY,KOREAN J PARASITOL,0023-4001,1738-0006,PARASITOLOGY - SCIE,2.162,1.776,Q3,29.49,0.328,Q4,0.44,26.14,100,1.773,1.464,0.526,0.00148,0.31685,76,96.05,7.2,10.7,73
KOREAN JOURNAL OF PHYSIOLOGY & PHARMACOLOGY,KOREAN J PHYSIOL PHA,1226-4512,2093-3827,Multiple,1.549,1.718,Q4,13.44,0.329,Q4,0.52,36.43,100,2.093,1.7,0.508,0.00104,0.22398,59,98.31,6.3,9.2,58
KOREAN JOURNAL OF RADIOLOGY,KOREAN J RADIOL,1229-6929,2005-8330,RADIOLOGY. NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE,5.788,7.109,Q1,87.13,1.306,Q1,1.47,90.75,35.6,5.937,6.455,1.05,0.00711,1.51971,180,73.89,4.5,7,133
KOVOVE MATERIALY-METALLIC MATERIALS,KOVOVE MATER,0023-432X,1338-4252,Multiple,501,0.69,Q4,15.82,0.105,Q4,0.19,19.23,88.8,0.84,0.598,0.184,0.00024,0.05211,38,100,7.4,8.2,38
KSCE Journal of Civil Engineering,KSCE J CIV ENG,1226-7988,1976-3808,ENGINEERING. CIVIL - SCIE,7.195,2.115,Q3,34.42,0.365,Q3,0.49,44.29,0,2.322,1.879,0.368,0.00692,1.48027,468,99.57,4.5,8,466
KSII Transactions on Internet and Information Systems,KSII T INTERNET INF,1976-7277,1976-7277,Multiple,1.726,0.972,Q4,8.23,0.107,Q4,0.23,17.68,98.46,0.799,0.867,0.21,0.00161,0.34459,243,99.59,3.9,5.2,242
Kuwait Journal of Science,KUWAIT J SCI,2307-4108,2307-4116,MULTIDISCIPLINARY SCIENCES - SCIE,389,0.806,Q4,15.75,0.197,Q4,0.31,50.37,0,1.085,0.516,0.099,0.00048,0.10412,71,100,4.9,9.4,71
Kuwait Medical Journal,KUWAIT MED J,0023-5776,0023-5776,MEDICINE. GENERAL & INTERNAL - SCIE,132,0.075,Q4,0.29,0.026,Q4,0.03,11.7,0,0.137,0.075,0,0.00007,0.01639,78,92.31,8.5,11,72
KYBERNETES,KYBERNETES,0368-492X,1758-7883,COMPUTER SCIENCE. CYBERNETICS - SCIE,2.42,2.352,Q3,35.42,0.246,Q4,0.36,48.44,2.42,2.158,1.854,0.524,0.00155,0.33162,252,96.83,3.8,6.1,244
KYBERNETIKA,KYBERNETIKA,0023-5954,N/A,COMPUTER SCIENCE. CYBERNETICS - SCIE,1.031,0.69,Q4,2.08,0.225,Q4,0.14,10.94,0,0.793,0.611,0.074,0.00064,0.1371,54,100,14.2,11.9,54
KYKLOS,KYKLOS,0023-5962,1467-6435,ECONOMICS - SSCI,1.803,1.796,Q3,40.5,1.016,Q2,0.75,64.65,23.29,2.513,1.571,0.5,0.00114,0.24541,24,100,14.9,10.6,24
Kyoto Journal of Mathematics,KYOTO J MATH,2156-2261,2154-3321,MATHEMATICS - SCIE,333,0.778,Q3,35.69,0.89,Q2,0.71,57.07,0,0.795,0.778,0.238,0.0014,0.29997,21,100,7.3,18.7,21
Kyushu Journal of Mathematics,KYUSHU J MATH,1340-6116,1883-2032,MATHEMATICS - SCIE,200,0.388,Q4,4.97,0.315,Q4,0.37,15.72,85.29,0.429,0.367,0.053,0.00035,0.07615,19,100,10.8,23,19
LAB ANIMAL,LAB ANIMAL,0093-7355,1548-4475,VETERINARY SCIENCES - SCIE,1.606,9.667,Q1,98.96,1.898,Q1,1.83,97.32,N/A,8.608,8.917,1.846,0.00091,0.19648,13,69.23,12.5,4.1,9
LAB ON A CHIP,LAB CHIP,1473-0197,1473-0189,Multiple,39.721,7.517,Q1,93.04,1.505,Q1,1.37,92.26,19.8,8.368,6.779,1.591,0.02739,5.85331,421,89.55,7,6.3,377
LABOR HISTORY,LABOR HIST-UK,0023-656X,1469-9702,Multiple,387,0.632,N/A,42.19,0.363,Q3,0.82,65.48,9.85,0.719,0.484,0.135,0.00067,0.1446,37,97.3,7,17.8,36
LABORATORY ANIMALS,LAB ANIM-UK,0023-6772,1758-1117,Multiple,2.616,2.908,Q1,87.78,0.509,Q1,1.16,87.99,16.05,2.44,2.807,0.472,0.00133,0.28429,53,84.91,9.4,8.6,45
LABORATORY INVESTIGATION,LAB INVEST,0023-6837,1530-0307,Multiple,13.447,5.502,Q1,79.87,1.241,Q1,1.52,89.33,15.11,5.869,5.463,0.79,0.00808,1.72864,143,95.8,10.8,6.3,137
LABORATORY MEDICINE,LAB MED,0007-5027,1943-7730,MEDICAL LABORATORY TECHNOLOGY - SCIE,1.601,1.865,Q4,25.86,0.371,Q3,0.49,34.85,2.53,1.792,1.761,0.82,0.0011,0.23554,122,95.08,7.3,7.9,116
Laboratory Phonology,LAB PHONOL,1868-6346,1868-6354,Multiple,472,1.761,N/A,63.14,0.852,Q1,1.62,90.95,98.48,1.882,1.565,0.55,0.00089,0.19029,20,90,6.6,13.5,18
LABOUR ECONOMICS,LABOUR ECON,0927-5371,1879-1034,ECONOMICS - SSCI,4.014,1.893,Q3,45.78,1.533,Q2,0.65,56.75,14.49,2.464,1.816,0.471,0.00668,1.429,87,100,9.6,8.6,87
Labour History,LABOUR HIST-AUST,0023-6942,1839-3039,Multiple,156,0.121,Q4,3.43,0.105,Q4,0.18,20.88,0,0.191,0.121,0.118,0.00009,0.02008,17,94.12,18,24.4,16
LABOUR-LE TRAVAIL,LABOUR-TRAVAIL,0700-3862,1911-4842,Multiple,311,0.5,N/A,41.67,0.201,Q3,0.73,60.18,0,0.506,0.471,0.222,0.00016,0.03627,9,88.89,19.8,28.3,8
Laeknabladid,LAEKNABLADID,0023-7213,1670-4959,MEDICINE. GENERAL & INTERNAL - SCIE,249,0.524,Q4,5.52,0.075,Q4,0.1,28.42,87.76,0.411,0.413,0.114,0.00013,0.02821,35,94.29,7.8,7.2,33
LAKE AND RESERVOIR MANAGEMENT,LAKE RESERV MANAGE,1040-2381,2151-5530,Multiple,1.376,1.729,Q3,40.27,0.396,Q3,0.44,35.95,14.58,1.773,1.6,0.346,0.00066,0.14142,26,100,13.2,12.6,26
LANCET,LANCET,0140-6736,1474-547X,MEDICINE. GENERAL & INTERNAL - SCIE,403.221,202.731,Q1,99.71,42.772,Q1,21.81,99.54,22.12,130.838,201.484,47.43,0.56608,120.97269,256,63.28,6.4,3.8,162
Lancet Child & Adolescent Health,LANCET CHILD ADOLESC,2352-4642,2352-4642,PEDIATRICS - SCIE,7.694,37.746,Q1,99.62,9.984,Q1,7.31,99.73,14.49,29.195,37.507,12.077,0.02238,4.7839,65,67.69,1.7,4.8,44
Lancet Diabetes & Endocrinology,LANCET DIABETES ENDO,2213-8587,2213-8595,ENDOCRINOLOGY & METABOLISM - SCIE,17.81,44.867,Q1,98.97,13.851,Q1,6.6,99.72,6.09,36.805,44.052,13.387,0.04579,9.78669,62,69.35,3.8,4.8,43
Lancet Digital Health,LANCET DIGIT HEALTH,N/A,2589-7500,Multiple,3.373,36.615,Q1,98.39,12.806,Q1,4.99,98.68,97.24,36.615,36.051,7.507,0.00949,2.02809,67,88.06,1.6,3.2,59
Lancet Gastroenterology & Hepatology,LANCET GASTROENTEROL,N/A,2468-1253,GASTROENTEROLOGY & HEPATOLOGY - SCIE,10.881,45.042,Q1,98.39,10.682,Q1,4.76,96.67,8.37,31.987,44.352,9.388,0.03186,6.80998,85,60,2,5,51
Lancet Global Health,LANCET GLOB HEALTH,2214-109X,2214-109X,Multiple,22.156,38.927,Q1,99.18,13.477,Q1,8.37,99.11,96.69,35.214,38.336,10.908,0.06056,12.94269,131,86.26,3.2,4.2,113
Lancet Haematology,LANCET HAEMATOL,2352-3026,N/A,HEMATOLOGY - SCIE,6.73,30.153,Q1,99.36,8.444,Q1,3.9,99.47,6.38,21.561,29.873,6.857,0.02102,4.49212,70,78.57,2.4,4.7,55
Lancet HIV,LANCET HIV,2352-3018,2352-3018,Multiple,5.595,16.07,Q1,91.61,7.122,Q1,2.27,94.63,16.82,15.492,15.556,5.167,0.02036,4.35261,72,86.11,3.2,3.9,62
LANCET INFECTIOUS DISEASES,LANCET INFECT DIS,1473-3099,1474-4457,INFECTIOUS DISEASES - SCIE,52.835,71.421,Q1,98.4,16.877,Q1,6.96,99.59,21.18,46.75,70.86,30.663,0.11048,23.61039,166,85.54,3.1,4.3,142
LANCET NEUROLOGY,LANCET NEUROL,1474-4422,1474-4465,CLINICAL NEUROLOGY - SCIE,49.221,59.935,Q1,99.76,16.561,Q1,11.64,99.81,11.06,50.844,59.383,10.139,0.06262,13.38261,72,69.44,7,4.5,50
LANCET ONCOLOGY,LANCET ONCOL,1470-2045,1474-5488,ONCOLOGY - SCIE,79.244,54.433,Q1,98.57,17.658,Q1,8.48,99.53,6.53,49.204,53.88,13.707,0.1379,29.47122,164,85.98,5.6,4.5,141
Lancet Planetary Health,LANCET PLANET HEALTH,N/A,2542-5196,Multiple,4.794,28.75,Q1,99.1,9.379,Q1,3.99,99.23,97.47,30.188,28.1,5.603,0.01283,2.7423,78,89.74,2.7,4.6,70
Lancet Psychiatry,LANCET PSYCHIAT,2215-0374,N/A,Multiple,21.986,77.056,Q1,99.03,15.436,Q1,7.35,99.42,22.9,51.106,76.14,21.437,0.05118,10.93764,71,66.2,2.3,6,47
Lancet Public Health,LANCET PUBLIC HEALTH,2468-2667,2468-2667,Multiple,10.449,72.427,Q1,99.76,18.234,Q1,10.02,99.36,99.42,49.885,72.052,10.973,0.03326,7.10815,75,85.33,1.8,4.1,64
Lancet Respiratory Medicine,LANCET RESP MED,2213-2600,N/A,Multiple,29.214,102.642,Q1,99.23,21.32,Q1,13.47,99.49,12.74,63.244,101.686,28.46,0.0713,15.23712,100,93,1.9,2.6,93
Lancet Rheumatology,LANCET RHEUMATOL,2665-9913,2665-9913,RHEUMATOLOGY - SCIE,3.634,35.482,Q1,98.53,11.488,Q1,7.74,99.04,11.33,35.542,34.289,9.731,0.00905,1.93599,67,86.57,1.4,3.5,58
Land,LAND-BASEL,N/A,2073-445X,ENVIRONMENTAL STUDIES - SSCI,5.7,3.905,Q2,56.3,0.585,Q4,0.83,57.69,93.31,4.048,2.911,0.968,0.00551,1.17847,1.358,95.21,1.8,7.3,1.293
LAND DEGRADATION & DEVELOPMENT,LAND DEGRAD DEV,1085-3278,1099-145X,Multiple,10.934,4.377,Q2,70.51,0.853,Q2,0.96,74.85,4.63,5.205,4.08,0.821,0.01089,2.32843,280,96.07,4.3,8.1,269
LAND ECONOMICS,LAND ECON,0023-7639,1543-8325,Multiple,3.808,2.03,Q3,49.47,0.832,Q2,0.58,53.07,6.78,2.347,1.909,0.327,0.00139,0.29721,52,100,17,11.3,52
LAND USE POLICY,LAND USE POLICY,0264-8377,1873-5754,ENVIRONMENTAL STUDIES - SSCI,27.953,6.189,Q1,81.5,0.986,Q2,1.37,77.22,12.06,6.158,5.479,1.818,0.02662,5.69013,672,98.96,4.2,7.6,665
Landbauforschung-Journal of Sustainable and Organic Agricultural Systems,LANDBAUFORSCHUNG-GER,0458-6859,2700-8711,AGRICULTURE. MULTIDISCIPLINARY - SCIE,156,1.051,Q3,29.66,0.126,Q4,0.32,45.83,0,0.763,1.051,1,0.00009,0.02044,2,100,6.8,13.1,2
Landscape and Ecological Engineering,LANDSC ECOL ENG,1860-1871,1860-188X,Multiple,736,2.147,Q3,46.92,0.341,Q3,0.49,45,4.8,2.106,2.059,0.368,0.00045,0.09821,57,91.23,7.2,10.7,52
LANDSCAPE AND URBAN PLANNING,LANDSCAPE URBAN PLAN,0169-2046,1872-6062,Multiple,26.862,8.119,Q1,98.81,1.598,Q1,2.1,99.33,17.64,9.408,7.62,2.395,0.01526,3.26115,205,93.17,7.7,6.9,191
