JournalFullName,Journal,ISSN,eISSN,2022IF,2022AI
SCIENCE BULLETIN,SCI BULL,2095-9273,2095-9281,18.9,3.373
SCIENCE CHINA-CHEMISTRY,SCI CHINA CHEM,1674-7291,1869-1870,9.6,1.516
SCIENCE CHINA-EARTH SCIENCES,SCI CHINA EARTH SCI,1674-7313,1869-1897,5.7,1.629
SCIENCE CHINA-INFORMATION SCIENCES,SCI CHINA INFORM SCI,1674-733X,1869-1919,8.8,1.449
SCIENCE CHINA-LIFE SCIENCES,SCI CHINA LIFE SCI,1674-7305,1869-1889,9.1,1.535
SCIENCE CHINA-MATHEMATICS,SCI CHINA MATH,1674-7283,1869-1862,1.4,0.866
SCIENCE CHINA-TECHNOLOGICAL SCIENCES,SCI CHINA TECHNOL SC,1674-7321,1869-1900,4.6,0.704
SCIENCE COMMUNICATION,SCI COMMUN,1075-5470,1552-8545,9,2.562
SCIENCE EDUCATION,SCI EDUC,0036-8326,1098-237X,4.3,1.602
SCIENCE IN CONTEXT,SCI CONTEXT,0269-8897,1474-0664,0.3,0.461
SCIENCE OF ADVANCED MATERIALS,SCI ADV MATER,1947-2935,1947-2943,0.9,0.077
SCIENCE OF COMPUTER PROGRAMMING,SCI COMPUT PROGRAM,0167-6423,1872-7964,1.3,0.338
SCIENCE OF NATURE,SCI NAT-HEIDELBERG,0028-1042,1432-1904,1.8,0.605
SCIENCE OF SINTERING,SCI SINTER,0350-820X,N/A,1.5,0.133
SCIENCE OF THE TOTAL ENVIRONMENT,SCI TOTAL ENVIRON,0048-9697,1879-1026,9.8,1.432
SCIENCE SIGNALING,SCI SIGNAL,1945-0877,1937-9145,7.3,2.686
SCIENCE TECHNOLOGY & HUMAN VALUES,SCI TECHNOL HUM VAL,0162-2439,1552-8251,3.1,1.33
SCIENCE TECHNOLOGY AND SOCIETY,SCI TECHNOL SOC,0971-7218,0973-0796,2.1,0.463
SCIENCE TRANSLATIONAL MEDICINE,SCI TRANSL MED,1946-6234,1946-6242,17.1,7.167
SCIENCEASIA,SCIENCEASIA,1513-1874,N/A,1.2,0.124
SCIENCE-FICTION STUDIES,SCI-FICTION STUD,0091-7729,N/A,0.2,0.226
SCIENCES SOCIALES ET SANTE,SCI SOC SANTE,0294-0337,1777-5914,0.5,0.099
SCIENTIA FORESTALIS,SCI FOR,1413-9324,1413-9324,0.5,0.113
SCIENTIA HORTICULTURAE,SCI HORTIC-AMSTERDAM,0304-4238,1879-1018,4.3,0.553
SCIENTIA IRANICA,SCI IRAN,1026-3098,N/A,1.4,0.198
SCIENTIA MARINA,SCI MAR,0214-8358,1886-8134,1.4,0.389
SCIENTIFIC AMERICAN,SCI AM,0036-8733,1946-7087,3,0.915
SCIENTIFIC REPORTS,SCI REP-UK,2045-2322,2045-2322,4.6,1.129
SCIENTIFIC STUDIES OF READING,SCI STUD READ,1088-8438,1532-799X,3.7,1.599
SCIENTIST,SCIENTIST,0890-3670,1547-0806,1.8,0.258
SCIENTOMETRICS,SCIENTOMETRICS,0138-9130,1588-2861,3.9,0.858
SCOTTISH HISTORICAL REVIEW,SCOT HIST REV,0036-9241,1750-0222,0.5,0.64
SCOTTISH JOURNAL OF GEOLOGY,SCOT J GEOL,0036-9276,2041-4951,0.7,0.312
SCOTTISH JOURNAL OF POLITICAL ECONOMY,SCOT J POLIT ECON,0036-9292,1467-9485,1.1,0.362
SCOTTISH JOURNAL OF THEOLOGY,SCOT J THEOLOGY,0036-9306,1475-3065,0.2,0.2
SCOTTISH LITERARY REVIEW,SCOTT LIT REV,1756-5634,2050-6678,0.2,0
SCOTTISH MEDICAL JOURNAL,SCOT MED J,0036-9330,2045-6441,2.7,0.373
SCREEN,SCREEN,0036-9543,1460-2474,0.3,0.363
SCRIPTA MATERIALIA,SCRIPTA MATER,1359-6462,1872-8456,6,1.254
SCRIPTORIUM,SCRIPTORIUM,0036-9772,2795-8159,0.1,0.283
SCULPTURE JOURNAL,SCULPT J,1366-2724,1756-9923,0.1,0.204
SEA TECHNOLOGY,SEA TECHNOL,0093-3651,N/A,0.1,0.023
SECOND LANGUAGE RESEARCH,SECOND LANG RES,0267-6583,1477-0326,2.4,0.915
SECURITIES REGULATION LAW JOURNAL,SECUR REGUL LAW J,0097-9554,0097-9554,0.1,0.001
SECURITY DIALOGUE,SECUR DIALOGUE,0967-0106,1460-3640,3.2,1.534
SECURITY JOURNAL,SECUR J,0955-1662,1743-4645,1.2,0.363
SECURITY STUDIES,SECUR STUD,0963-6412,1556-1852,1.8,1.815
SEDERI-YEARBOOK OF THE SPANISH AND PORTUGUESE SOCIETY FOR ENGLISH RENAISSANCE STUDIES,SEDERI,1135-7789,1135-7789,0.2,0.133
SEDIMENTARY GEOLOGY,SEDIMENT GEOL,0037-0738,1879-0968,2.8,0.896
SEDIMENTOLOGY,SEDIMENTOLOGY,0037-0746,1365-3091,3.5,1.095
SEED SCIENCE AND TECHNOLOGY,SEED SCI TECHNOL,0251-0952,1819-5717,1.4,0.135
SEED SCIENCE RESEARCH,SEED SCI RES,0960-2585,1475-2735,2.1,0.474
SEFARAD,SEFARAD,0037-0894,1988-320X,0.1,0.122
SEISMOLOGICAL RESEARCH LETTERS,SEISMOL RES LETT,0895-0695,1938-2057,3.3,1.315
SEIZIEME SIECLE,SEIZ SIECLE,1774-4466,N/A,0.1,0.035
SEIZURE-EUROPEAN JOURNAL OF EPILEPSY,SEIZURE-EUR J EPILEP,1059-1311,1532-2688,3,0.951
SELECTA MATHEMATICA-NEW SERIES,SEL MATH-NEW SER,1022-1824,1420-9020,1.4,1.829
SEMANTIC WEB,SEMANT WEB,1570-0844,2210-4968,3,0.614
SEMICONDUCTOR SCIENCE AND TECHNOLOGY,SEMICOND SCI TECH,0268-1242,1361-6641,1.9,0.405
SEMICONDUCTORS,SEMICONDUCTORS+,1063-7826,1090-6479,0.7,0.095
SEMIGROUP FORUM,SEMIGROUP FORUM,0037-1912,1432-2137,0.7,0.413
SEMINA-CIENCIAS AGRARIAS,SEMIN-CIENC AGRAR,1676-546X,1679-0359,0.5,0.107
SEMINAR-A JOURNAL OF GERMANIC STUDIES,SEMINAR-J GER STUD,0037-1939,1911-026X,0.6,0.671
SEMINARS IN ARTHRITIS AND RHEUMATISM,SEMIN ARTHRITIS RHEU,0049-0172,1532-866X,5,1.606
SEMINARS IN CANCER BIOLOGY,SEMIN CANCER BIOL,1044-579X,1096-3650,14.5,2.661
SEMINARS IN CELL & DEVELOPMENTAL BIOLOGY,SEMIN CELL DEV BIOL,1084-9521,1096-3634,7.3,2.07
SEMINARS IN DIAGNOSTIC PATHOLOGY,SEMIN DIAGN PATHOL,0740-2570,1930-1111,2.3,0.842
SEMINARS IN DIALYSIS,SEMIN DIALYSIS,0894-0959,1525-139X,1.6,0.65
SEMINARS IN FETAL & NEONATAL MEDICINE,SEMIN FETAL NEONAT M,1744-165X,1878-0946,3,1.329
SEMINARS IN HEMATOLOGY,SEMIN HEMATOL,0037-1963,1532-8686,3.6,1.154
SEMINARS IN IMMUNOLOGY,SEMIN IMMUNOL,1044-5323,1096-3618,7.8,2.799
SEMINARS IN IMMUNOPATHOLOGY,SEMIN IMMUNOPATHOL,1863-2297,1863-2300,9,2.749
SEMINARS IN INTERVENTIONAL RADIOLOGY,SEMIN INTERVENT RAD,0739-9529,1098-8963,1.4,0.565
SEMINARS IN LIVER DISEASE,SEMIN LIVER DIS,0272-8087,1098-8971,4.2,1.591
SEMINARS IN MUSCULOSKELETAL RADIOLOGY,SEMIN MUSCULOSKEL R,1089-7860,1098-898X,1.4,0.342
SEMINARS IN NEPHROLOGY,SEMIN NEPHROL,0270-9295,1558-4488,3.3,1.195
SEMINARS IN NEUROLOGY,SEMIN NEUROL,0271-8235,1098-9021,2.7,1.198
SEMINARS IN NUCLEAR MEDICINE,SEMIN NUCL MED,0001-2998,1558-4623,4.9,0.934
SEMINARS IN ONCOLOGY,SEMIN ONCOL,0093-7754,1532-8708,4,1.288
SEMINARS IN OPHTHALMOLOGY,SEMIN OPHTHALMOL,0882-0538,1744-5205,1.7,0.476
SEMINARS IN ORTHODONTICS,SEMIN ORTHOD,1073-8746,1558-4631,4.2,0.372
SEMINARS IN PEDIATRIC NEUROLOGY,SEMIN PEDIATR NEUROL,1071-9091,1558-0776,2.7,0.698
SEMINARS IN PERINATOLOGY,SEMIN PERINATOL,0146-0005,1558-075X,3.4,1.552
SEMINARS IN PLASTIC SURGERY,SEMIN PLAST SURG,1535-2188,1536-0067,2,0.742
SEMINARS IN RADIATION ONCOLOGY,SEMIN RADIAT ONCOL,1053-4296,1532-9461,3.5,1.261
SEMINARS IN REPRODUCTIVE MEDICINE,SEMIN REPROD MED,1526-8004,1526-4564,2.7,0.896
SEMINARS IN ROENTGENOLOGY,SEMIN ROENTGENOL,0037-198X,1558-4658,0.4,0.183
SEMINARS IN SPEECH AND LANGUAGE,SEMIN SPEECH LANG,0734-0478,1098-9056,1,0.457
SEMINARS IN THROMBOSIS AND HEMOSTASIS,SEMIN THROMB HEMOST,0094-6176,1098-9064,5.7,1.14
SEMINARS IN ULTRASOUND CT AND MRI,SEMIN ULTRASOUND CT,0887-2171,1558-5034,1.1,0.352
SEMINARS IN VASCULAR SURGERY,SEMIN VASC SURG,0895-7967,1558-4518,2.5,0.764
SEMIOTICA,SEMIOTICA,0037-1998,1613-3692,0.8,0.207
SEN-I GAKKAISHI,SEN-I GAKKAISHI,0037-9875,N/A,0.1,0.002
SENSES & SOCIETY,SENSES SOC,1745-8927,1745-8935,0.9,0.558
SENSOR REVIEW,SENSOR REV,0260-2288,1758-6828,1.6,0.273
SENSORS AND ACTUATORS A-PHYSICAL,SENSOR ACTUAT A-PHYS,0924-4247,1873-3069,4.6,0.708
SENSORS AND ACTUATORS B-CHEMICAL,SENSOR ACTUAT B-CHEM,N/A,0925-4005,8.4,0.981
SENSORS AND MATERIALS,SENSOR MATER,0914-4935,0914-4935,1.2,0.12
SEOUL JOURNAL OF KOREAN STUDIES,SEOUL J KOREAN STUD,1225-0201,2331-4826,0.1,0.194
SEPARATION AND PURIFICATION REVIEWS,SEP PURIF REV,1542-2119,1542-2127,5.4,0.885
SEPARATION AND PURIFICATION TECHNOLOGY,SEP PURIF TECHNOL,1383-5866,1873-3794,8.6,0.997
SEQUENTIAL ANALYSIS-DESIGN METHODS AND APPLICATIONS,SEQUENTIAL ANAL,0747-4946,1532-4176,0.8,0.31
SERBIAN ASTRONOMICAL JOURNAL,SERB ASTRON J,1450-698X,1820-9289,0.5,0.156
SERIALS REVIEW,SERIALS REV,0098-7913,1879-095X,0.9,0.17
SERIES-JOURNAL OF THE SPANISH ECONOMIC ASSOCIATION,SERIES-J SPAN ECON,1869-4187,1869-4195,1.3,0.501
SERVICE BUSINESS,SERV BUS,1862-8516,1862-8508,5.9,0.615
SERVICE INDUSTRIES JOURNAL,SERV IND J,0264-2069,1743-9507,9.4,1.115
SERVICE SCIENCE,SERV SCI,2164-3962,2164-3970,2.3,0.683
SET-VALUED AND VARIATIONAL ANALYSIS,SET-VALUED VAR ANAL,1877-0533,1877-0541,1.6,0.939
SEVENTEENTH CENTURY,SEVENTEENTH CENT,0268-117X,2050-4616,0.3,0.366
SEWANEE REVIEW,SEWANEE REV,0037-3052,1934-421X,0.1,0.062
SEX EDUCATION-SEXUALITY SOCIETY AND LEARNING,SEX EDUC-SEX SOC LEA,1468-1811,1472-0825,1.9,0.757
SEX ROLES,SEX ROLES,0360-0025,1573-2762,3.8,1.533
SEXUAL & REPRODUCTIVE HEALTHCARE,SEX REPROD HEALTHC,1877-5756,1877-5764,1.8,0.596
SEXUAL ABUSE-A JOURNAL OF RESEARCH AND TREATMENT,SEX ABUSE-J RES TR,1079-0632,1573-286X,2.3,0.748
SEXUAL AND RELATIONSHIP THERAPY,SEX RELATSH THER,1468-1994,1468-1749,1.1,0.507
SEXUAL DEVELOPMENT,SEX DEV,1661-5425,1661-5433,2.3,0.507
SEXUAL HEALTH,SEX HEALTH,1448-5028,1449-8987,1.6,0.824
SEXUAL MEDICINE,SEX MED-UK,N/A,2050-1161,2.6,0.684
SEXUALITIES,SEXUALITIES,1363-4607,1461-7382,1.5,0.787
SEXUALITY AND DISABILITY,SEX DISABIL,0146-1044,1573-6717,1.5,0.44
SEXUALITY RESEARCH AND SOCIAL POLICY,SEX RES SOC POLICY,1868-9884,1553-6610,2.6,0.969
SEXUALLY TRANSMITTED DISEASES,SEX TRANSM DIS,0148-5717,1537-4521,3.1,1.197
SEXUALLY TRANSMITTED INFECTIONS,SEX TRANSM INFECT,1368-4973,1472-3263,3.6,1.312
SHAKESPEARE,SHAKESPEARE,1745-0918,1745-0926,0.3,0.304
SHAKESPEARE QUARTERLY,SHAKESPEARE QUART,0037-3222,1538-3555,0.3,0.216
SHIPS AND OFFSHORE STRUCTURES,SHIPS OFFSHORE STRUC,1744-5302,1754-212X,2.1,0.338
SHOCK AND VIBRATION,SHOCK VIB,1070-9622,1875-9203,1.6,0.275
SHOCK WAVES,SHOCK WAVES,0938-1287,1432-2153,2.2,0.485
SHOFAR-AN INTERDISCIPLINARY JOURNAL OF JEWISH STUDIES,SHOFAR,0882-8539,1534-5165,0.5,0.44
SIAM JOURNAL ON APPLIED DYNAMICAL SYSTEMS,SIAM J APPL DYN SYST,1536-0040,N/A,2.1,1.275
SIAM JOURNAL ON APPLIED MATHEMATICS,SIAM J APPL MATH,0036-1399,1095-712X,1.9,0.931
SIAM JOURNAL ON COMPUTING,SIAM J COMPUT,0097-5397,1095-7111,1.6,1.541
SIAM JOURNAL ON CONTROL AND OPTIMIZATION,SIAM J CONTROL OPTIM,0363-0129,1095-7138,2.2,1.491
SIAM JOURNAL ON DISCRETE MATHEMATICS,SIAM J DISCRETE MATH,0895-4801,1095-7146,0.8,0.973
SIAM JOURNAL ON FINANCIAL MATHEMATICS,SIAM J FINANC MATH,1945-497X,1945-497X,1,0.819
SIAM JOURNAL ON IMAGING SCIENCES,SIAM J IMAGING SCI,1936-4954,1936-4954,2.1,1.542
SIAM JOURNAL ON MATHEMATICAL ANALYSIS,SIAM J MATH ANAL,0036-1410,1095-7154,2,1.533
SIAM JOURNAL ON MATRIX ANALYSIS AND APPLICATIONS,SIAM J MATRIX ANAL A,0895-4798,1095-7162,1.5,1.321
SIAM JOURNAL ON NUMERICAL ANALYSIS,SIAM J NUMER ANAL,0036-1429,1095-7170,2.9,1.867
SIAM JOURNAL ON OPTIMIZATION,SIAM J OPTIMIZ,1052-6234,1095-7189,3.1,2.421
SIAM JOURNAL ON SCIENTIFIC COMPUTING,SIAM J SCI COMPUT,1064-8275,1095-7197,3.1,1.58
SIAM REVIEW,SIAM REV,0036-1445,1095-7200,10.2,8.777
SIBERIAN MATHEMATICAL JOURNAL,SIBERIAN MATH J+,0037-4466,1573-9260,0.5,0.327
SIGHT AND SOUND,SIGHT SOUND,0037-4806,0037-4806,0.1,0.154
SIGNA VITAE,SIGNA VITAE,1334-5605,1845-206X,1.1,0.126
SIGNAL IMAGE AND VIDEO PROCESSING,SIGNAL IMAGE VIDEO P,1863-1703,1863-1711,2.3,0.307
SIGNAL PROCESSING,SIGNAL PROCESS,0165-1684,1872-7557,4.4,0.997
SIGNAL PROCESSING-IMAGE COMMUNICATION,SIGNAL PROCESS-IMAGE,0923-5965,1879-2677,3.5,0.701
SIGNA-REVISTA DE LA ASOCIACION ESPANOLA DE SEMIOTICA,SIGNA,1133-3634,2254-9307,0.2,0.296
SIGNS,SIGNS,0097-9740,1545-6943,1.9,1.751
SILICON,SILICON-NETH,1876-990X,1876-9918,3.4,0.336
SILVA FENNICA,SILVA FENN,0037-5330,2242-4075,1.8,0.356
SILVAE GENETICA,SILVAE GENET,0037-5349,2509-8934,1,0.156
SIMULATION & GAMING,SIMULAT GAMING,1046-8781,1552-826X,2,0.476
SIMULATION IN HEALTHCARE-JOURNAL OF THE SOCIETY FOR SIMULATION IN HEALTHCARE,SIMUL HEALTHC,1559-2332,1559-713X,2.4,0.645
SIMULATION MODELLING PRACTICE AND THEORY,SIMUL MODEL PRACT TH,1569-190X,1878-1462,4.2,0.637
SINGAPORE JOURNAL OF TROPICAL GEOGRAPHY,SINGAPORE J TROP GEO,0129-7619,1467-9493,2.2,0.664
SINGAPORE MEDICAL JOURNAL,SINGAP MED J,0037-5675,N/A,2.7,0.587
SINN UND FORM,SINN FORM,0037-5756,N/A,0.1,0.002
SINO-CHRISTIAN STUDIES,SINO-CHRIST STUD,1990-2670,2224-6606,0.1,0.079
SINTAGMA,SINTAGMA,0214-9141,2013-6455,0.3,0.224
SKELETAL MUSCLE,SKELET MUSCLE,2044-5040,2044-5040,4.9,1.33
SKELETAL RADIOLOGY,SKELETAL RADIOL,0364-2348,1432-2161,2.1,0.512
SKIN RESEARCH AND TECHNOLOGY,SKIN RES TECHNOL,0909-752X,1600-0846,2.2,0.446
SLAVERY & ABOLITION,SLAVERY ABOLIT,0144-039X,1743-9523,0.7,0.788
SLAVIC AND EAST EUROPEAN JOURNAL,SLAVIC E EUR J,0037-6752,0037-6752,0.1,0.248
SLAVIC REVIEW,SLAVIC REV,0037-6779,2325-7784,0.9,1.111
SLAVONIC AND EAST EUROPEAN REVIEW,SLAVON E EUR REV,0037-6795,2222-4327,0.3,0.457
SLEEP,SLEEP,0161-8105,1550-9109,5.6,1.867
SLEEP AND BIOLOGICAL RHYTHMS,SLEEP BIOL RHYTHMS,1446-9235,1479-8425,1.1,0.275
SLEEP AND BREATHING,SLEEP BREATH,1520-9512,1522-1709,2.5,0.678
SLEEP MEDICINE,SLEEP MED,1389-9457,1878-5506,4.8,1.239
SLEEP MEDICINE REVIEWS,SLEEP MED REV,1087-0792,1532-2955,10.5,4.067
SLOVENIAN VETERINARY RESEARCH,SLOV VET RES,1580-4003,N/A,0.1,0.113
SLOVO,SLOVO-LONDON,0954-6839,N/A,0.1,0.254
SMALL,SMALL,1613-6810,1613-6829,13.3,2.537
SMALL BUSINESS ECONOMICS,SMALL BUS ECON,0921-898X,1573-0913,6.4,1.67
SMALL GROUP RESEARCH,SMALL GR RES,1046-4964,1552-8278,3.7,0.996
SMALL RUMINANT RESEARCH,SMALL RUMINANT RES,0921-4488,1879-0941,1.8,0.281
SMALL-SCALE FORESTRY,SMALL-SCALE FOR,1873-7617,1873-7854,1.5,0.34
SMART STRUCTURES AND SYSTEMS,SMART STRUCT SYST,1738-1584,1738-1991,3.5,0.466
SMITH COLLEGE STUDIES IN SOCIAL WORK,SMITH COLL STUD SOC,0037-7317,1553-0426,1,0.251
SOBORNOST INCORPORATING EASTERN CHURCHES REVIEW,SOBORNOST E CHURCH R,0144-8722,N/A,0.1,0.055
SOCIAL & CULTURAL GEOGRAPHY,SOC CULT GEOGR,1464-9365,1470-1197,2.5,0.974
SOCIAL & LEGAL STUDIES,SOC LEGAL STUD,0964-6639,1461-7390,1.6,0.681
SOCIAL ALTERNATIVES,SOC ALTERNATIVES,0155-0306,1836-660,0.3,0.11
SOCIAL BEHAVIOR AND PERSONALITY,SOC BEHAV PERSONAL,0301-2212,1179-6391,1.3,0.332
SOCIAL CHOICE AND WELFARE,SOC CHOICE WELFARE,0176-1714,1432-217X,0.9,0.614
SOCIAL COGNITION,SOC COGNITION,0278-016X,N/A,1.9,1.26
SOCIAL COGNITIVE AND AFFECTIVE NEUROSCIENCE,SOC COGN AFFECT NEUR,1749-5016,1749-5024,4.2,1.592
SOCIAL COMPASS,SOC COMPASS,0037-7686,1461-7404,0.9,0.517
SOCIAL DEVELOPMENT,SOC DEV,0961-205X,1467-9507,2,0.775
SOCIAL DYNAMICS-A JOURNAL OF AFRICAN STUDIES,SOC DYNAMICS,0253-3952,1940-7874,0.5,0.443
SOCIAL EPISTEMOLOGY,SOC EPISTEMOL,0269-1728,1464-5297,1.7,1.003
SOCIAL FORCES,SOC FORCES,0037-7732,1534-7605,4.8,2.746
SOCIAL HISTORY,SOC HIST,0307-1022,1470-1200,1,1.209
SOCIAL HISTORY OF MEDICINE,SOC HIST MED,0951-631X,1477-4666,0.7,0.807
SOCIAL INDICATORS RESEARCH,SOC INDIC RES,0303-8300,1573-0921,3.1,0.785
SOCIAL INFLUENCE,SOC INFLUENCE,1553-4510,1553-4529,1.7,0.831
SOCIAL ISSUES AND POLICY REVIEW,SOC ISS POLICY REV,1751-2395,1751-2409,9.4,4.386
SOCIAL JUSTICE RESEARCH,SOC JUSTICE RES,0885-7466,1573-6725,2.3,0.735
SOCIAL MOVEMENT STUDIES,SOC MOVEMENT STUD,1474-2837,1474-2829,3.1,1.523
SOCIAL NETWORKS,SOC NETWORKS,0378-8733,1879-2111,3.1,1.496
SOCIAL PHILOSOPHY & POLICY,SOC PHILOS POLICY,0265-0525,1471-6437,0.4,0.569
SOCIAL POLICY & ADMINISTRATION,SOC POLICY ADMIN,0144-5596,1467-9515,3.2,0.998
SOCIAL POLITICS,SOC POLIT,1072-4745,1468-2893,1.9,1.058
SOCIAL PROBLEMS,SOC PROBL,0037-7791,1533-8533,3.2,2.04
SOCIAL PSYCHIATRY AND PSYCHIATRIC EPIDEMIOLOGY,SOC PSYCH PSYCH EPID,0933-7954,1433-9285,4.4,1.711
SOCIAL PSYCHOLOGICAL AND PERSONALITY SCIENCE,SOC PSYCHOL PERS SCI,1948-5506,1948-5514,5.7,2.821
SOCIAL PSYCHOLOGY OF EDUCATION,SOC PSYCHOL EDUC,1381-2890,1573-1928,2.9,1.056
SOCIAL PSYCHOLOGY QUARTERLY,SOC PSYCHOL QUART,0190-2725,1939-8999,2.7,1.345
SOCIAL RESEARCH,SOC RES,0037-783X,0037-783X,0.4,0.405
SOCIAL SCIENCE & MEDICINE,SOC SCI MED,0277-9536,1873-5347,5.4,2.018
SOCIAL SCIENCE COMPUTER REVIEW,SOC SCI COMPUT REV,0894-4393,1552-8286,4.1,1.702
SOCIAL SCIENCE HISTORY,SOC SCI HIST,0145-5532,1527-8034,0.8,0.742
SOCIAL SCIENCE INFORMATION SUR LES SCIENCES SOCIALES,SOC SCI INFORM,0539-0184,1461-7412,1.1,0.555
SOCIAL SCIENCE JAPAN JOURNAL,SOC SCI JPN J,1369-1465,1468-2680,1.1,0.555
SOCIAL SCIENCE JOURNAL,SOC SCI J,0362-3319,1873-5355,1.9,0.578
SOCIAL SCIENCE QUARTERLY,SOC SCI QUART,0038-4941,1540-6237,1.9,0.756
SOCIAL SCIENCE RESEARCH,SOC SCI RES,0049-089X,1096-0317,2.5,1.262
SOCIAL SEMIOTICS,SOC SEMIOT,1035-0330,1470-1219,2,0.954
SOCIAL SERVICE REVIEW,SOC SERV REV,0037-7961,1537-5404,2,1.02
SOCIAL STUDIES OF SCIENCE,SOC STUD SCI,0306-3127,1460-3659,3,1.924
SOCIAL THEORY & HEALTH,SOC THEOR HEALTH,1477-8211,1477-822X,1.6,0.691
SOCIAL WORK,SOC WORK,0037-8046,1545-6846,2.9,0.909
SOCIAL WORK IN HEALTH CARE,SOC WORK HEALTH CARE,0098-1389,1541-034X,2.2,0.548
SOCIAL WORK IN PUBLIC HEALTH,SOC WORK PUBLIC HLTH,1937-1918,1937-190X,2.5,0.505
SOCIAL WORK RESEARCH,SOC WORK RES,1070-5309,1545-6838,1.7,0.701
SOCIETES,SOCIETES,0765-3697,1782-155X,0.1,0.012
SOCIETY,SOCIETY,0147-2011,1936-4725,0.9,0.289
SOCIETY & ANIMALS,SOC ANIM,1063-1119,1568-5306,0.8,0.285
SOCIETY & NATURAL RESOURCES,SOC NATUR RESOUR,0894-1920,1521-0723,2.5,0.72
SOCIETY AND MENTAL HEALTH,SOC MENT HEALTH,2156-8693,2156-8731,5.1,1.54
SOCIOBIOLOGY,SOCIOBIOLOGY,0361-6525,N/A,0.9,0.229
SOCIO-ECONOMIC REVIEW,SOCIO-ECON REV,1475-1461,1475-147X,3.7,2.221
SOCIOLOGIA RURALIS,SOCIOL RURALIS,0038-0199,1467-9523,4.1,0.918
SOCIOLOGICAL FORUM,SOCIOL FORUM,0884-8971,1573-7861,1.8,1.049
SOCIOLOGICAL INQUIRY,SOCIOL INQ,0038-0245,1475-682X,1.9,0.862
SOCIOLOGICAL METHODS & RESEARCH,SOCIOL METHOD RES,0049-1241,1552-8294,6.3,2.879
SOCIOLOGICAL PERSPECTIVES,SOCIOL PERSPECT,0731-1214,1533-8673,2.4,1.215
SOCIOLOGICAL QUARTERLY,SOCIOL QUART,0038-0253,1533-8525,1.2,0
SOCIOLOGICAL RESEARCH ONLINE,SOCIOL RES ONLINE,1360-7804,1360-7804,1.6,0.758
SOCIOLOGICAL REVIEW,SOCIOL REV,0038-0261,1467-954X,2.5,1.534
SOCIOLOGICAL SPECTRUM,SOCIOL SPECTRUM,0273-2173,1521-0707,1.8,0.677
SOCIOLOGICAL THEORY,SOCIOL THEOR,0735-2751,1467-9558,4.4,3.056
SOCIOLOGICKY CASOPIS-CZECH SOCIOLOGICAL REVIEW,SOCIOL CAS,0038-0288,2336-128X,0.4,0.137
SOCIOLOGIE DU TRAVAIL,SOCIOL TRAV,0038-0296,1777-5701,0.2,0.182
SOCIOLOGISK FORSKNING,SOCIOL FORSKNIN,0038-0342,0038-0342,0.4,0.281
SOCIOLOGUS,SOCIOLOGUS,0038-0377,1865-5106,0.1,0.152
SOCIOLOGY OF EDUCATION,SOCIOL EDUC,0038-0407,1939-8573,3.9,3.232
SOCIOLOGY OF HEALTH & ILLNESS,SOCIOL HEALTH ILL,0141-9889,1467-9566,2.9,1.055
SOCIOLOGY OF RELIGION,SOCIOL RELIG,1069-4404,1759-8818,3.1,1.99
SOCIOLOGY OF SPORT JOURNAL,SOCIOL SPORT J,0741-1235,1543-2785,1.7,0.604
SOCIOLOGY-THE JOURNAL OF THE BRITISH SOCIOLOGICAL ASSOCIATION,SOCIOLOGY,0038-0385,1469-8684,2.9,1.69
SOFT COMPUTING,SOFT COMPUT,1432-7643,1433-7479,4.1,0.567
SOFT MATERIALS,SOFT MATER,1539-445X,1539-4468,1.2,0.233
SOFT MATTER,SOFT MATTER,1744-683X,1744-6848,3.4,0.837
SOFT ROBOTICS,SOFT ROBOT,2169-5172,2169-5180,7.9,2.257
SOFTWARE AND SYSTEMS MODELING,SOFTW SYST MODEL,1619-1366,1619-1374,2,0.364
SOFTWARE QUALITY JOURNAL,SOFTWARE QUAL J,0963-9314,1573-1367,1.9,0.378
SOFTWARE-PRACTICE & EXPERIENCE,SOFTWARE PRACT EXPER,0038-0644,1097-024X,3.5,0.457
SOIL & ENVIRONMENT,SOIL ENVIRONM,2074-9546,2074-9546,0.6,0.115
SOIL & SEDIMENT CONTAMINATION,SOIL SEDIMENT CONTAM,1532-0383,1549-7887,2,0.277
SOIL & TILLAGE RESEARCH,SOIL TILL RES,0167-1987,1879-3444,6.5,1.142
SOIL AND WATER RESEARCH,SOIL WATER RES,1801-5395,1805-9384,2.3,0.313
SOIL BIOLOGY & BIOCHEMISTRY,SOIL BIOL BIOCHEM,0038-0717,1879-3428,9.7,1.989
SOIL DYNAMICS AND EARTHQUAKE ENGINEERING,SOIL DYN EARTHQ ENG,0267-7261,1879-341X,4,0.879
SOIL RESEARCH,SOIL RES,1838-675X,1838-6768,1.6,0.364
SOIL SCIENCE AND PLANT NUTRITION,SOIL SCI PLANT NUTR,0038-0768,1747-0765,2,0.369
SOIL SCIENCE SOCIETY OF AMERICA JOURNAL,SOIL SCI SOC AM J,0361-5995,1435-0661,2.9,0.633
SOIL USE AND MANAGEMENT,SOIL USE MANAGE,0266-0032,1475-2743,3.8,0.483
SOILS AND FOUNDATIONS,SOILS FOUND,0038-0806,2524-1788,3.7,0.89
SOLA,SOLA,1349-6476,1349-6476,1.9,0.674
SOLAR ENERGY,SOL ENERGY,0038-092X,1471-1257,6.7,0.955
