JournalFullName,Journal,ISSN,2021IF,2021AI
Nordic Studies on Alcohol and Drugs,NORD STUD ALCOHOL DR,1455-0725,1.443,0.368
Noropsikiyatri Arsivi-Archives of Neuropsychiatry,NOROPSIKIYATRI ARS,1300-0667,1.066,0.351
Norsk Geografisk Tidsskrift-Norwegian Journal of Geography,NORSK GEOGR TIDSSKR,0029-1951,1.977,0.441
NORTH AMERICAN JOURNAL OF AQUACULTURE,N AM J AQUACULT,1522-2055,1.977,0.232
North American Journal of Economics and Finance,N AM J ECON FINANC,1062-9408,3.136,0.529
NORTH AMERICAN JOURNAL OF FISHERIES MANAGEMENT,N AM J FISH MANAGE,0275-5947,1.696,0.381
North-Western Journal of Zoology,NORTH-WEST J ZOOL,1584-9074,0.778,0.173
NORTHEASTERN NATURALIST,NORTHEAST NAT,1092-6194,0.486,0.22
NORTHERN HISTORY,NORTHERN HIST,0078-172X,0.115,0.144
NORTHWEST SCIENCE,NORTHWEST SCI,0029-344X,0.8,0.229
Northwestern Journal of International Law & Business,NW J INT LAW BUS,0196-3228,0.7,0.456
NORTHWESTERN UNIVERSITY LAW REVIEW,NORTHWEST U LAW REV,0029-3571,2.438,1.579
NORWEGIAN JOURNAL OF GEOLOGY,NORW J GEOL,2387-5844,1.426,0.459
NOTA LEPIDOPTEROLOGICA,NOTA LEPIDOPTEROLOGI,0342-7536,0.775,0.227
Notarzt,NOTARZT,0177-2309,0.611,0.054
Notes and Records-The Royal Society Journal of the History of Science,NOTES REC,0035-9149,0.88,0.489
Notfall & Rettungsmedizin,NOTFALL RETTUNGSMED,1434-6222,0.892,0.078
NOTORNIS,NOTORNIS,0029-4470,0.5,0.114
Notre Dame Journal of Formal Logic,NOTRE DAME J FORM L,0029-4527,0.652,0.554
NOTRE DAME LAW REVIEW,NOTRE DAME LAW REV,0745-3515,0.897,0.854
Notulae Botanicae Horti Agrobotanici Cluj-Napoca,NOT BOT HORTI AGROBO,0255-965X,1.249,0.186
NOVA HEDWIGIA,NOVA HEDWIGIA,0029-5035,1.254,0.278
NOVON,NOVON,1055-3177,0.53,0.157
NPG Asia Materials,NPG ASIA MATER,1884-4049,10.761,2.089
npj 2D Materials and Applications,NPJ 2D MATER APPL,2397-7132,10.516,2.99
npj Biofilms and Microbiomes,NPJ BIOFILMS MICROBI,2055-5008,8.462,2.117
npj Breast Cancer,NPJ BREAST CANCER,2374-4677,7.519,2.652
npj Clean Water,NPJ CLEAN WATER,2059-7037,12.19,2.393
npj Climate and Atmospheric Science,NPJ CLIM ATMOS SCI,2397-3722,9.448,3.527
npj Computational Materials,NPJ COMPUT MATER,2057-3960,12.256,3.697
npj Digital Medicine,NPJ DIGIT MED,2398-6352,15.357,4.533
npj Flexible Electronics,NPJ FLEX ELECTRON,2397-4621,12.019,2.602
npj Genomic Medicine,NPJ GENOM MED,2056-7944,6.083,2.323
npj Materials Degradation,NPJ MAT DEGRAD,2397-2106,6.889,1.546
NPJ Microgravity,NPJ MICROGRAVITY,2373-8065,4.97,1.041
npj Parkinsons Disease,NPJ PARKINSONS DIS,2373-8057,9.304,2.3
npj Precision Oncology,NPJ PRECIS ONCOL,2397-768X,10.092,2.578
npj Primary Care Respiratory Medicine,NPJ PRIM CARE RESP M,2055-1010,3.289,0.961
npj Quantum Information,NPJ QUANTUM INFORM,2056-6387,10.758,3.981
npj Quantum Materials,NPJ QUANTUM MATER,2397-4648,6.856,2.774
npj Regenerative Medicine,NPJ REGEN MED,2057-3995,14.404,2.815
npj Schizophrenia,NPJ SCHIZOPHR,2334-265X,4.966,1.591
npj Science of Food,NPJ SCI FOOD,2396-8370,7,1.492
npj Science of Learning,NPJ SCI LEARN,2056-7936,5.513,N/A
npj Systems Biology and Applications,NPJ SYST BIOL APPL,2056-7189,4.671,1.48
npj Vaccines,NPJ VACCINES,2059-0105,9.399,2.896
NUCLEAR DATA SHEETS,NUCL DATA SHEETS,0090-3752,6.485,3.498
NUCLEAR ENGINEERING AND DESIGN,NUCL ENG DES,0029-5493,1.9,0.428
Nuclear Engineering and Technology,NUCL ENG TECHNOL,1738-5733,2.817,0.546
NUCLEAR ENGINEERING INTERNATIONAL,NUCL ENG INT,0029-5507,0.177,0.041
NUCLEAR FUSION,NUCL FUSION,0029-5515,4.215,1.009
NUCLEAR INSTRUMENTS & METHODS IN PHYSICS RESEARCH SECTION A-ACCELERATORS SPECTROMETERS DETECTORS AND ASSOCIATED EQUIPMENT,NUCL INSTRUM METH A,0168-9002,1.335,0.387
NUCLEAR INSTRUMENTS & METHODS IN PHYSICS RESEARCH SECTION B-BEAM INTERACTIONS WITH MATERIALS AND ATOMS,NUCL INSTRUM METH B,0168-583X,1.279,0.289
Nuclear Materials and Energy,NUCL MATER ENERGY,2352-1791,3.037,0.799
NUCLEAR MEDICINE AND BIOLOGY,NUCL MED BIOL,0969-8051,2.947,0.496
NUCLEAR MEDICINE COMMUNICATIONS,NUCL MED COMMUN,0143-3636,1.698,0.342
NUCLEAR PHYSICS A,NUCL PHYS A,0375-9474,1.558,0.405
NUCLEAR PHYSICS B,NUCL PHYS B,0550-3213,3.045,0.882
NUCLEAR SCIENCE AND ENGINEERING,NUCL SCI ENG,0029-5639,1.46,0.406
Nuclear Science and Techniques,NUCL SCI TECH,1001-8042,2.389,0.412
NUCLEAR TECHNOLOGY,NUCL TECHNOL,0029-5450,1.667,0.402
Nuclear Technology & Radiation Protection,NUCL TECHNOL RADIAT,1451-3994,0.945,0.08
Nucleic Acid Therapeutics,NUCLEIC ACID THER,2159-3337,4.244,1.364
NUCLEIC ACIDS RESEARCH,NUCLEIC ACIDS RES,0305-1048,19.16,5.507
NUCLEOSIDES NUCLEOTIDES & NUCLEIC ACIDS,NUCLEOS NUCLEOT NUCL,1525-7770,1.449,0.235
Nucleus,NUCLEUS-PHILA,1949-1034,4.59,1.153
NUKLEARMEDIZIN-NUCLEAR MEDICINE,NUKLEARMED-NUCL MED,0029-5566,2.221,0.291
NUKLEONIKA,NUKLEONIKA,0029-5922,1.154,0.187
NUMERICAL ALGORITHMS,NUMER ALGORITHMS,1017-1398,2.37,0.77
NUMERICAL FUNCTIONAL ANALYSIS AND OPTIMIZATION,NUMER FUNC ANAL OPT,0163-0563,1.418,0.448
NUMERICAL HEAT TRANSFER PART A-APPLICATIONS,NUMER HEAT TR A-APPL,1040-7782,2.569,0.435
NUMERICAL HEAT TRANSFER PART B-FUNDAMENTALS,NUMER HEAT TR B-FUND,1040-7790,1.378,0.296
NUMERICAL LINEAR ALGEBRA WITH APPLICATIONS,NUMER LINEAR ALGEBR,1070-5325,2.138,0.894
Numerical Mathematics-Theory Methods and Applications,NUMER MATH-THEORY ME,1004-8979,1.524,0.353
NUMERICAL METHODS FOR PARTIAL DIFFERENTIAL EQUATIONS,NUMER METH PART D E,0749-159X,3.568,0.651
NUMERISCHE MATHEMATIK,NUMER MATH,0029-599X,2.5,1.544
Nuncius-Journal of the History of Science,NUNCIUS,0394-7394,0.188,0.372
Nurse Education in Practice,NURSE EDUC PRACT,1471-5953,3.43,0.614
NURSE EDUCATION TODAY,NURS EDUC TODAY,0260-6917,3.906,0.793
Nurse Educator,NURS EDUC,0363-3624,2.518,0.495
Nursing & Health Sciences,NURS HEALTH SCI,1441-0745,2.214,0.436
NURSING CLINICS OF NORTH AMERICA,NURS CLIN N AM,0029-6465,1.617,0.385
NURSING ECONOMICS,NURS ECON,0746-1739,1.193,0.248
NURSING ETHICS,NURS ETHICS,0969-7330,3.344,0.621
Nursing in Critical Care,NURS CRIT CARE,1362-1017,2.897,0.57
Nursing Inquiry,NURS INQ,1320-7881,2.658,0.599
Nursing Open,NURS OPEN,2054-1058,1.942,0.406
NURSING OUTLOOK,NURS OUTLOOK,0029-6554,3.315,0.78
Nursing Philosophy,NURS PHILOS,1466-7681,1.8,0.383
NURSING RESEARCH,NURS RES,0029-6562,2.364,0.717
NURSING SCIENCE QUARTERLY,NURS SCI QUART,0894-3184,0.833,0.181
Nutricion Hospitalaria,NUTR HOSP,0212-1611,1.169,0.226
NUTRIENT CYCLING IN AGROECOSYSTEMS,NUTR CYCL AGROECOSYS,1385-1314,3.866,0.791
Nutrients,NUTRIENTS,2072-6643,6.706,1.125
NUTRITION,NUTRITION,0899-9007,4.893,0.88
Nutrition & Diabetes,NUTR DIABETES,2044-4052,4.725,1.161
Nutrition & Dietetics,NUTR DIET,1446-6368,2.859,0.443
Nutrition & Metabolism,NUTR METAB,1743-7075,4.654,0.967
NUTRITION AND CANCER-AN INTERNATIONAL JOURNAL,NUTR CANCER,0163-5581,2.816,0.49
NUTRITION BULLETIN,NUTR BULL,1471-9827,3.737,0.59
Nutrition Clinique et Metabolisme,NUTR CLIN METAB,0985-0562,0.704,0.069
NUTRITION IN CLINICAL PRACTICE,NUTR CLIN PRACT,0884-5336,3.204,0.693
Nutrition Journal,NUTR J,1475-2891,4.344,1.061
NUTRITION METABOLISM AND CARDIOVASCULAR DISEASES,NUTR METAB CARDIOVAS,0939-4753,4.666,0.957
NUTRITION RESEARCH,NUTR RES,0271-5317,3.876,0.673
Nutrition Research and Practice,NUTR RES PRACT,1976-1457,1.992,0.339
NUTRITION RESEARCH REVIEWS,NUTR RES REV,0954-4224,8.146,1.96
NUTRITION REVIEWS,NUTR REV,0029-6643,6.846,1.82
NUTRITIONAL NEUROSCIENCE,NUTR NEUROSCI,1028-415X,4.062,0.663
NWIG-New West Indian Guide-Nieuwe West-Indische Gids,NWIG-NEW W INDIAN GU,1382-2373,0.063,0.225
Obesity,OBESITY,1930-7381,9.298,1.911
Obesity Facts,OBESITY FACTS,1662-4025,4.807,1.372
Obesity Research & Clinical Practice,OBES RES CLIN PRACT,1871-403X,5.214,0.868
Obesity Reviews,OBES REV,1467-7881,10.867,3.204
OBESITY SURGERY,OBES SURG,0960-8923,3.479,0.813
OBSERVATORY,OBSERVATORY,0029-7704,1.857,0.095
OBSTETRICAL & GYNECOLOGICAL SURVEY,OBSTET GYNECOL SURV,0029-7828,3.015,0.895
OBSTETRICS AND GYNECOLOGY,OBSTET GYNECOL,0029-7844,7.623,2.943
OBSTETRICS AND GYNECOLOGY CLINICS OF NORTH AMERICA,OBSTET GYN CLIN N AM,0889-8545,2.838,1.024
OCCUPATIONAL AND ENVIRONMENTAL MEDICINE,OCCUP ENVIRON MED,1351-0711,4.948,1.384
OCCUPATIONAL MEDICINE-OXFORD,OCCUP MED-OXFORD,0962-7480,5.629,0.969
Occupational Therapy International,OCCUP THER INT,0966-7903,1.565,0.427
OCEAN & COASTAL MANAGEMENT,OCEAN COAST MANAGE,0964-5691,4.295,0.712
Ocean and Coastal Research,OCEAN COAST RES,2675-2824,0.885,0.157
OCEAN DEVELOPMENT AND INTERNATIONAL LAW,OCEAN DEV INT LAW,0090-8320,1.278,0.325
OCEAN DYNAMICS,OCEAN DYNAM,1616-7341,2.83,0.67
OCEAN ENGINEERING,OCEAN ENG,0029-8018,4.372,0.69
OCEAN MODELLING,OCEAN MODEL,1463-5003,3.293,1.315
Ocean Science,OCEAN SCI,1812-0784,4.311,1.179
Ocean Science Journal,OCEAN SCI J,1738-5261,1.042,0.215
OCEANIA,OCEANIA,0029-8077,1.167,0.489
OCEANOGRAPHY,OCEANOGRAPHY,1042-8275,2.158,1.284
Oceanography and Marine Biology,OCEANOGR MAR BIOL,0078-3218,6,1.915
OCEANOLOGIA,OCEANOLOGIA,0078-3234,2.526,0.536
OCEANOLOGICAL AND HYDROBIOLOGICAL STUDIES,OCEANOL HYDROBIOL ST,1730-413X,0.829,0.157
OCEANOLOGY,OCEANOLOGY+,0001-4370,0.942,0.204
OCULAR IMMUNOLOGY AND INFLAMMATION,OCUL IMMUNOL INFLAMM,0927-3948,3.728,0.772
Ocular Surface,OCUL SURF,1542-0124,6.268,2.056
ODONATOLOGICA,ODONATOLOGICA,0375-0183,0.514,0.117
Odontology,ODONTOLOGY,1618-1247,2.885,0.484
OECOLOGIA,OECOLOGIA,0029-8549,3.298,0.93
Oeconomia Copernicana,OECON COPERNIC,2083-1277,6.574,0.367
OENO One,OENO ONE,2494-1271,3,0.453
OFIOLITI,OFIOLITI,0391-2612,1.538,0.414
OIKOS,OIKOS,0030-1299,4.254,1.114
OIL & GAS JOURNAL,OIL GAS J,0030-1388,0.061,0.009
Oil & Gas Science and Technology-Revue d IFP Energies nouvelles,OIL GAS SCI TECHNOL,1294-4475,2.189,0.342
OIL SHALE,OIL SHALE,0208-189X,1.442,0.167
OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE,OMEGA-INT J MANAGE S,0305-0483,8.673,1.607
OMEGA-JOURNAL OF DEATH AND DYING,OMEGA-J DEATH DYING,0030-2228,2.602,0.589
OMICS-A JOURNAL OF INTEGRATIVE BIOLOGY,OMICS,1536-2310,3.978,0.612
ONCOGENE,ONCOGENE,0950-9232,8.756,1.932
Oncogenesis,ONCOGENESIS,2157-9024,6.524,1.528
OncoImmunology,ONCOIMMUNOLOGY,2162-402X,7.723,1.794
Oncologie,ONCOLOGIE,1292-3818,0.9,0.044
ONCOLOGY,ONCOLOGY-BASEL,0030-2414,3.734,0.724
Oncology Letters,ONCOL LETT,1792-1074,3.111,0.446
ONCOLOGY NURSING FORUM,ONCOL NURS FORUM,0190-535X,1.803,0.616
ONCOLOGY REPORTS,ONCOL REP,1021-335X,4.136,0.631
ONCOLOGY RESEARCH,ONCOL RES,0965-0407,4.938,0.71
Oncology Research and Treatment,ONCOL RES TREAT,2296-5270,2.844,0.655
ONCOLOGY-NEW YORK,ONCOLOGY-NY,0890-9091,2.533,0.743
OncoTargets and Therapy,ONCOTARGETS THER,1178-6930,4.345,0.629
ONDERSTEPOORT JOURNAL OF VETERINARY RESEARCH,ONDERSTEPOORT J VET,0030-2465,1.982,0.397
One Health,ONE HEALTH-AMSTERDAM,2352-7714,9,1.751
Onkologe,ONKOLOGE,0947-8965,0.17,0.032
ONLINE INFORMATION REVIEW,ONLINE INFORM REV,1468-4527,2.901,0.623
Onomazein,ONOMAZEIN,0717-1285,0.231,0.171
Open Astronomy,OPEN ASTRON,2543-6376,0.935,0.225
Open Biology,OPEN BIOL,2046-2441,7.124,1.812
Open Chemistry,OPEN CHEM,2391-5420,1.977,0.263
OPEN ECONOMIES REVIEW,OPEN ECON REV,0923-7992,1.173,0.44
Open Forum Infectious Diseases,OPEN FORUM INFECT DI,2328-8957,4.423,1.445
Open Geosciences,OPEN GEOSCI,2391-5447,1.467,0.284
Open House International,OPEN HOUSE INT,0168-2601,0.545,0.062
Open Life Sciences,OPEN LIFE SCI,2391-5412,1.311,0.173
Open Mathematics,OPEN MATH,2391-5455,0.979,0.304
Open Medicine,OPEN MED-WARSAW,2391-5463,2.123,0.347
Open Physics,OPEN PHYS,2391-5471,1.361,0.2
OPEN SYSTEMS & INFORMATION DYNAMICS,OPEN SYST INF DYN,1230-1612,0.571,0.405
Operational Research,OPER RES-GER,1109-2858,2.708,0.436
Operations Management Research,OPER MANAGE RES,1936-9735,7.032,0.855
OPERATIONS RESEARCH,OPER RES,0030-364X,3.924,2.362
OPERATIONS RESEARCH LETTERS,OPER RES LETT,0167-6377,1.151,0.598
OPERATIVE DENTISTRY,OPER DENT,0361-7734,2.937,0.686
Operative Neurosurgery,OPER NEUROSURG,2332-4252,2.817,0.761
Operative Orthopadie und Traumatologie,OPER ORTHOP TRAUMATO,0934-6694,1.286,0.252
OPERATIVE TECHNIQUES IN SPORTS MEDICINE,OPER TECHN SPORT MED,1060-1872,0.318,0.137
Operators and Matrices,OPER MATRICES,1846-3886,0.59,0.377
OPHTHALMIC AND PHYSIOLOGICAL OPTICS,OPHTHAL PHYSL OPT,0275-5408,3.992,0.948
OPHTHALMIC GENETICS,OPHTHALMIC GENET,1381-6810,1.274,0.373
OPHTHALMIC PLASTIC AND RECONSTRUCTIVE SURGERY,OPHTHAL PLAST RECONS,0740-9303,2.011,0.407
OPHTHALMIC RESEARCH,OPHTHALMIC RES,0030-3747,3.031,0.594
Ophthalmic Surgery Lasers & Imaging Retina,OSLI RETINA,2325-8160,1.296,0.414
OPHTHALMOLOGE,OPHTHALMOLOGE,0941-293X,1.174,0.18
OPHTHALMOLOGICA,OPHTHALMOLOGICA,0030-3755,3.757,0.784
OPHTHALMOLOGY,OPHTHALMOLOGY,0161-6420,14.277,3.837
Ophthalmology and Therapy,OPHTHALMOL THER,2193-8245,4.927,1.034
Optica,OPTICA,2334-2536,10.644,3.644
OPTICA APPLICATA,OPT APPL,0078-5466,0.505,0.098
OPTICAL AND QUANTUM ELECTRONICS,OPT QUANT ELECTRON,0306-8919,2.794,0.284
OPTICAL ENGINEERING,OPT ENG,0091-3286,1.352,0.215
OPTICAL FIBER TECHNOLOGY,OPT FIBER TECHNOL,1068-5200,2.8,0.425
OPTICAL MATERIALS,OPT MATER,0925-3467,3.754,0.427
Optical Materials Express,OPT MATER EXPRESS,2159-3930,3.074,0.563
OPTICAL REVIEW,OPT REV,1340-6000,1.047,0.187
Optical Switching and Networking,OPT SWITCH NETW,1573-4277,1.828,0.339
OPTICS AND LASER TECHNOLOGY,OPT LASER TECHNOL,0030-3992,4.939,0.666
OPTICS AND LASERS IN ENGINEERING,OPT LASER ENG,0143-8166,5.666,0.872
OPTICS AND SPECTROSCOPY,OPT SPECTROSC+,0030-400X,0.74,0.118
OPTICS COMMUNICATIONS,OPT COMMUN,0030-4018,2.335,0.354
OPTICS EXPRESS,OPT EXPRESS,1094-4087,3.833,0.779
OPTICS LETTERS,OPT LETT,0146-9592,3.56,0.809
OPTIK,OPTIK,0030-4026,2.84,0.287
OPTIMAL CONTROL APPLICATIONS & METHODS,OPTIM CONTR APPL MET,0143-2087,1.955,0.418
OPTIMIZATION,OPTIMIZATION,0233-1934,2.456,0.745
OPTIMIZATION AND ENGINEERING,OPTIM ENG,1389-4420,2.619,0.752
Optimization Letters,OPTIM LETT,1862-4472,1.529,0.609
OPTIMIZATION METHODS & SOFTWARE,OPTIM METHOD SOFTW,1055-6788,1.832,0.897
Opto-Electronic Advances,OPTO-ELECTRON ADV,2096-4579,8.933,1.706
OPTO-ELECTRONICS REVIEW,OPTO-ELECTRON REV,1230-3402,2.227,0.328
Optoelectronics and Advanced Materials-Rapid Communications,OPTOELECTRON ADV MAT,1842-6573,0.556,0.043
OPTOMETRY AND VISION SCIENCE,OPTOMETRY VISION SCI,1040-5488,2.106,0.547
OR SPECTRUM,OR SPECTRUM,0171-6468,2.474,0.727
Oral and Maxillofacial Surgery Clinics of North America,ORAL MAXIL SURG CLIN,1042-3699,3.13,0.679
ORAL DISEASES,ORAL DIS,1354-523X,4.068,0.763
Oral Health & Preventive Dentistry,ORAL HLTH PREV DENT,1602-1622,1.595,0.304
Oral History Review,ORAL HIST REV,0094-0798,1,0.987
ORAL ONCOLOGY,ORAL ONCOL,1368-8375,5.972,1.362
Oral Radiology,ORAL RADIOL,0911-6028,1.882,0.317
Oral Surgery Oral Medicine Oral Pathology Oral Radiology,OR SURG OR MED OR PA,2212-4403,2.538,0.587
ORDER-A JOURNAL ON THE THEORY OF ORDERED SETS AND ITS APPLICATIONS,ORDER,0167-8094,0.558,0.422
ORE GEOLOGY REVIEWS,ORE GEOL REV,0169-1368,3.714,0.747
ORGANIC & BIOMOLECULAR CHEMISTRY,ORG BIOMOL CHEM,1477-0520,3.89,0.657
Organic Chemistry Frontiers,ORG CHEM FRONT,2052-4129,5.456,0.942
ORGANIC ELECTRONICS,ORG ELECTRON,1566-1199,3.868,0.512
ORGANIC GEOCHEMISTRY,ORG GEOCHEM,0146-6380,3.623,1.122
ORGANIC LETTERS,ORG LETT,1523-7060,6.072,1.073
ORGANIC PREPARATIONS AND PROCEDURES INTERNATIONAL,ORG PREP PROCED INT,0030-4948,1.184,0.175
ORGANIC PROCESS RESEARCH & DEVELOPMENT,ORG PROCESS RES DEV,1083-6160,3.858,0.7
ORGANISMS DIVERSITY & EVOLUTION,ORG DIVERS EVOL,1439-6092,2.663,0.726
ORGANIZATION,ORGANIZATION,1350-5084,3.301,1.502
ORGANIZATION & ENVIRONMENT,ORGAN ENVIRON,1086-0266,5.299,1.589
ORGANIZATION SCIENCE,ORGAN SCI,1047-7039,5.152,4.183
ORGANIZATION STUDIES,ORGAN STUD,0170-8406,5.524,2.516
ORGANIZATIONAL BEHAVIOR AND HUMAN DECISION PROCESSES,ORGAN BEHAV HUM DEC,0749-5978,5.606,3.054
ORGANIZATIONAL DYNAMICS,ORGAN DYN,0090-2616,1.133,0.719
Organizational Psychology Review,ORGAN PSYCHOL REV,2041-3866,5.6,2.586
ORGANIZATIONAL RESEARCH METHODS,ORGAN RES METHODS,1094-4281,8.247,4.843
Organogenesis,ORGANOGENESIS,1547-6278,2.316,0.439
ORGANOMETALLICS,ORGANOMETALLICS,0276-7333,3.837,0.717
ORIENTAL INSECTS,ORIENT INSECTS,0030-5316,0.454,0.117
ORIGINS OF LIFE AND EVOLUTION OF BIOSPHERES,ORIGINS LIFE EVOL B,0169-6149,1.12,0.418
ORL-Journal for Oto-Rhino-Laryngology Head and Neck Surgery,ORL J OTO-RHINO-LARY,0301-1569,1.919,0.441
ORNIS FENNICA,ORNIS FENNICA,0030-5685,1.027,0.273
ORNITHOLOGICAL SCIENCE,ORNITHOL SCI,1347-0558,0.795,0.192
Ornithology Research,ORNITHOL RES,2662-673X,0.385,0.085
ORNITOLOGIA NEOTROPICAL,ORNITOL NEOTROP,1075-4377,0.273,0.117
Orphanet Journal of Rare Diseases,ORPHANET J RARE DIS,1750-1172,4.303,1.349
Orthodontics & Craniofacial Research,ORTHOD CRANIOFAC RES,1601-6335,2.563,0.59
ORTHOPADE,ORTHOPADE,0085-4530,1.004,0.213
Orthopaedic Journal of Sports Medicine,ORTHOP J SPORTS MED,2325-9671,3.401,1.124
Orthopaedic Nursing,ORTHOP NURS,0744-6020,0.988,0.305
Orthopaedic Surgery,ORTHOP SURG,1757-7853,2.279,0.527
Orthopaedics & Traumatology-Surgery & Research,ORTHOP TRAUMATOL-SUR,1877-0568,2.425,0.709
ORTHOPEDIC CLINICS OF NORTH AMERICA,ORTHOP CLIN N AM,0030-5898,2.771,0.908
ORTHOPEDICS,ORTHOPEDICS,0147-7447,1.345,0.566
ORVOSI HETILAP,ORVOSI HETILAP,0030-6002,0.707,0.062
ORYX,ORYX,0030-6053,2.957,0.767
OSAKA JOURNAL OF MATHEMATICS,OSAKA J MATH,0030-6126,0.543,0.423
OSIRIS,OSIRIS,0369-7827,0.424,0.845
OSTEOARTHRITIS AND CARTILAGE,OSTEOARTHR CARTILAGE,1063-4584,7.507,1.784
OSTEOPOROSIS INTERNATIONAL,OSTEOPOROSIS INT,0937-941X,5.071,1.193
OSTEUROPA,OSTEUROPA,0030-6428,0.196,0.077
OSTRICH,OSTRICH,0030-6525,1.093,0.182
OTJR-OCCUPATION PARTICIPATION AND HEALTH,OTJR-OCCUP PART HEAL,1539-4492,1.632,0.473
OTOLARYNGOLOGIC CLINICS OF NORTH AMERICA,OTOLARYNG CLIN N AM,0030-6665,1.866,0.716
OTOLARYNGOLOGY-HEAD AND NECK SURGERY,OTOLARYNG HEAD NECK,0194-5998,5.591,1.259
OTOLOGY & NEUROTOLOGY,OTOL NEUROTOL,1531-7129,2.619,0.746
OUTLOOK ON AGRICULTURE,OUTLOOK AGR,0030-7270,3.309,0.431
OXFORD BULLETIN OF ECONOMICS AND STATISTICS,OXFORD B ECON STAT,0305-9049,2.518,1.191
OXFORD ECONOMIC PAPERS-NEW SERIES,OXFORD ECON PAP,0030-7653,1.152,0.728
Oxford Journal of Legal Studies,OXFORD J LEGAL STUD,0143-6503,1.443,0.806
OXFORD REVIEW OF ECONOMIC POLICY,OXFORD REV ECON POL,0266-903X,6.326,2.353
OXFORD REVIEW OF EDUCATION,OXFORD REV EDUC,0305-4985,2.159,0.861
OXIDATION OF METALS,OXID MET,0030-770X,1.972,0.384
Oxidative Medicine and Cellular Longevity,OXID MED CELL LONGEV,1942-0900,7.31,1.201
OZONE-SCIENCE & ENGINEERING,OZONE-SCI ENG,0191-9512,2.604,0.294
PACE-PACING AND CLINICAL ELECTROPHYSIOLOGY,PACE,0147-8389,1.912,0.52
PACHYDERM,PACHYDERM,1026-2881,0.429,0.299
PACIFIC AFFAIRS,PAC AFF,0030-851X,1.372,0.957
Pacific Economic Review,PAC ECON REV,1361-374X,1.467,0.281
Pacific Focus,PAC FOCUS,1225-4657,0.6,0.198
PACIFIC JOURNAL OF MATHEMATICS,PAC J MATH,0030-8730,0.648,0.759
Pacific Journal of Optimization,PAC J OPTIM,1348-9151,0.579,0.252
PACIFIC REVIEW,PAC REV,0951-2748,2.074,0.856
PACIFIC SCIENCE,PAC SCI,0030-8870,0.922,0.251
Pacific-Basin Finance Journal,PAC-BASIN FINANC J,0927-538X,3.239,0.584
PACKAGING TECHNOLOGY AND SCIENCE,PACKAG TECHNOL SCI,0894-3214,2.545,0.321
Paddy and Water Environment,PADDY WATER ENVIRON,1611-2490,1.554,0.317
PAEDIATRIC AND PERINATAL EPIDEMIOLOGY,PAEDIATR PERINAT EP,0269-5022,3.103,1.202
Paediatric Respiratory Reviews,PAEDIATR RESPIR REV,1526-0542,5.526,1.071
Paediatrics & Child Health,PAED CHILD HEALT-CAN,1205-7088,2.6,0.834
Paediatrics and International Child Health,PAEDIATR INT CHILD H,2046-9047,2.725,0.614
PAIN,PAIN,0304-3959,7.926,2.306
Pain and Therapy,PAIN THER,2193-8237,3.96,1.171
Pain Management Nursing,PAIN MANAG NURS,1524-9042,2.356,0.471
PAIN MEDICINE,PAIN MED,1526-2375,3.637,0.989
Pain Physician,PAIN PHYSICIAN,1533-3159,4.396,0.93
Pain Practice,PAIN PRACT,1530-7085,3.079,0.792
Pain Research & Management,PAIN RES MANAG,1203-6765,2.667,0.787
PAKISTAN JOURNAL OF AGRICULTURAL SCIENCES,PAK J AGR SCI,0552-9034,0.856,0.108
PAKISTAN JOURNAL OF BOTANY,PAK J BOT,0556-3321,1.101,0.136
Pakistan Journal of Medical Sciences,PAK J MED SCI,1682-024X,2.34,0.344
Pakistan Journal of Pharmaceutical Sciences,PAK J PHARM SCI,1011-601X,0.863,0.116
PAKISTAN JOURNAL OF ZOOLOGY,PAK J ZOOL,0030-9923,0.687,0.12
PAKISTAN VETERINARY JOURNAL,PAK VET J,0253-8318,1.803,0.172
Palaeobiodiversity and Palaeoenvironments,PALAEOBIO PALAEOENV,1867-1594,1.736,0.42
PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY,PALAEOGEOGR PALAEOCL,0031-0182,3.565,0.939
PALAEONTOGRAPHICA ABTEILUNG A-PALAOZOOLOGIE-STRATIGRAPHIE,PALAEONTOGR ABT A,0375-0442,2.071,0.461
PALAEONTOLOGIA ELECTRONICA,PALAEONTOL ELECTRON,1935-3952,1.932,0.563
PALAEONTOLOGY,PALAEONTOLOGY,0031-0239,3.547,1.16
Palaeoworld,PALAEOWORLD,1871-174X,2.717,0.62
PALAIOS,PALAIOS,0883-1351,1.965,0.564
PALEOBIOLOGY,PALEOBIOLOGY,0094-8373,3.153,1.06
Paleoceanography and Paleoclimatology,PALEOCEANOGR PALEOCL,2572-4517,3.992,1.553
PALEONTOLOGICAL JOURNAL,PALEONTOL J+,0031-0301,0.816,0.191
PALEONTOLOGICAL RESEARCH,PALEONTOL RES,1342-8144,0.63,0.208
Palliative & Supportive Care,PALLIAT SUPPORT CARE,1478-9515,3.733,0.863
PALLIATIVE MEDICINE,PALLIATIVE MED,0269-2163,5.713,1.501
PALYNOLOGY,PALYNOLOGY,0191-6122,1.949,0.474
PalZ,PALZ,0031-0220,1.553,0.406
PAN-PACIFIC ENTOMOLOGIST,PAN-PAC ENTOMOL,0031-0603,0.212,0.102
